Position[0],Position[1],Position[2],ID,FileDataID,Index,Type,BoneID,Radius
-0.13763477,-6.6024177E-06,1.5328269,3,122866,0,1,29,0
-0.18061121,0.047637474,3.1670597,4,126006,0,1,16,0
-0.18061121,0.047637474,3.1670597,5,126012,0,1,20,0
-0.18061121,0.047637474,3.1670597,6,126013,0,1,17,0
-0.05650013,0.047702212,1.6049981,7,126016,0,1,4,0
-0.05650013,0.047702212,1.6049981,8,254704,0,1,4,0
29.713129,1.9406382,36.499447,9,386003,0,1,40,0
18.475431,16.255594,19.139902,10,386003,1,1,41,0
-0.0062142983,0.31463304,2.0061495,11,880123,0,1,163,0
0.015559468,-0.33453295,2.005345,12,880123,1,1,164,0
-6.607485,2.9410925,0.0022239345,13,131921,0,0,28,0
-2.1324685,-0.01626428,0.0022239345,14,131921,1,0,29,0
1.2998755,0.19524176,3.0686312,15,131934,0,1,21,0
9.598588,2.030479,0.0044263205,16,131934,1,0,22,0
3.9020853,1.7121404,2.7627199,17,131934,2,1,23,0
-8.027883,4.20143,4.3654337,18,131940,0,0,54,0
-1.2956562,2.130528,-0.3718052,19,131940,1,1,55,0
-1.8425783,1.3085328,-0.45467123,20,131940,2,1,56,0
-0.45977443,1.9236103,3.7771454,21,131948,0,1,54,0
-5.301171,-1.2127506,3.1340802,22,131948,1,1,55,0
1.3797057,1.550613,2.611036,23,131948,2,0,56,0
-3.119311,0.43410698,0.871927,24,131970,0,1,23,0
2.718969,4.714658,-2.052197,25,131970,1,1,24,0
-6.61122,7.864529,0,26,131970,2,0,25,0
-1.6390254,0.054291237,1.020797,27,131982,0,1,94,0
1.2947558,5.789495,10.15626,28,131982,1,1,95,0
-2.4991825,-5.2600036,12.428479,29,131982,2,1,96,0
-2.156518,0.1923985,4.9620123,30,131993,0,1,19,0
7.5218234,11.483998,4.9620123,31,131993,1,0,20,0
-5.9531174,-2.1474428,8.130849,32,131993,2,1,21,0
-2.206693,-2.0290277,3.2428327,33,132003,0,1,30,0
4.6744933,-1.1757201,-0.13922374,34,132003,1,0,31,0
1.6872853,0.6191147,1.8809649,35,132003,2,1,32,0
1.1158625,-0.7179011,1.431051,36,132035,0,1,88,0
1.1782159,0.7425867,1.4434954,37,132035,1,0,89,0
-2.1210232,2.351165,1.7258085,38,132035,2,1,90,0
1.3149658,-1.3262205,1.1665252,39,132046,0,0,42,0
1.8116444,0.1400422,0.9746463,40,132046,1,1,43,0
-0.892515,-0.84618485,1.6147721,41,132046,2,1,44,0
0.57651645,0.00011795097,0.0034696977,42,145304,0,1,9,0
