ID,RuleValue,RuleType
1,1,0
2,0,0
3,0,0
4,0,0
5,0,0
6,1,0
7,0,0
8,0,0
9,1,0
10,1,0
11,1,0
12,1,0
13,1,0
14,1,0
15,0,0
16,0,0
17,1,0
18,0,0
19,0,0
20,0,0
21,0,0
22,1,0
23,0,0
24,0,0
25,0,0
26,0,0
27,1,0
28,1,0
29,1,0
30,1,0
31,1,0
32,1,0
33,1,0
34,1,0
35,1,0
36,1,0
37,1,0
38,1,0
39,1,0
40,1,0
41,1,0
42,1,0
43,1,0
44,1,0
45,1,0
46,1,0
47,1,0
48,1,0
49,1,0
50,1,0
51,1,0
52,1,0
53,1,0
54,1,0
55,1,0
56,1,0
57,1,0
58,1,0
59,1,0
60,1,0
61,1,0
62,1,0
63,1,0
64,1,0
65,1,0
66,1,0
67,1,0
68,1,0
69,1,0
70,1,0
71,1,0
72,1,0
73,1,0
74,1,0
75,1,0
76,1,0
77,1,0
78,1,0
79,1,0
80,1,0
81,1,0
82,1,0
83,1,0
84,1,0
85,1,0
86,1,0
87,1,0
88,0,2
89,1,2
90,1,2
91,0,0
92,0,0
93,3,0
94,1,0
95,0,0
96,0,0
97,0,0
98,2,0
99,0,0
100,0,0
101,0,0
102,1,0
103,0,0
104,0,0
105,0,0
106,0,0
107,0,0
108,1,0
109,3,2
112,0,2
113,1,0
114,1,0
115,1,0
116,1,0
119,1,0
129,1,0
130,1,0
131,1,0
132,1,0
133,1,0
135,1,0
137,1,2
139,0,0
140,0,0
142,0,2
143,0,2
145,1,0
146,1,0
147,1,0
148,1,0
149,1,0
150,1,0
151,1,0
153,0,2
154,2,2
155,1,0
156,1,0
157,1,0
159,1,0
160,1,0
161,1,0
162,1,0
163,1,0
164,1,0
165,1,0
169,0,2
172,0,0
173,1,2
174,1,0
177,1,2
180,0,2
181,0,2
182,0,2
190,2,0
195,0,2
197,0,2
198,1,2
199,3,0
200,3,1
204,1,2
206,0,2
207,1,1
208,1,1
209,0,2
210,1,2
211,1,2
212,1,0
213,0,0
214,0,0
215,1,2
216,0,0
217,1,0
218,1,2
219,1,0
220,1,0
