ActivityName_lang,Description_lang,ID,CriteriaTreeID,ThresholdContributionAmount,Field_10_1_0_48480_005,Field_10_1_0_48776_006
Defeat 25 Dungeon Bosses in a Cross-Faction Group,Defeat dungeon bosses that grant experience.,16,136248,150,0,0
Defeat Dragon Isles Master Tamers With Dragonkin Pets,Defeat 2 Dragon Isles Master Tamers with a lineup of at least 2 Dragonkin pets,40,137543,200,0,0
Use Happy Pet Snacks,Happy Pet Snacks can be purchased at the Pet Supply vendor in Dalaran.,42,137615,100,0,0
Love is in the Air: Use Peddlefeet's Hearthstone in the Dragon Isles,From 2/6 - 2/20 use Peddlefeet's Hearthstone in the Dragon Isles.,43,137617,150,0,0
Love is in the Air: Have a Romantic Picnic in the Ohn'ahran Plains,From 2/6 - 2/20 use a Romantic Picnic Basket in the Ohn'ahran Plains.,44,137619,150,0,0
"Love is in the Air: Complete ""Bonbon Blitz""","From 2/6 - 2/20 complete the quest ""Bonbon Blitz.""",45,137621,150,0,0
Love is in the Air: Kill Apothecary Hummel,From 2/6 - 2/20 kill Apothecary Hummel in Shadowfang Keep.,46,137623,150,0,0
Love is in the Air: Present a Lovely Charm Bracelet,From 2/6 - 2/20 present a Lovely Charm Bracelet to one of your faction leaders.,47,137625,150,0,0
/hug A Dead Player,Emote /hug a dead player.,48,137634,50,0,0
Resurrect Players,,49,137636,50,0,0
Imbibe Zanzil's Slow Poison,,50,137645,50,0,0
"Earn 5,000 gold from auctions in the Auction House",,52,137647,100,0,0
"Eat a Chocolate Cake Slice, Lovely Cake Slice, and Berry Pie Slice",,53,137651,50,0,0
Hatching of the Hippogryphs: Get a Hatchling to Perch on You,On 2/23 get a Frayfeather Hatchling to perch on your shoulder.,54,137655,150,0,0
Hatching of the Hippogryphs: Obtain and use a Spectral Feather,On 2/23 obtain and use a Spectral Feather.,55,137657,150,0,0
Darkmoon Faire: Set Out a Big Berry Pie,From 2/5 - 2/11 set out a Big Berry Pie at the Darkmoon Faire Island.,56,137659,50,0,0
Trial of Style: Earn Trial of Style Tokens,From 3/20 - 3/24 earn Trial of Style tokens.,61,137688,100,0,0
Obtain a Toy That Gets You Lookin' Good,,64,137776,50,0,0
Trial of Style: Cheer on Other Players,From 3/20 - 3/24 emote /cheer for 5 other players in the Trial of Style event.,65,137787,50,0,0
"Trial of Style: Use the Spotlight, Dance Floor, and Flames","From 3/20 - 3/24 use the Trial of Style Spotlight, Dance Floor, and Flames during the event.",66,137789,100,0,0
Trial of Style: Summon Admirers,From 3/20 - 3/24 summon 3 admirers in the Trial of Style.,67,137793,50,0,0
Kill Kael'thas Sunstrider at the Magister's Terrace,,68,137795,150,0,0
Un'Goro Madness: Loot Dino Mojo,From 3/17 - 3/19 loot Dino Mojo in Un'Goro Crater.,69,137797,150,0,0
"Un'Goro Madness: Gain the ""Awesome"" Adaptation","From 3/17 - 3/19 use Dino Mojo to increase your Adaptation effect until you are ""Awesome.""",70,137799,150,0,0
Darkmoon Faire: The Humanoid Cannonball,"From 3/5 - 3/11 complete the quest ""The Humanoid Cannonball"" at the Darkmoon Faire Island.",71,137801,50,0,0
Use the Overtuned Corgi Goggles,Everything looks great!,72,137803,50,0,0
Change Your Appearance,Use a Barbershop Chair to change your appearance.,73,137805,20,0,0
Trial of Style: Collect the Trader's Bicorne Appearance,From 3/20 - 3/24 participate in the Trial of Style to collect the Trader's Bicorne appearance.,74,137807,20,0,0
/flex at Another Player While Lookin' Good,,75,137809,50,0,0
/curtsey at a Player of the Opposite Faction,,76,137811,20,0,0
/awe at Players that are Lookin' Good,Emote /awe at players that are under effects of a lookin' good toy.,77,137813,50,0,0
Complete Grand Hunts with the Maruuk Centaur,Complete Grand Hunts on the Dragon Isles.,82,140981,150,0,0
Harpoon a Fish with a Friend,"In the Dragon Isles, use a harpoon with another player to catch a fish.",83,140983,50,0,0
Participate in the Tuskarr Community Feast,Complete tasks at the Community Feast in Iskaara on the Dragon Isles.,84,140985,50,0,0
Use the Buddy System While Climbing,Use the Buddy System during climbing World Quests on the Dragon Isles.,86,140989,50,0,0
Defeat Special Creatures During Primalist Storms,Special creatures will appear during Primalist Storm events throughout the Dragon Isles.,87,140991,100,0,0
Complete Group Dragon Riding Races,Speak to a Bronze Timekeeper on the Dragon Isles to participate in a group race.,88,141010,150,0,0
Complete the Optional Waking Shores Storylines,,91,141032,200,0,0
Complete Weekly Gathering Quests,Weekly profession quests can be obtained within the Artisan's Market in Valdrakken.,92,141044,100,0,0
Fish Up Items in the Dragon Isles,,95,141125,100,0,0
Show Some Love to the Dragon Aspects,Emote /love at the Dragon Aspects in Valdrakken.,96,141883,50,0,0
Show Some Love to Fallen Dragons,Emote /love at 2 of the specified fallen dragons inside of their raids.,97,141887,50,0,0
Photograph Legendary Fishers,While on a Cataloging World Quest take photographs of legendary fishers.,102,141960,50,0,0
Complete Cataloging World Quests,"On the Dragon Isles, complete the Cataloging World Quests.",103,141971,50,0,0
Obtain 500 Elemental Overflow,Elemental Overflow can be looted from creatures affected by the Primalist Storms.,104,141979,100,0,0
Complete the Optional Ohn'ahran Plains Storylines,,108,141988,150,0,0
Catch Lunkers with a Harpoon,"In the Dragon Isles, use a harpoon to land lunkers.",110,142034,50,0,0
Turn in Obsidian Keys,Turn in Obsidian Keys to individuals around the Obsidian Citadel in the Dragon Isles.,111,142036,100,0,0
Change the Look of your Dragonriding Mount,,112,142038,20,0,0
Earn Honor in the Azure Span Training Grounds,,113,142733,100,0,0
Defeat Dragon Isles Elite Pets with Dragonkin Pets,Defeat 2 Dragon Isles Elite pets with a lineup of at least 2 Dragonkin pets.,121,142058,200,0,0
