Description_lang,Title_lang,ID,ScenarioID,CriteriatreeID,RewardQuestID,RelatedStep,Supersedes,OrderIndex,Flags,VisibilityPlayerConditionID,WidgetSetID
护送珀酒仙去盎迦猴岛的酿酒大锅。,护送珀酒仙,24,15,21004,0,0,0,0,0,0,0
带上200桶盎迦丛林酒去酿酒大锅。,装满酿酒大锅,25,15,27707,0,0,0,1,0,0,0
击败乌克头领。,击败乌克头领,26,15,21008,0,0,0,2,0,0,0
击败被腐蚀的影踪派高手。,终结恐惧,114,39,21048,0,0,0,0,0,0,0
深度挖掘地穴并搜索地穴的底层。,搜索地穴,115,39,22065,0,0,0,2,0,0,0
击败那些攻击绿石村民的怪物。,拯救村民,116,40,20975,0,0,0,0,0,0,0
击败仇灰。,击败仇灰,117,40,20982,0,0,0,4,0,0,0
从森林里找回失窃的酒桶，并将它们送回村里的道场。,找回失窃的桶,118,40,21059,0,0,0,2,0,0,0
击败青龙寺内被煞能腐蚀的敌人。,青龙寺,123,44,21078,0,0,0,0,0,0,0
击败在风暴烈酒酿造厂内制造混换的敌人。,风暴烈酒酿造厂,124,45,21087,0,0,0,0,0,0,0
击败影踪禅院内和你作对的敌人。,影踪禅院,125,46,21095,0,0,0,0,0,0,0
击败攻击残阳关的螳螂妖军队。,残阳关,127,48,21100,0,0,0,0,0,0,0
击败围攻砮皂寺的螳螂妖军队。,围攻砮皂寺,128,49,21105,0,0,0,0,0,0,0
,魔古山宫殿,129,50,21110,0,0,0,0,0,0,0
击败通灵学院内的巫师军团。,通灵学院,130,51,21120,0,0,0,0,0,0,0
击败血色十字军。,血色大厅,131,52,21130,0,0,0,0,0,0,0
前往绿石工匠区并唤醒失去意识的村民。,拯救绿石工匠区,132,40,21126,0,0,0,3,0,0,0
击败修道院里的血色十字军。,血色修道院,133,53,21134,0,0,0,0,0,0,0
召唤并击败强大的龙龟——刀疤壳。,刀疤壳,138,58,21323,0,0,0,0,0,0,0
召唤并击败土地精的梦魇、雪山的魔王——乔古鲁。,乔古鲁,139,58,21325,0,0,0,1,0,0,0
召唤并击败淘气的火灵——小流炀。,小流炀,140,58,21327,0,0,0,2,0,0,0
召唤并击败流浪的野牛人战士——查干·焰蹄。,查干·焰蹄,141,58,21332,0,0,0,3,0,0,0
召唤并击败最终的挑战者，然后向伍迪索要奖品！,击败最终的挑战者！,142,58,21334,0,0,0,4,0,0,0
帮酒仙布夫的助手收集昆莱劲酒的酿造材料。,酿月祭,154,63,21845,0,0,0,0,0,0,0
