Name_lang,SourceText_lang,Description_lang,ID,MountTypeID,Flags,SourceTypeEnum,SourceSpellID,PlayerConditionID,MountFlyRideHeight,UiModelSceneID,MountSpecialRiderAnimKitID,MountSpecialSpellVisualKitID
棕马,|cFFFFD200商人出售：|r安格尔·斯塔特弗斯|n|cFFFFD200地区：|r湿地|n|cFFFFD200价格： |r1|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t,因其耐心和坚韧而成为暴风城守卫的最爱。,6,230,0,2,458,0,0,4,0,0
灰狼,|cFFFFD200商人出售：|r奥古纳罗|n|cFFFFD200地区：|r奥格瑞玛|n|cFFFFD200价格：|r1|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t,这种狼更喜欢在大雾中狩猎，依靠其烟灰色的毛皮瞒过猎物的眼睛。,7,230,64,2,459,0,0,4,0,0
白马,|cFFFFD200绝版|r,强大而不屈的白马是古代人类部族神话中神圣的代表物。,8,230,64,2,468,0,0,4,0,0
黑马,|cFFFFD200商人出售：|r凯蒂·斯托克斯|n|cFFFFD200地区：|r暴风城|n|cFFFFD200价格： |r1|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t,传说因其黑色的毛皮，这种坐骑成为了军情七处执行夜间任务时的专用坐骑。,9,230,0,2,470,0,0,4,0,0
杂色马,|cFFFFD200商人出售：|r凯蒂·斯托克斯|n|cFFFFD200地区：|r暴风城|n|cFFFFD200价格： |r1|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t,它脾气温顺，很适合让孩子们练习骑术。,11,230,0,2,472,0,0,4,0,0
黑狼,|cFFFFD200商人出售：|r奥古纳罗|n|cFFFFD200地区：|r奥格瑞玛|n|cFFFFD200价格：|r1|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t,嗥叫声非常响亮，几里外都能听见。,12,230,64,2,578,0,0,4,0,0
赤狼,|cFFFFD200绝版|r,在整个艾泽拉斯几乎已经没有留存，只有最老道的冒险者才能见到一只。,13,230,64,2,579,0,0,4,0,0
森林狼,|cFFFFD200商人出售：|r奥古纳罗|n|cFFFFD200地区：|r奥格瑞玛|n|cFFFFD200价格：|r1|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t,嗥叫声非常响亮，几里外都能听见。,14,230,0,2,580,0,0,4,0,0
冬狼,|cFFFFD200绝版|r,根据古老的熊怪传说，生来就具有雪白毛皮的狼是受到艾泽拉斯双月的祝福的。,15,230,64,2,581,0,0,4,0,0
地狱战马,|cFFFFD200职业：|r术士,被恶魔能量腐蚀，并曾被迫为暗影议会效劳。,17,230,0,1,5784,31504,0,4,0,0
栗色马,|cFFFFD200商人出售：|r凯蒂·斯托克斯|n|cFFFFD200地区：|r暴风城|n|cFFFFD200价格： |r1|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t,坚韧不拔：“建造了暴风城的马。”,18,230,0,2,6648,0,0,4,0,0
恐狼,|cFFFFD200商人出售：|r奥古纳罗|n|cFFFFD200地区：|r奥格瑞玛|n|cFFFFD200价格：|r1|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t,曾被认为在遥远的北地以外的地方已经灭绝了。对那些准备过冬的人来说是无价之宝。,19,230,0,2,6653,0,0,4,0,0
棕狼,|cFFFFD200商人出售：|r奥古纳罗|n|cFFFFD200地区：|r奥格瑞玛|n|cFFFFD200价格：|r1|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t,嗥叫声非常响亮，几里外都能听见。,20,230,0,2,6654,0,0,4,0,0
灰山羊,|cFFFFD200商人出售：|r维隆·冻石|n|cFFFFD200地区：|r丹莫罗|n|cFFFFD200价格：|r1|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t,雄性山羊经常互相砥角长达几个小时，以此来吸引雌性的注意。在这一点上，它们和矮人很像。,21,230,0,2,6777,0,0,4,0,0
黑山羊,|cFFFFD200绝版|r,我已经几百年没见过这种生物了，但山羊是顽强的生物。——维隆·冻石,22,230,64,2,6896,0,0,4,0,0
白山羊,|cFFFFD200商人出售：|r维隆·冻石|n|cFFFFD200地区：|r丹莫罗|n|cFFFFD200价格：|r1|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t,雄性山羊经常互相砥角长达几个小时，依次来吸引雌性的注意。在这一点上，它们和矮人很像。,24,230,0,2,6898,0,0,4,0,0
棕山羊,|cFFFFD200商人出售：|r维隆·冻石|n|cFFFFD200地区：|r丹莫罗|n|cFFFFD200价格：|r1|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t,雄性山羊经常互相砥角长达几个小时，依次来吸引雌性的注意。在这一点上，它们和矮人很像。,25,230,0,2,6899,0,0,4,0,0
条纹霜刃豹,|cFFFFD200商人出售：|r莱兰奈|n|cFFFFD200地区：|r达纳苏斯|n|cFFFFD200价格： |r1|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t,这头健壮的坐骑有着旺盛的食欲，以至于在暗夜精灵语中赢得了一个“龙胃”的昵称。,26,230,0,2,8394,0,0,4,0,0
绿色迅猛龙,|cFFFFD200商人出售：|r祖尼尔|n|cFFFFD200地区：|r杜隆塔尔|n|cFFFFD200价格：|r1|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t,由最凶猛的先祖繁殖而来，保证绝（不）对（会）不（咬）会（得）咬（太）人（狠）。,27,230,0,2,8395,0,0,4,0,0
骸骨军马,|cFFFFD200绝版|r,和大部分亡灵生物一样，它并不是自愿变成这样的。,28,230,64,2,8980,0,0,4,0,0
斑点霜刃豹,|cFFFFD200商人出售：|r莱兰奈|n|cFFFFD200地区：|r达纳苏斯|n|cFFFFD200价格：|r1|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t|n,这头健壮的坐骑有着旺盛的食欲，以至于在暗夜精灵语中赢得了一个“龙胃”的昵称。,31,230,0,2,10789,0,0,4,0,0
丛林虎,|cFFFFD200绝版|r,,32,230,64,5,10790,0,0,4,0,0
条纹夜刃豹,|cFFFFD200商人出售：|r莱兰奈|n|cFFFFD200地区：|r达纳苏斯|n|cFFFFD200价格：|r1|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t,这些敏捷的野兽被认为是艾泽拉斯最完美的掠食者之一，能够悄无声息地穿越茂密的森林。,34,230,0,2,10793,0,0,4,0,0
白色迅猛龙,|cFFFFD200绝版|r,由最凶猛的先祖繁殖而来，保证绝（不）对（会）不（咬）会（得）咬（太）人（狠）。,35,230,64,2,10795,0,0,4,0,0
青色迅猛龙,|cFFFFD200商人出售：|r祖尼尔|n|cFFFFD200地区：|r杜隆塔尔|n|cFFFFD200价格：|r1|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t,由最凶猛的先祖繁殖而来，保证绝（不）对（会）不（咬）会（得）咬（太）人（狠）。,36,230,0,2,10796,0,0,4,0,0
