Description_lang,SourceText_lang,ID,CreatureID,SummonSpellID,IconFileDataID,PetTypeEnum,Flags,SourceTypeEnum,CardUIModelSceneID,LoadoutUIModelSceneID,CovenantID
,,2,61892,0,132332,4,49,-1,6,7,0
机械松鼠体内的逻辑运算中心告诉它，要多多采集坚果和螺栓，以备冬季取用。,|cFFFFD200专业技能：|r工程学,39,2671,4055,656559,9,2,3,6,7,0
冬妮·安萨妮娅计划在她临终时找一只灰猫陪葬，聪明的冒险者此刻又能大展身手了。,|cFFFFD200商人出售：|r冬妮·安萨妮娅|n|cFFFFD200地区：|r艾尔文森林|n|cFFFFD200价格：|r40|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t,40,7385,10673,656575,7,2,2,6,7,0
冬妮·安萨妮娅邀请这些猫来她的午后茶会，但她没有提供它们最爱的饮品：敌人的眼泪。,|cFFFFD200商人出售：|r冬妮·安萨妮娅|n|cFFFFD200地区：|r艾尔文森林|n|cFFFFD200价格：|r40|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t,41,7384,10674,656577,7,2,2,6,7,0
老奥特兰克俗语说：‘猫有九命，但却只需要其中之一。’,|cFFFFD200掉落：|r世界掉落|n|cFFFFD200地区：|r希尔斯布莱德丘陵,42,7383,10675,656574,7,2,0,6,7,0
上一个想要驯服这只猫的家伙很快意识到，地毯上有点污渍，总比整张地毯被撕成碎片来的强。,|cFFFFD200商人出售：|r冬妮·安萨妮娅、史蒂文·里斯班|n|cFFFFD200地区：|r艾尔文森林|n|cFFFFD200价格：|r40|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t,43,7382,10676,656578,7,2,2,6,7,0
它漂亮的蓝眼睛闻名遐迩，同时也被大鱼人视为美味佳肴。,|cFFFFD200商人出售：|r商人拉沙德|n|cFFFFD200地区：|r虚空风暴|n|cFFFFD200价格：|r60|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t,44,7380,10677,656579,7,2,2,6,7,0
睡懒觉是这只猫的第二大嗜好。第一大嗜好是打哈欠。,|cFFFFD200商人出售：|r冬妮·安萨妮娅|n|cFFFFD200地区：|r艾尔文森林|n|cFFFFD200价格：|r40|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t,45,7381,10678,656580,7,2,2,6,7,0
‘皇后有三只猫。第一只猫给她抓来了肥硕的老鼠；第二只猫给她弄来了美味的野兔；而最后那只她最爱的白猫，给她送上了仇敌的头颅。’,|cFFFFD200商人出售：|r利尔·迪米|n|cFFFFD200地区：|r暴风城|n|cFFFFD200价格：|r60|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t,46,7386,10679,656581,7,2,2,6,7,0
有人说这只聪明的鸟能学会说话——但它很机灵，知道什么叫沉默是金。,|cFFFFD200商人出售：|r哈瑞·直拳、纳尔克|n|cFFFFD200地区：|r荆棘谷海角|n|cFFFFD200价格：|r40|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t,47,7390,10680,132921,2,2,2,6,7,0
丛林巨魔训练这些鸟儿模仿呼救声，引诱那些无知的旅行者并将他们引入陷阱。,|cFFFFD200掉落：|r世界掉落|n|cFFFFD200地区：|r北荆棘谷、荆棘谷海角,49,7391,10682,132921,2,2,0,6,7,0
这种五彩缤纷的小鸟是迪菲亚海盗喜爱的宠物，擅长记忆口令，购物清单和爆竹配方。,|cFFFFD200掉落：|r迪菲亚海盗|n|cFFFFD200地区：|r死亡矿井,50,7387,10683,132925,2,2,0,6,7,0
深受藏宝海湾地精们所喜爱的一个宠物，这只色彩艳丽的小鸟不仅会数钱，还会讨价还价，而且撒谎从不脸红。,|cFFFFD200商人出售：|r纳尔克、哈瑞·直拳|n|cFFFFD200地区：|r荆棘谷海角|n|cFFFFD200价格：|r40|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t|n|n|cFFFFD200商人出售：|r商人拉沙德|n|cFFFFD200地区：|r虚空风暴|n|cFFFFD200价格：|r40|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t,51,7389,10684,132924,2,2,2,6,7,0
在它看来，你吃上去也像鸡肉。,|cFFFFD200商人出售：|r勇敢的强森|n|cFFFFD200地区：|r千针石林|n|cFFFFD200价格：|r1|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t,52,7394,10685,135996,2,2,2,6,7,0
这只蟑螂通常是冲动消费的产物。购买者总是使劲浑身解数也难以摆脱它。,|cFFFFD200商人出售：|r商人拉沙德|n|cFFFFD200地区：|r虚空风暴|n|cFFFFD200价格：|r50|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t|n|n|cFFFFD200商人出售：|r杰雷米亚·派森|n|cFFFFD200地区：|r提瑞斯法林地|n|cFFFFD200价格：|r50|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t,55,7395,10688,294474,4,2,2,6,7,0
但愿有一天，它能长成像它母亲那样能够攻城拔寨的巨龙。,|cFFFFD200掉落：|r各色雏龙|n|cFFFFD200地区：|r湿地、尘泥沼泽、荒芜之地、燃烧平原,56,7543,10695,134154,1,2,0,6,7,0
