ID,Name_lang,Description_lang,DescriptionShort_lang,Icon,Order,ChrRacesID
1,被遗忘者的意志,可移除魅惑、恐惧和催眠效果。,移除魅惑、恐惧和催眠效果,136187,0,5
2,食尸,可以通过吞食尸体回复生命值和法力值。,可以通过吞食尸体回复生命值和法力值,132278,1,5
3,哀伤之触,能够吸取敌人的生命。,能够吸取敌人的生命,136157,2,5
4,暗影抗性,对暗影伤害有抗性。,对暗影伤害有抗性,136152,3,5
5,人类精魂,提高急速、爆击、精通和全能。,提高急速、爆击、精通和全能,132874,0,1
6,唯念故乡,提高炉石的效率,提高炉石的效率,134328,1,1
7,自利,"可移除昏迷效果。
",移除昏迷效果,136129,2,1
8,石像形态,可以变为石像形态。,可以变为石像形态,136225,0,3
9,山丘之力,提高爆击效果。,提高爆击效果,133042,1,3
10,冰霜抗性,对冰霜伤害有抗性。,对冰霜伤害有抗性,135865,2,3
11,探索者,能找到额外的考古碎片，勘测速度加快。,能找到额外的考古碎片，勘测速度加快,237387,3,3
98,源远流长,提高铭文技能等级。,铭文技能提高,1723985,4,27
99,魔法亲和,提高造成的魔法伤害。,提高造成的魔法伤害,1723986,2,27
100,戏法,召唤一本飞行的魔典作为信箱使用。,召唤一本飞行的魔典作为信箱使用,1723988,1,27
101,熵能之拥,你的技能有一定几率让你获得虚空精华的强化。,受到虚空之力的强化,1723992,1,29
102,虚灵连接,降低虚空仓库和幻化的费用。,降低虚空仓库和幻化的费用,1723993,3,29
103,冷静自若,你的施法不会因受到伤害而延迟。,施法不会因受到伤害而延迟,1724001,2,29
104,暗夜之寒,对暗影伤害有抗性。,对暗影伤害有抗性,1723989,4,29
105,空间裂隙,撕开一道空间裂隙，传送到附近的地点。,通过一道空间裂隙进行传送,1724004,0,29
106,奥术抗性,对奥术伤害有抗性。,对奥术伤害有抗性,1723997,3,27
107,奥术脉冲,伤害并诱捕附近的敌人。,伤害并诱捕附近的敌人,1851463,0,27
108,蛮牛冲撞,向前冲锋，击倒敌人。,向前冲锋，击倒敌人,1723987,0,28
109,铁角之傲,提高采矿技能和采矿速度。,提高采矿技能，采矿速度加快,1724002,4,28
110,艰苦朴素,有几率拾取额外的肉类和鱼。,有几率拾取额外的肉类和鱼,1724005,3,28
111,登山家,使全能提高。,全能提高,1723999,2,28
112,皮糙肉厚,减少从接下来的攻击中受到的伤害。,减少从接下来的攻击中受到的伤害,1724003,1,28
113,圣光裁决者,对一个区域造成大量神圣伤害。,对一个区域造成大量神圣伤害,1724000,0,30
114,神圣抗性,降低受到的神圣伤害。,对神圣伤害有抗性,1723996,2,30
115,圣光清算,阵亡时爆炸，伤害周围的敌人并治疗盟友。,阵亡时爆炸，伤害周围的敌人并治疗盟友,1723994,1,30
116,圣光熔炉,提高锻造技能等级并允许你召唤一座铁砧。,提高锻造技能，可以召唤一个熔炉,1723995,3,30
117,恶魔之灾,提高消灭恶魔时所获得的经验值。,提高消灭恶魔时所获得的经验值,1723990,4,30
118,烈焰之血,移除有害效果并强化自身。,移除有害效果并强化自身,1786406,0,34
119,地下城探索者,在室内移动速度提高。,在室内移动速度提高,1786405,1,34
120,大规模生产,提高锻造技能，锻造速度提升。,提高锻造技能，制作专业物品速度提升,1786408,2,34
121,钻探机,在户外时，可以召唤一台能掘地的钻探机。,在户外时，可以召唤一台能掘地的钻探机,1786409,3,34
122,饱经战火,受到的物理伤害降低。,受到的物理伤害降低,1786407,4,34
123,先祖召唤,唤醒并获得先祖的力量。,唤醒先祖，获得他们的力量,2021574,0,36
124,地广天空,在户外时，坐骑速度提升。,在户外时，坐骑速度提升,2021575,1,36
125,同步活力,宠物生命值增加。,宠物生命值增加,2021577,2,36
126,狂野之血,你受到的中毒、疾病和诅咒的持续时间缩短。,受到的中毒、疾病和诅咒的持续时间缩短,2021576,3,36
127,再生！,集中精力，使自己在短时间内快速回复生命值。,短时间内治疗自己,1850550,0,31
128,神灵之拥,诚挚地向一名洛阿神灵祈求，获得六种强大的赐福之一。,诚挚地向一名洛阿神灵祈求，获得六种强大的赐福之一,1850548,1,31
129,黄金之城,从生物身上获得更多金币。,从生物身上获得更多金币,1850547,2,31
130,翼手龙滑翔,召唤一头翼手龙，降低你的坠落速度。,召唤一头翼手龙，降低你的坠落速度,1850549,3,31
131,强力一击,击溃敌人，将其击退并使其昏迷。,击溃敌人，将其击退并使其昏迷,2447782,0,32
132,多面手,提高所有商业技能。,提高所有商业技能点数,2447783,1,32
133,水手之韵,对冰霜和自然伤害有抗性。,对冰霜和自然伤害有抗性,2447784,2,32
134,大海的孩子,游泳速度提升，水下憋气时间增加。,游泳速度提升，水下憋气时间增加,2447781,3,32
135,英勇无畏,提高全能，并按一定比例治疗你受到的伤害。,提高全能，并按一定比例治疗你受到的伤害,2447780,4,32
144,超有机光影发生器,召唤复制品以扰乱你的敌人。 ,召唤复制品以扰乱你的敌人,3192686,0,37
145,匠工大师,会走路的“工作台”。,会走路的“工作台”,3192687,2,37
146,战斗分析,你可以在战斗中分析敌人，并逐渐提高战斗力。,与敌人战斗时可以强化自己,3192685,1,37
147,万能小指,开锁小能手。,开锁小能手,3192689,3,37
148,紧急意外防护,受重伤时可以自动获得治疗。,受重伤时可以自动获得治疗,3192688,4,37
149,袋里乾坤/翻找背包,用某种把戏攻击一名敌人或治疗一名盟友。可以在世界中收集不同的把戏。,用某种把戏攻击一名敌人或帮助一名朋友,3193416,0,35
150,扎营/返回营地,在世界中安置一个可以休息的营地，可以稍后返回这里。,在世界上选一个地方扎营,3193418,1,35
151,警觉之嗅,敌人第一次命中你时所造成的伤害降低。,第一次被命中时受到的伤害降低,3193419,2,35
152,羊驼鞍囊,你的背包有8格额外的空间。,你的背包有8格额外的空间,3193421,3,35
153,火焰抗性,降低受到的火焰伤害。,对火焰伤害有抗性,3193417,4,35
248,无忧,"融解为纯粹的心能，使你的移动速度大幅提高，使你的坠落速度减缓，并将你向前推动。

敌人能够侦测到你的范围大幅降低。",,298642,0,15
249,圣洁鸣钟,立即对附近所有目标施放强化版神圣震击、复仇者之盾或审判。,,133706,1,15
250,融合,"将你与一名敌人或盟友融合。你无法被敌人设为目标，但也无法攻击和施放法术。

如果敌人的等级等于或小于你的等级，法术持续期间你可以控制他们。",,237147,0,16
251,血誓,立下鲜血誓约，立即移除你身上大多数的有害效果，并使你的技能造成额外的伤害或治疗效果，其数值等于你在使用此技能时消耗的生命值。,,133523,0,16
252,神卫形态,变形为一只幽灵狐，提高你的移动速度，并使敌人无视你。,,797544,0,17
