ID,Name_lang,Cost_lang,OutOfError_lang,ToolTip_lang,MinPower,MaxPower,StartPower,CenterPower,RegenerationPeace,RegenerationCombat,BarType,Flags,StartInset,EndInset,FileDataID[0],FileDataID[1],FileDataID[2],FileDataID[3],FileDataID[4],FileDataID[5],Color[0],Color[1],Color[2],Color[3],Color[4],Color[5]
9,测试能量,%d测试能量,测试能量不足,,0,1000,1000,0,-12.5,-5,0,0,0,0,0,0,0,0,0,0,-16777216,-16777216,-16777216,-16777216,-16777216,0
10,测试能量,%d测试能量,测试能量不足,,0,2000,0,0,20,10,0,1,0,0,0,0,0,0,0,0,-16777216,-16777216,-16777216,-16777216,-16777216,0
18,致命性指数,,,,0,10,0,0,0,0,0,7,0,0,457299,457296,457297,457300,457298,0,-1,-1,-1,-1,-1,0
23,声音指数条,声音,你未被发现,看你有多吵！,0,100,0,0,0,0,2,2,0,0,457566,457564,449443,0,457565,0,-401539,-16777216,-7678738,-16777216,-598016,0
24,枯萎样本,,,,0,250,0,0,0,0,0,23,0.1328,0.1367,457299,457296,457297,457300,457298,0,-1,-1,-1,-1,-1,0
26,消化酸液,,,你正在被厄索拉斯的胃酸消化！|n|n胃酸的消化作用会随时间增强——在附近的大地之环萨满处寻求保护并治疗你自己！,0,300,0,0,0,0,0,23,0.1328,0.1367,459000,449447,457302,0,462656,0,-1,-1,-13902018,-1,-1,0
29,种族进程,这是什么意思？,,,0,34,0,0,0,0,0,6,0.1328,0.1367,457310,457307,457308,0,457309,0,-1,-1,-1,-1,-1,0
30,进攻批次进程,这是什么意思？,,,0,5,0,0,0,0,0,6,0.1328,0.1367,457310,457307,457308,0,457309,0,-1,-1,-1,-1,-1,0
32,进攻批次进程,这是什么意思？,,,0,4,0,0,0,0,0,6,0.1328,0.1367,457310,457307,457308,0,457309,0,-1,-1,-1,-1,-1,0
33,进攻批次进程,这是什么意思？,,,0,7,0,0,0,0,0,6,0.1328,0.1367,457310,457307,457308,0,457309,0,-1,-1,-1,-1,-1,0
34,阿莱克丝塔萨的能量,,,,0,5,5,0,0,0,3,2,0,0.5,457617,449452,457583,457576,457575,0,-406016,-16777216,-837632,-16777216,-16777216,0
35,进攻批次进程,这是什么意思？,,,0,7,0,0,0,0,0,6,0.1328,0.1367,457310,457307,457308,0,457309,0,-1,-1,-1,-1,-1,0
36,看守者斯蒂沃特,这是什么意思？,,看守者斯蒂沃特的剩余生命值。,0,35000,0,0,0,0,0,6,0.1328,0.1367,459012,449447,449448,0,449449,0,-1,-1,-65536,-1,-1,0
37,堕落之血,堕落之血,你的血液是纯净的！,造成：|n25% 腐蚀：加速。|n50% 腐蚀：疫病。|n75% 腐蚀：畸变。|n100% 腐蚀：绝对。,0,100,0,0,0,0,0,2,0.28,0.22,462333,462330,462331,462334,462332,0,-1,-1,-1,-1,-1,0
