ID,SourceText_lang,PvpFaction,SourceTypeEnum,SpellID
2532,|cFFFFD200专业技能训练师：|r制皮（15）|n|cFFFFD200价格：|r50|TINTERFACE\MONEYFRAME\UI-COPPERICON.BLP:0|t,-1,3,2153
2534,|cFFFFD200掉落：|r世界生物|n|n|cFFFFD200宝藏：|r世界掉落|n|n|cFFFFD200采集：|r世界采集点,0,0,2158
2535,|cFFFFD200专业技能训练师：|r制皮（85）|n|cFFFFD200价格：|r2|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t50|TINTERFACE\MONEYFRAME\UI-COPPERICON.BLP:0|t,-1,3,2159
2536,|cFFFFD200专业技能训练师：|r制皮（40）|n|cFFFFD200价格：|r1|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t,-1,3,2160
2537,|cFFFFD200专业技能训练师：|r制皮（55）|n|cFFFFD200价格：|r1|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t,-1,3,2161
2538,|cFFFFD200专业技能训练师：|r制皮（60）|n|cFFFFD200价格：|r1|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t,-1,3,2162
2539,|cFFFFD200掉落：|r世界生物|n|n|cFFFFD200宝藏：|r世界掉落|n|n|cFFFFD200采集：|r世界采集点,0,0,2163
2540,|cFFFFD200掉落：|r世界生物|n|n|cFFFFD200宝藏：|r世界掉落|n|n|cFFFFD200采集：|r世界采集点,0,0,2164
2541,|cFFFFD200专业技能训练师：|r制皮（100）|n|cFFFFD200价格：|r2|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t50|TINTERFACE\MONEYFRAME\UI-COPPERICON.BLP:0|t,-1,3,2165
2542,|cFFFFD200专业技能训练师：|r制皮（120）|n|cFFFFD200价格：|r4|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t50|TINTERFACE\MONEYFRAME\UI-COPPERICON.BLP:0|t,-1,3,2166
2543,|cFFFFD200专业技能训练师：|r制皮（100）|n|cFFFFD200价格：|r3|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t50|TINTERFACE\MONEYFRAME\UI-COPPERICON.BLP:0|t,-1,3,2167
2544,|cFFFFD200专业技能训练师：|r制皮（110）|n|cFFFFD200价格：|r3|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t50|TINTERFACE\MONEYFRAME\UI-COPPERICON.BLP:0|t,-1,3,2168
2545,|cFFFFD200掉落：|r世界生物|n|n|cFFFFD200宝藏：|r世界掉落|n|n|cFFFFD200采集：|r世界采集点,0,0,2169
2549,"|cFFFFD200专业技能训练师：|r炼金（25）
|cFFFFD200价格：|r1|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t",-1,3,2331
2550,|cFFFFD200专业技能训练师：|r炼金（40）|n|cFFFFD200价格：|r1|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t50|TINTERFACE\MONEYFRAME\UI-COPPERICON.BLP:0|t,-1,3,2332
2551,|cFFFFD200专业技能训练师：|r炼金（50）|n|cFFFFD200价格：|r2|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t50|TINTERFACE\MONEYFRAME\UI-COPPERICON.BLP:0|t,-1,3,2334
2552,|cFFFFD200掉落：|r世界生物|n|n|cFFFFD200宝藏：|r世界掉落|n|n|cFFFFD200采集：|r世界采集点,0,0,2335
2553,|cFFFFD200专业技能训练师：|r炼金（55）|n|cFFFFD200价格：|r10|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t,-1,3,2337
2561,|cFFFFD200专业技能训练师：|r采矿（65）|n|cFFFFD200价格：|r2|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t,-1,3,2658
2562,|cFFFFD200专业技能训练师：|r采矿（50）|n|cFFFFD200价格：|r2|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t,-1,3,2659
2564,|cFFFFD200专业技能训练师：|r锻造（35）|n|cFFFFD200价格：|r1|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t,-1,3,2661
2565,|cFFFFD200专业技能训练师：|r锻造（1）|n|cFFFFD200价格：|r50|TINTERFACE\MONEYFRAME\UI-COPPERICON.BLP:0|t,-1,3,2662
2567,|cFFFFD200专业技能训练师：|r锻造（90）|n|cFFFFD200价格：|r5|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t,-1,3,2664
2568,|cFFFFD200专业技能训练师：|r锻造（65）|n|cFFFFD200价格：|r1|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t,-1,3,2665
2569,|cFFFFD200专业技能训练师：|r锻造（70）|n|cFFFFD200价格：|r2|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t,-1,3,2666
2570,|cFFFFD200掉落：|r世界生物|n|n|cFFFFD200宝藏：|r世界掉落|n|n|cFFFFD200采集：|r世界采集点,0,0,2667
2571,|cFFFFD200专业技能训练师：|r锻造（105）|n|cFFFFD200价格：|r3|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t,-1,3,2668
2572,|cFFFFD200专业技能训练师：|r锻造（105）|n|cFFFFD200价格：|r5|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t,-1,3,2670
2573,|cFFFFD200专业技能训练师：|r锻造（120）|n|cFFFFD200价格：|r5|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t,-1,3,2672
2574,|cFFFFD200专业技能训练师：|r锻造（125）|n|cFFFFD200价格：|r10|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t,-1,3,2674
2575,|cFFFFD200专业技能训练师：|r锻造（145）|n|cFFFFD200价格：|r10|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t,-1,3,2675
2576,|cFFFFD200专业技能训练师：|r锻造（15）|n|cFFFFD200价格：|r50|TINTERFACE\MONEYFRAME\UI-COPPERICON.BLP:0|t,-1,3,2737
2577,|cFFFFD200专业技能训练师：|r锻造（110）|n|cFFFFD200价格：|r2|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t,-1,3,2740
2578,|cFFFFD200专业技能训练师：|r锻造（115）|n|cFFFFD200价格：|r2|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t,-1,3,2741
2579,|cFFFFD200专业技能训练师：|r锻造（20）|n|cFFFFD200价格：|r50|TINTERFACE\MONEYFRAME\UI-COPPERICON.BLP:0|t,-1,3,2738
2580,|cFFFFD200专业技能训练师：|r锻造（25）|n|cFFFFD200价格：|r50|TINTERFACE\MONEYFRAME\UI-COPPERICON.BLP:0|t,-1,3,2739
2581,|cFFFFD200专业技能训练师：|r锻造（120）|n|cFFFFD200价格：|r2|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t,-1,3,2742
2587,|cFFFFD200专业技能训练师：|r锻造（125）|n|cFFFFD200价格：|r10|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t,-1,3,3117
2588,|cFFFFD200专业技能训练师：|r锻造（65）|n|cFFFFD200价格：|r1|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t,-1,3,3116
2589,|cFFFFD200专业技能训练师：|r炼金（90）|n|cFFFFD200价格：|r5|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t,-1,3,3171
2590,|cFFFFD200专业技能训练师：|r炼金（120）|n|cFFFFD200价格：|r15|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t,-1,3,3173
2591,|cFFFFD200掉落：|r世界生物|n|n|cFFFFD200宝藏：|r世界掉落|n|n|cFFFFD200采集：|r世界采集点,0,0,3174
2592,|cFFFFD200专业技能训练师：|r炼金（125）|n|cFFFFD200价格：|r15|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t,-1,3,3176
2593,|cFFFFD200专业技能训练师：|r炼金（130）|n|cFFFFD200价格：|r20|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t,-1,3,3177
2594,|cFFFFD200掉落：|r世界生物|n|n|cFFFFD200宝藏：|r世界掉落,0,0,2333
2595,|cFFFFD200掉落：|r世界生物|n|n|cFFFFD200宝藏：|r世界掉落,0,0,3188
2596,|cFFFFD200专业技能训练师：|r炼金（15）|n|cFFFFD200价格：|r50|TINTERFACE\MONEYFRAME\UI-COPPERICON.BLP:0|t,-1,3,3170
2597,|cFFFFD200掉落：|r世界生物|n|n|cFFFFD200宝藏：|r世界掉落|n|n|cFFFFD200采集：|r世界采集点,0,0,3230
2598,|cFFFFD200专业技能训练师：|r采矿（115）|n|cFFFFD200价格：|r6|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t,-1,3,3308
2599,|cFFFFD200专业技能训练师：|r采矿（100）|n|cFFFFD200价格：|r5|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t,-1,3,3307
2600,|cFFFFD200专业技能训练师：|r采矿（50）|n|cFFFFD200价格：|r50|TINTERFACE\MONEYFRAME\UI-COPPERICON.BLP:0|t,-1,3,3304
2601,|cFFFFD200专业技能训练师：|r锻造（95）|n|cFFFFD200价格：|r5|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t,-1,3,3292
2602,|cFFFFD200专业技能训练师：|r锻造（35）|n|cFFFFD200价格：|r2|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t50|TINTERFACE\MONEYFRAME\UI-COPPERICON.BLP:0|t,-1,3,3293
2603,|cFFFFD200专业技能训练师：|r锻造（70）|n|cFFFFD200价格：|r5|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t,-1,3,3294
2604,|cFFFFD200掉落：|r世界生物|n|n|cFFFFD200宝藏：|r世界掉落|n|n|cFFFFD200采集：|r世界采集点,0,0,3295
2605,|cFFFFD200专业技能训练师：|r锻造（130）|n|cFFFFD200价格：|r10|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t,-1,3,3296
2606,|cFFFFD200掉落：|r世界生物|n|n|cFFFFD200宝藏：|r世界掉落,0,0,3297
