ID,Name_lang,TotemCategoryType,TotemCategoryMask
1,剥皮刀,1,1
2,大地图腾,2,1
3,空气图腾,2,2
4,火焰图腾,2,4
5,水之图腾,2,8
6,符文附魔棒,24,65536
7,符文附魔棒,24,65536
8,符文附魔棒,24,65536
9,符文附魔棒,24,65536
10,符文附魔棒,24,65536
11,矿工锄,21,1
12,点金石,22,1
13,铁匠锤,23,1
14,弧光扳手,24,1
15,侏儒微调器,24,2
21,大师图腾,2,15
41,符文附魔棒,24,65536
62,符文附魔棒,24,65536
63,符文附魔棒,24,65536
81,羽毛笔,22,4
101,符文附魔棒,24,69631
121,学者的书写工具,24,-2147483648
141,战鼓,24,1073741824
161,侏儒军刀,24,127
162,铁匠锤,24,4
165,矿工锄,24,8
166,剥皮刀,24,16
167,锤头锄,24,12
168,锋刃锄,24,24
169,燧石和火绒,24,32
189,符文附魔棒,24,65536
190,符文附魔棒,24,65536
209,符文附魔棒,24,65536
210,大火力推膛枪,24,64
230,符文附魔棒,24,65536
238,珠宝匠的工具,24,64
250,终极版侏儒军刀,24,-2147417985
253,兰娜瑟尔的血红羽毛笔,61,1
354,Ub3r扳手,24,1
355,虚空法器,162,1
356,强化的虚空法器,162,3
357,解放的虚空法器,162,7
358,匠工大师,24,-2147483553
359,学者的铭刻工具,24,-2147483648
362,工程学多用工具,24,71
369,侏儒军用全能工具,164,-1
