DisplayName_lang,AlternateVerb_lang,Description_lang,HordeDisplayName_lang,NeutralDisplayName,ID,CategoryID,SpellIconFileID,CanLink,ParentSkillLineID,ParentTierIndex,Flags,SpellBookSpellID,ExpansionNameSharedStringID,HordeExpansionNameSharedStringID
单手剑,,武器技能越高，用该武器击中敌人的几率就越高。,,,43,6,136243,0,0,0,128,0,0,0
单手斧,,武器技能越高，用该武器击中敌人的几率就越高。,,,44,6,136243,0,0,0,128,0,0,0
弓,,武器技能越高，用该武器击中敌人的几率就越高。,,,45,6,136243,0,0,0,128,0,0,0
枪械,,武器技能越高，用该武器击中敌人的几率就越高。,,,46,6,136243,0,0,0,128,0,0,0
单手锤,,武器技能越高，用该武器击中敌人的几率就越高。,,,54,6,136243,0,0,0,128,0,0,0
双手剑,,武器技能越高，用该武器击中敌人的几率就越高。,,,55,6,136243,0,0,0,128,0,0,0
防御,,防御越高，你躲闪、招架和格挡攻击的几率就越高，因此越难以被击中，怪物对你造成爆击的几率也越低。,,,95,6,136243,0,0,0,640,0,0,0
语言：通用语,,,,,98,10,136243,0,0,0,144,0,0,0
种族特长 - 矮人,,种族特长 - 矮人,,,101,9,136243,0,0,0,33938,0,0,0
语言：兽人语,,,,,109,10,136243,0,0,0,128,0,0,0
语言：矮人语,,,,,111,10,136243,0,0,0,128,0,0,0
语言：达纳苏斯语,,,,,113,10,136243,0,0,0,128,0,0,0
语言：牛头人语,,,,,115,10,136243,0,0,0,128,0,0,0
双武器,,双武器,,,118,6,136243,0,0,0,146,0,0,0
种族特长 - 牛头人,,种族特长 - 牛头人,,,124,9,136243,0,0,0,33938,0,0,0
种族特长 - 兽人,,种族特长 - 兽人,,,125,9,136243,0,0,0,32914,0,0,0
种族特长 - 暗夜精灵,,种族特长 - 暗夜精灵,,,126,9,136243,0,0,0,33938,0,0,0
法杖,,武器技能越高，用该武器击中敌人的几率就越高。,,,136,6,136243,0,0,0,128,0,0,0
语言：萨拉斯语,,,,,137,10,136243,0,0,0,128,0,0,0
语言：龙语,,,,,138,10,136243,0,0,0,128,0,0,0
语言：恶魔语,,恶魔的扭曲语言。,,,139,10,236293,0,0,0,128,0,0,0
语言：泰坦语,,,,,140,10,136243,0,0,0,128,0,0,0
语言：古代语,,,,,141,10,136243,0,0,0,128,0,0,0
生存技能,,,,,142,9,136243,0,0,0,0,0,0,0
骑术：马,,,,,148,9,136243,0,0,0,1170,0,0,0
骑术：狼,,,,,149,9,136243,0,0,0,1170,0,0,0
骑术：豹,,,,,150,9,136243,0,0,0,1170,0,0,0
骑术：羊,,,,,152,9,136243,0,0,0,1170,0,0,0
游泳,,,,,155,9,136243,0,0,0,0,0,0,0
双手锤,,武器技能越高，用该武器击中敌人的几率就越高。,,,160,6,136243,0,0,0,128,0,0,0
徒手战斗,,此技能等级越高，你击中目标的几率越高。,,,162,6,136243,0,0,0,128,0,0,0
锻造,修改,高级的锻造技能使你可以学习高级的锻造设计图。你可以在训练师那里学习新的设计图，也可以通过完成任务或杀死怪物获得新的设计图。,,,164,11,4620670,1,0,0,4224,2018,0,0
制皮,雕饰,高级的制皮技能使你可以学习高级的制皮图样。你可以在训练师那里学习新的图样，也可以通过完成任务或杀死怪物获得新的图样。,,,165,11,4620678,1,0,0,4224,2108,0,0
