Name_lang,ID,ParentUiMapID,Flags,System,Type,BountySetID,BountyDisplayLocation,TempVisibilityPlayerConditionID,VisibilityPlayerConditionID,HelpTextPosition,BkgAtlasID,AlternateUiMapGroup,ContentTuningID
杜隆塔尔,1,12,6,0,3,0,0,0,0,0,0,0,70
火刃集会所,2,1,0,0,5,0,0,0,0,0,0,0,0
提拉加德城堡,3,1,0,0,5,0,0,0,0,0,0,0,0
提拉加德城堡,4,1,0,0,5,0,0,0,0,0,0,0,0
骷髅石,5,1,0,0,5,0,0,0,0,0,0,0,0
尘风洞穴,6,1,0,0,5,0,0,0,0,0,0,0,0
莫高雷,7,12,6,0,3,0,0,0,0,0,0,0,71
白鬃石,8,7,0,0,5,0,0,0,0,0,0,0,0
风险投资公司矿洞,9,7,0,0,5,0,0,0,0,0,0,0,0
北贫瘠之地,10,12,6,0,3,0,0,0,0,0,0,0,3
哀嚎洞穴,11,10,0,0,5,0,0,0,0,0,0,0,0
卡利姆多,12,947,0,0,2,0,0,0,0,0,0,0,0
东部王国,13,947,0,0,2,0,0,0,0,0,0,0,0
阿拉希高地,14,13,6,0,3,10,1,0,0,1,0,0,17
荒芜之地,15,13,6,0,3,0,0,0,0,0,0,0,27
奥达曼,16,15,0,0,5,0,0,0,0,0,0,0,0
诅咒之地,17,13,6,0,3,0,0,0,0,0,0,0,34
提瑞斯法林地,18,13,6,0,3,0,0,0,0,0,0,0,75
血色修道院入口,19,18,0,0,5,0,0,0,0,0,0,0,0
守护者之眠,20,18,0,0,5,0,0,0,0,0,0,0,0
银松森林,21,13,6,0,3,0,0,0,0,0,0,0,7
西瘟疫之地,22,13,6,0,3,0,0,0,0,0,0,0,25
东瘟疫之地,23,13,6,0,3,0,0,0,0,0,0,0,35
圣光之愿礼拜堂,24,23,0,0,5,0,0,0,0,0,0,0,0
希尔斯布莱德丘陵,25,13,6,0,3,0,0,0,0,0,0,0,11
辛特兰,26,13,6,0,3,0,0,0,0,0,0,0,20
丹莫罗,27,13,6,0,3,0,0,0,0,0,0,0,74
寒脊山小径,28,27,0,0,5,0,0,0,0,0,0,0,0
灰色洞穴,29,27,0,0,5,0,0,0,0,0,0,0,0
新工匠镇,30,27,0,0,5,0,0,0,0,0,0,0,0
古博拉采掘场,31,27,0,0,5,0,0,0,0,0,0,0,0
灼热峡谷,32,13,6,0,3,0,0,0,0,0,0,0,29
黑石山,33,36,0,0,5,0,0,0,0,0,0,0,0
黑石山,34,36,0,0,5,0,0,0,0,0,0,0,0
黑石山,35,32,0,0,5,0,0,0,0,0,0,0,0
燃烧平原,36,13,6,0,3,0,0,0,0,0,0,0,30
艾尔文森林,37,13,6,0,3,0,0,0,0,0,0,0,73
法戈第矿洞,38,37,0,0,5,0,0,0,0,0,0,0,0
法戈第矿洞,39,37,0,0,5,0,0,0,0,0,0,0,0
玉石矿洞,40,37,0,0,5,0,0,0,0,0,0,0,0
达拉然,41,42,0,0,5,0,0,0,0,0,0,0,0
逆风小径,42,13,6,0,3,0,0,0,0,0,0,0,775
麦迪文的酒窖,43,42,0,0,5,0,0,0,0,0,0,0,0
麦迪文的酒窖,44,42,0,0,5,0,0,0,0,0,0,0,0
麦迪文的酒窖,45,42,0,0,5,0,0,0,0,0,0,0,0
卡拉赞墓穴,46,42,0,0,5,0,0,0,0,0,0,0,0
暮色森林,47,13,6,0,3,0,0,0,0,0,0,0,13
洛克莫丹,48,13,6,0,3,0,0,0,0,0,0,0,9
赤脊山,49,13,6,0,3,0,0,0,0,0,0,0,10
北荆棘谷,50,224,6,0,3,0,0,0,0,0,0,0,18
悲伤沼泽,51,13,6,0,3,0,0,0,0,0,0,0,31
西部荒野,52,13,6,0,3,0,0,0,0,0,0,0,6
金海岸矿洞,53,52,0,0,5,0,0,0,0,0,0,0,0
詹戈洛德矿洞,54,52,0,0,5,0,0,0,0,0,0,0,0
死亡矿井,55,52,0,0,5,0,0,0,0,0,0,0,0
湿地,56,13,6,0,3,0,0,0,0,0,0,0,15
泰达希尔,57,12,6,0,3,0,0,0,68088,0,0,0,72
黑丝洞,58,57,0,0,5,0,0,0,0,0,0,0,0
地狱石,59,57,0,0,5,0,0,0,0,0,0,0,0
班尼希尔兽穴,60,57,0,0,5,0,0,0,0,0,0,0,0
班尼希尔兽穴,61,57,0,0,5,0,0,0,0,0,0,0,0
黑海岸,62,12,6,0,3,10,1,0,0,1,0,0,5
灰谷,63,12,6,0,3,0,0,0,0,0,0,0,12
千针石林,64,12,6,0,3,0,0,0,0,0,0,0,21
石爪山脉,65,12,6,0,3,0,0,0,0,0,0,0,14
凄凉之地,66,12,6,0,3,0,0,0,0,0,0,0,19
玛拉顿,67,66,0,0,5,0,0,0,0,0,0,0,0
玛拉顿,68,66,0,0,5,0,0,0,0,0,0,0,0
菲拉斯,69,12,6,0,3,0,0,0,0,0,0,0,22
尘泥沼泽,70,12,6,0,3,0,0,0,0,0,0,0,23
塔纳利斯,71,12,6,0,3,0,0,0,0,0,0,0,28
腐化之巢,72,71,0,0,5,0,0,0,0,0,0,0,0
大裂口,73,71,0,0,5,0,0,0,0,0,0,0,0
时光之穴,74,71,0,0,5,0,0,0,0,0,0,0,0
时光之穴,75,71,0,0,5,0,0,0,0,0,0,0,0
艾萨拉,76,12,6,0,3,0,0,0,0,0,0,0,2
费伍德森林,77,12,6,0,3,0,0,0,0,0,0,0,26
安戈洛环形山,78,12,6,0,3,0,0,0,0,0,0,0,32
巨痕谷,79,78,0,0,5,0,0,0,0,0,0,0,0
月光林地,80,12,6,0,3,0,0,0,0,0,0,0,884
希利苏斯,81,12,6,0,3,0,0,0,0,0,0,0,36
暮光小径,82,81,0,0,5,0,0,0,0,0,0,0,0
冬泉谷,83,12,6,0,3,0,0,0,0,0,0,0,33
暴风城,84,13,7,0,3,0,0,0,0,0,0,0,0
奥格瑞玛,85,12,7,0,3,0,0,0,0,0,0,0,0
奥格瑞玛,86,85,0,0,6,0,0,0,0,0,0,0,0
铁炉堡,87,13,6,0,3,0,0,0,0,0,0,0,0
雷霆崖,88,12,6,0,3,0,0,0,0,0,0,0,0
达纳苏斯,89,12,7,0,3,0,0,0,68088,0,0,0,0
幽暗城,90,13,6,0,3,0,0,0,62731,0,0,0,0
奥特兰克山谷,91,25,0,0,6,0,0,0,0,0,0,0,0
战歌峡谷,92,10,0,0,6,0,0,0,0,0,0,0,0
阿拉希盆地,93,14,0,0,6,0,0,0,0,0,0,0,0
永歌森林,94,13,6,0,3,0,0,0,0,0,0,0,77
幽魂之地,95,13,6,0,3,0,0,0,0,0,0,0,8
阿曼尼墓穴,96,95,0,0,5,0,0,0,0,0,0,0,0
秘蓝岛,97,12,6,0,3,0,0,0,0,0,0,0,76
海潮洞窟,98,97,0,0,5,0,0,0,0,0,0,0,0
止松要塞,99,97,0,0,5,0,0,0,0,0,0,0,0
地狱火半岛,100,101,6,0,3,0,0,0,0,0,0,0,37
外域,101,946,0,0,2,0,0,0,0,0,0,0,777
赞加沼泽,102,101,6,0,3,0,0,0,0,0,0,0,38
埃索达,103,12,6,0,3,0,0,0,0,0,0,0,0
影月谷,104,101,6,0,3,0,0,0,0,0,0,0,43
刀锋山,105,101,6,0,3,0,0,0,0,0,0,0,41
秘血岛,106,12,6,0,3,0,0,0,0,0,0,0,4
纳格兰,107,101,6,0,3,0,0,0,0,0,0,0,40
泰罗卡森林,108,101,6,0,3,0,0,0,0,0,0,0,39
虚空风暴,109,101,6,0,3,0,0,0,0,0,0,0,42
银月城,110,13,6,0,3,0,0,0,0,0,0,0,0
沙塔斯城,111,101,6,0,3,0,0,0,0,0,0,0,0
风暴之眼,112,109,0,0,6,0,0,0,0,0,0,0,0
诺森德,113,947,0,0,2,0,0,0,0,0,0,0,826
北风苔原,114,113,6,0,3,0,0,0,0,0,0,0,44
龙骨荒野,115,113,6,0,3,0,0,0,0,0,0,0,46
灰熊丘陵,116,113,6,0,3,0,0,0,0,0,0,0,47
嚎风峡湾,117,113,6,0,3,0,0,0,0,0,0,0,45
冰冠冰川,118,113,6,0,3,0,0,0,0,0,0,0,51
索拉查盆地,119,113,6,0,3,0,0,0,0,0,0,0,49
风暴峭壁,120,113,6,0,3,0,0,0,0,0,0,0,50
祖达克,121,113,6,0,3,0,0,0,0,0,0,0,48
奎尔丹纳斯岛,122,13,6,0,3,0,0,0,0,0,0,0,161
冬拥湖,123,113,6,0,3,0,0,0,0,0,0,0,1200
东瘟疫之地：血色领地,124,23,0,0,6,0,0,0,0,0,0,0,0
达拉然,125,127,0,0,4,0,0,0,0,0,0,0,0
达拉然,126,127,0,0,4,0,0,0,0,0,0,0,0
晶歌森林,127,113,6,0,3,0,0,0,0,0,0,0,163
远古海滩,128,115,0,0,6,0,0,0,0,0,0,0,0
魔枢,129,114,0,0,4,0,0,0,0,0,0,0,0
净化斯坦索姆,130,71,0,0,4,0,0,0,0,0,0,0,0
净化斯坦索姆,131,130,0,0,4,0,0,0,0,0,0,0,0
安卡赫特：古代王国,132,115,0,0,4,0,0,0,0,0,0,0,0
乌特加德城堡,133,117,0,0,4,0,0,0,0,0,0,0,0
乌特加德城堡,134,117,0,0,4,0,0,0,0,0,0,0,0
乌特加德城堡,135,117,0,0,4,0,0,0,0,0,0,0,0
乌特加德之巅,136,117,0,0,4,0,0,0,0,0,0,0,0
