ID,Name_lang,Description_lang,CategoryID,InventoryIconFileID,SpellWeight,SpellCategory,MaxQty,MaxEarnablePerWeek,Quality,FactionID,ItemGroupSoundsID,XpQuestDifficulty,AwardConditionID,MaxQtyWorldStateID,RechargingAmountPerCycle,RechargingCycleDurationMS,WarbondTransferPercentage,Field_11_1_0_58221_017,Flags[0],Flags[1]
1,Currency Token Test Token 4,Text that describes this item can be found here.,1,133792,1,0,0,0,1,0,0,0,0,0,0,0,0,0,71682,0
2,Currency Token Test Token 2,,1,132092,1,2,0,0,1,0,0,0,0,0,0,0,0,0,12289,0
4,Currency Token Test Token 5,,1,133790,4,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0
22,Birmingham Test Item 3,,41,132373,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
42,公正徽章,,1,135884,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
61,达拉然珠宝匠硬币,达拉然的蒂凡妮·卡蒂亚会欣然接受这些代币，并用稀有的珠宝加工图鉴来交换。,21,134138,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
81,美食家奖章,造访各个主城以及诺森德的达拉然的特殊烹饪供应商，购买罕见的烹饪配方、香料以及大厨的帽子！,1,134411,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
101,英雄纹章,,22,135947,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
102,勇气纹章,,22,237547,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
103,竞技场点数,,2,135884,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
104,荣誉点数,能读到这行字就说明你遇到了一个bug，赶紧的报bug。,2,135884,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
121,奥特兰克山谷荣誉奖章,,2,133308,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
122,阿拉希盆地荣誉奖章,,2,133282,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
123,风暴之眼荣誉奖章,,2,136032,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
124,远古海滩荣誉奖章,,2,133276,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
125,战歌峡谷荣誉奖章,,2,134420,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
126,冬拥湖荣誉奖章,,2,133408,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
161,岩石守卫者的碎片,,2,134375,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
181,Honor Points DEPRECATED2,能读到这行字就说明你遇到了一个bug，赶紧的报bug。,2,132484,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
201,风险硬币,,2,133799,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
221,征服纹章,,22,135885,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
241,冠军的徽记,表彰你在十字军演武场中展示的武勇。,21,236246,0,0,0,0,1,0,0,0,0,0,0,0,100,0,2,0
301,凯旋纹章,,22,135979,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
321,征服之岛荣誉奖章,,2,133314,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
341,寒冰纹章,,22,334365,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
