ID,Description_lang,PendingText_lang,UiTextureKitID,GarrTypeID,GarrBuildingType,BaseCapacity,SmallDisplayInfoID,MediumDisplayInfoID,LargeDisplayInfoID,WorkingDisplayInfoID,WorkingSpellVisualID,CompleteSpellVisualID,MediumThreshold,LargeThreshold,Faction,CrossFactionID
2,,,0,2,17,1,16091,16092,16093,0,0,0,3,5,-1,0
3,,,0,2,0,2,439,7321,10344,0,0,0,3,5,-1,0
30,,一批美味的水产品即将送达！,51,2,0,0,15020,0,0,0,0,0,5,5,-1,0
31,"生产一批炼金催化剂。

你可以在要塞报告中查看生产进度。

当建筑达到2级或以上时，你可以通过建筑设计桌指派一名追随者在其中工作，以提高产量。",炼金催化剂,43,2,16,1,16091,16092,22545,0,0,0,14,21,1,57
32,"根据捕获的动物类型生产一批鲜肉、皮革或毛皮。

当建筑达到2级或以上时，你可以通过建筑设计桌指派一名追随者在其中工作，以提高产量。",畜棚货物,51,2,3,1,17819,14563,16155,0,0,0,14,21,-1,0
36,"使用从德拉诺各地砍伐的木材生产一批要塞物资。

你可以在要塞报告中查看生产进度。

等制造完成后再回来验收货物。",伐木场货物,54,2,4,1,16091,16092,19906,0,0,0,14,21,-1,0
37,"生产一批妖纹布。

你可以在要塞报告中查看生产进度。

当建筑达到2级或以上时，你可以通过建筑设计桌指派一名追随者在其中工作，以提高产量。",妖纹布,52,2,23,1,16091,16092,22545,0,0,0,14,21,1,64
49,"生产一批真钢锭。

你可以在要塞报告中查看生产进度。

当建筑达到2级或以上时，你可以通过建筑设计桌指派一名追随者在其中工作，以提高产量。",真钢锭,42,2,17,1,16091,16092,22545,0,0,0,14,21,1,58
50,"生产一批上蜡皮革。

你可以在要塞报告中查看生产进度。

当建筑达到2级或以上时，你可以通过建筑设计桌指派一名追随者在其中工作，以提高产量。",上蜡皮革,49,2,22,1,16091,16092,22545,0,0,0,14,21,1,63
51,"生产一批塔拉迪特水晶。

你可以在要塞报告中查看生产进度。

当建筑达到2级或以上时，你可以通过建筑设计桌指派一名追随者在其中工作，以提高产量。",塔拉迪特水晶,46,2,21,1,16091,16092,22545,0,0,0,14,21,1,62
