ID,EffectDescription_lang,AuraDescription_lang,SpellEffectType,AuraEffectType,PointsSign,TargetType,SchoolMask,EffectOrderIndex,AuraOrderIndex
1,对一名敌人造成$s@effectindex点物理伤害。,,2,0,1,3,1,50,50
2,对一名敌人造成$s@effectindex点神圣伤害。,,2,0,1,3,2,50,50
3,对一名敌人造成$s@effectindex点火焰伤害。,,2,0,1,3,4,50,50
4,对一名敌人造成$s@effectindex点自然伤害。,,2,0,1,3,8,50,50
5,对一名敌人造成$s@effectindex点冰霜伤害。,,2,0,1,3,16,50,50
6,对一名敌人造成$s@effectindex点暗影伤害。,,2,0,1,3,32,50,50
7,对一名敌人造成$s@effectindex点奥术伤害。,,2,0,1,3,64,50,50
8,对一名敌人造成$s@effectindex点混乱伤害。,,2,0,1,3,127,50,50
9,对冲击点周围$A@effectindex码内的敌人造成$s@effectindex点物理伤害。,,2,0,1,5,1,50,50
10,对冲击点周围$A@effectindex码内的敌人造成$s@effectindex点神圣伤害。,,2,0,1,5,2,50,50
11,对冲击点周围$A@effectindex码内的敌人造成$s@effectindex点火焰伤害。,,2,0,1,5,4,50,50
12,对冲击点周围$A@effectindex码内的敌人造成$s@effectindex点自然伤害。,,2,0,1,5,8,50,50
13,对冲击点周围$A@effectindex码内的敌人造成$s@effectindex点冰霜伤害。,,2,0,1,5,16,50,50
14,对冲击点周围$A@effectindex码内的敌人造成$s@effectindex点暗影伤害。,,2,0,1,5,32,50,50
15,对冲击点周围$A@effectindex码内的敌人造成$s@effectindex点奥术伤害。,,2,0,1,5,64,50,50
16,对冲击点周围$A@effectindex码内的敌人造成$s@effectindex点混乱伤害。,,2,0,1,5,127,50,50
17,对冲击点周围$A@effectindex码内的敌人造成$s@effectindex点物理伤害。,,2,0,1,7,1,50,50
18,对$A@effectindex码内的敌人造成$s@effectindex点神圣伤害。,,2,0,1,7,2,50,50
19,对$A@effectindex码内的敌人造成$s@effectindex点火焰伤害。,,2,0,1,7,4,50,50
20,对$A@effectindex码内的敌人造成$s@effectindex点自然伤害。,,2,0,1,7,8,50,50
21,对$A@effectindex码内的敌人造成$s@effectindex点冰霜伤害。,,2,0,1,7,16,50,50
22,对$A@effectindex码内的敌人造成$s@effectindex点暗影伤害。,,2,0,1,7,32,50,50
23,对$A@effectindex码内的敌人造成$s@effectindex点奥术伤害。,,2,0,1,7,64,50,50
24,对$A@effectindex码内的敌人造成$s@effectindex点混乱伤害。,,2,0,1,7,127,50,50
25,每$t@effectindex秒对一名敌人造成$s@effectindex点物理伤害，持续$d。,每$t@effectindex秒受到$s@effectindex点物理伤害。,6,3,1,3,1,50,50
26,每$t@effectindex秒对一名敌人造成$s@effectindex点神圣伤害，持续$d。,每$t@effectindex秒受到$s@effectindex点神圣伤害。,6,3,1,3,2,50,50
27,每$t@effectindex秒对一名敌人造成$s@effectindex点火焰伤害，持续$d。,每$t@effectindex秒受到$s@effectindex点火焰伤害。,6,3,1,3,4,50,50
28,每$t@effectindex秒对一名敌人造成$s@effectindex点自然伤害，持续$d。,每$t@effectindex秒受到$s@effectindex点自然伤害。,6,3,1,3,8,50,50
29,每$t@effectindex秒对一名敌人造成$s@effectindex点冰霜伤害，持续$d。,每$t@effectindex秒受到$s@effectindex点冰霜伤害。,6,3,1,3,16,50,50
30,每$t@effectindex秒对一名敌人造成$s@effectindex点暗影伤害，持续$d。,每$t@effectindex秒受到$s@effectindex点暗影伤害。,6,3,1,3,32,50,50
31,每$t@effectindex秒对一名敌人造成$s@effectindex点奥术伤害，持续$d。,每$t@effectindex秒受到$s@effectindex点奥术伤害。,6,3,1,3,64,50,50
32,每$t@effectindex秒对一名敌人造成$s@effectindex点混乱伤害，持续$d。,每$t@effectindex秒受到$s@effectindex点混乱伤害。,6,3,1,3,127,50,50
33,使敌人昏迷，无法移动或攻击，持续$d。,昏迷。,6,12,0,3,0,0,0
34,使冲击点周围$A@effectindex码内所有盟友的攻击和施法速度提高$s@effectindex%，持续$d。,攻击和施法速度提高$s@effectindex%。,6,193,1,6,0,0,0
35,令$A@effectindex码内的所有敌人昏迷，使其无法移动或攻击，持续$d。,昏迷。,6,12,0,7,0,0,0
36,令冲击点周围$A@effectindex码内的所有敌人昏迷，使其无法移动或攻击，持续$d。,昏迷。,6,12,0,5,0,0,0
37,治疗一个盟友，为其恢复$s@effectindex%的最大生命值。,,136,0,1,2,0,0,0
38,使一名敌人无法移动，持续最多$d。,无法移动。,6,26,0,3,0,20,0
