ID,Reaction_lang,FriendshipRepID,ReactionThreshold,OverrideColor
1,陌生人,2,0,0
2,熟人,2,8400,0
3,哥们,2,16800,0
4,朋友,2,25200,0
5,好友,2,33600,0
6,挚友,2,42000,0
59,陌生人,16,0,0
60,熟人,16,8400,0
61,哥们,16,16800,0
62,朋友,16,25200,0
63,好友,16,33600,0
64,挚友,16,42000,0
65,陌生人,17,0,0
66,熟人,17,8400,0
67,哥们,17,16800,0
68,朋友,17,25200,0
69,好友,17,33600,0
70,挚友,17,42000,0
71,陌生人,18,0,0
72,熟人,18,8400,0
73,哥们,18,16800,0
74,朋友,18,25200,0
75,好友,18,33600,0
76,挚友,18,42000,0
77,陌生人,19,0,0
78,熟人,19,8400,0
79,哥们,19,16800,0
80,朋友,19,25200,0
81,好友,19,33600,0
82,挚友,19,42000,0
83,陌生人,20,0,0
84,熟人,20,8400,0
85,哥们,20,16800,0
86,朋友,20,25200,0
87,好友,20,33600,0
88,挚友,20,42000,0
89,陌生人,21,0,0
90,熟人,21,8400,0
91,哥们,21,16800,0
92,朋友,21,25200,0
93,好友,21,33600,0
94,挚友,21,42000,0
95,陌生人,22,0,0
96,熟人,22,8400,0
97,哥们,22,16800,0
98,朋友,22,25200,0
99,好友,22,33600,0
100,挚友,22,42000,0
101,陌生人,23,0,0
102,熟人,23,8400,0
103,哥们,23,16800,0
104,朋友,23,25200,0
105,好友,23,33600,0
106,挚友,23,42000,0
107,陌生人,24,0,0
108,熟人,24,8400,0
109,哥们,24,16800,0
110,朋友,24,25200,0
111,好友,24,33600,0
112,挚友,24,42000,0
113,初级,25,0,0
114,初级,25,8400,0
115,中级,25,16800,0
116,中级,25,25200,0
117,中级,25,33600,0
118,高级,25,42000,0
119,陌生人,26,0,0
120,同伴,26,8400,0
121,哥们,26,16800,0
122,朋友,26,25200,0
123,挚友,26,42000,0
124,好友,26,33600,0
127,1级,28,0,0
128,2级,28,1000,0
129,3级,28,2000,0
130,4级,28,3000,0
131,5级,28,4000,0
132,6级,28,5000,0
133,7级,28,6000,0
192,1级,43,0,0
193,2级,43,1000,0
194,3级,43,2000,0
195,4级,43,3000,0
196,5级,43,4000,0
197,6级,43,5000,0
198,7级,43,6000,0
271,顶级,43,7000,0
272,顶级,28,7000,0
288,未资助,72,0,0
289,已资助,72,10000,0
416,保镖,160,0,0
417,贴身保镖,160,10000,0
418,亲密搭档,160,20000,0
422,保镖,162,0,0
423,贴身保镖,162,10000,0
424,亲密搭档,162,20000,0
425,保镖,163,0,0
426,贴身保镖,163,10000,0
427,亲密搭档,163,20000,0
428,保镖,164,0,0
429,贴身保镖,164,10000,0
430,亲密搭档,164,20000,0
431,保镖,165,0,0
432,贴身保镖,165,10000,0
433,亲密搭档,165,20000,0
434,保镖,166,0,0
435,贴身保镖,166,10000,0
436,亲密搭档,166,20000,0
437,保镖,167,0,0
438,贴身保镖,167,10000,0
439,亲密搭档,167,20000,0
443,等级 1,171,0,0
444,等级 2,171,1000,0
445,等级 3,171,2000,0
446,等级 4,171,3000,0
447,等级 5,171,4000,0
448,等级 6,171,5000,0
449,等级 7,171,6000,0
450,等级8,171,7000,0
451,等级 1,172,0,0
452,等级 2,172,1000,0
453,等级 3,172,2000,0
454,等级 4,172,3000,0
455,等级 5,172,4000,0
456,等级 6,172,5000,0
457,等级 7,172,6000,0
458,等级8,172,7000,0
466,衰退,181,0,0
467,稳定,181,100,0
471,衰退,182,0,0
472,稳定,182,100,0
473,增强,182,150,0
476,衰退,183,0,0
477,满足,183,200,0
481,等级9,171,8000,0
482,顶级,171,9000,0
483,等级9,172,8000,0
484,顶级,172,9000,0
485,阶段0 - 追随者,184,0,0
486,阶段2 - 第二章,184,21000,0
487,阶段1 - 第一章,184,45000,0
488,阶段3 - 第三章,184,60000,0
489,衰退,185,0,0
490,稳定,185,100,0
520,陌生人,193,0,0
521,同伴,193,8400,0
522,哥们,193,16800,0
523,朋友,193,25200,0
524,好友,193,33600,0
525,挚友,193,42000,0
530,实习,195,0,0
531,初级驻院医师,195,1000,0
532,资深驻院医师,195,2000,0
533,急救队,195,3000,0
534,满足,185,200,0
535,满足,181,200,0
536,稳定,183,100,0
543,保镖,198,0,0
544,贴身保镖,198,10000,0
545,亲密搭档,198,20000,0
546,陌生人,199,0,0
547,同伴,199,8400,0
548,哥们,199,16800,0
550,朋友,199,25200,0
551,好友,199,33600,0
552,陌生人,200,0,0
553,同伴,200,8400,0
554,哥们,200,16800,0
555,好友,200,33600,0
556,挚友,200,42000,0
562,陌生人,202,0,0
563,同伴,202,8400,0
564,哥们,202,16800,0
565,好友,202,33600,0
566,挚友,202,42000,0
572,陌生人,204,0,0
573,同伴,204,8400,0
574,哥们,204,16800,0
575,好友,204,33600,0
576,挚友,204,42000,0
582,陌生人,206,0,0
583,同伴,206,8400,0
584,哥们,206,16800,0
585,好友,206,33600,0
586,挚友,206,42000,0
592,陌生人,208,0,0
593,关注,208,8400,0
594,不具威胁的人,208,16800,0
595,益友,208,33600,0
596,挚友,208,42000,0
597,挚友,199,42000,0
598,朋友,200,25200,0
