ID,Name_lang,Description_lang,SpecSetID
2,艾泽拉斯的不朽赐福,,1
3,沉抑之球,沉重的奥术能量在其中盘旋，让你感觉一切尽在掌握。,1
4,世界血脉共鸣,第三次燃烧军团入侵末期，萨格拉斯重创了艾泽拉斯，从而使艾泽里特从星球内部流淌而出。,2
5,聚焦之虹的精华,,160
6,净化协议,奥迪尔的腐化被清除后，纯净圣母有了一项新的使命：研究修复艾泽拉斯的途径。,160
7,生死心能,,1
12,烈焰熔炉,火焰的狂怒既可以造成毁天灭地的灾难，也能催生新的生命。,2
13,虚无粹源,里面空空如也，感觉不到一丝能量，但却异常沉重。,1
14,生命之凝力,艾泽拉斯之心能够以超出凡人想象的方式操纵艾泽里特。,160
15,空间涟漪,每一分每一秒，你都有机会作出正确的决定。,2
16,坚壁结界,,49
17,永恒之潮,,49
18,时空奇思,,49
19,存续之井,,49
20,生命缚誓者之祈,,49
21,活力导管,,49
22,完美愿景,未来之梦，凝结于此刻。,173
23,仇敌之血,你的艾泽拉斯之心正因愤怒而翻腾着。,160
24,救世之魂,,49
25,深渊之护,将元素之力加护于你。,1
27,清醒梦境之忆,空虚的心灵是一种浪费。,173
28,不羁之力,毁灭之力旋转着，爆裂着，等待着释放的时机。,160
32,冲突与斗争,,173
33,永生之触,,1
34,勇卫之力,,1
35,濒死之息,,160
36,灵感火花,,160
37,无形虚空,,2
