Name_lang,Description_lang,ID,HouseLevelDataID,Field_12_0_0_63967_004,IconFileDataID
初始房间收藏,利用多种基本房间形状，开始建造你的住宅。欢迎回家！,11,35,0,4217590
室外装饰,你可以在院子里放置200点数的装饰。,12,35,1,8164790
炉光浑天仪,你将获得一台炉光浑天仪，这是一台精妙的装置，能够操控拥有者住宅内外的环境光，使其变暗或增强。|n|n你可以从住宅区的最后的建筑师处购买额外的复制品。,23,52,0,7487068
中型住宅外观,你现在可以为你的住宅使用中型住宅外观了。,24,53,0,7252953
房间与装饰放置预算加成,该等级的房间放置预算和装饰放置预算已显著提高（+10房间，+500装饰）。,26,55,0,135769
房间与装饰放置预算加成,该等级的房间放置预算和装饰放置预算已显著提高（+10房间，+500装饰）。,27,56,0,135769
增加室外装饰,你现在可以在院子里额外放置50点数的装饰，总计250点。,30,30,0,8164790
增加室外装饰,你现在可以在院子里额外放置50点数的装饰，总计300点。,38,34,0,8164790
增加室外装饰,你现在可以在院子里额外放置50点数的装饰，总计350点。,39,55,1,8164790
天涯处的宝藏,每周拜访一次你住宅区里的最后的建筑师，获取一颗奥术秘藏光球，里面包含一件从最后的建筑师精选收藏中随机挑选的装饰。,40,66,0,7137527
房间与装饰放置预算加成,该等级的房间放置预算和装饰放置预算已显著提高（+10房间，+500装饰）。,41,67,0,135769
大型住宅外观,你现在可以为你的住宅使用大型住宅外观了。,42,68,0,7252953
