ID,Description_lang,Parent,Amount,Operator,CriteriaID,OrderIndex,Flags
2,最大金币数量,0,0,4,0,0,0
3,拥有最多金币数额：,2,0,0,4224,1,8
5,获得坐骑数量,0,0,4,0,0,0
6,坐骑数量,5,0,0,4787,1,0
8,对下列各种族使用沉重的南瓜灯。,0,0,4,0,0,0
9,矮人,8,1,0,5776,3,0
10,侏儒,8,1,0,5772,4,0
11,血精灵,8,1,0,5774,1,0
12,德莱尼,8,1,0,5775,2,0
13,人类,8,1,0,5777,6,0
14,暗夜精灵,8,1,0,5778,7,0
15,兽人,8,1,0,5779,8,0
16,牛头人,8,1,0,5780,9,0
17,巨魔,8,1,0,5781,10,0
18,亡灵,8,1,0,5782,11,0
19,狼人,8,1,0,17854,12,0
20,地精,8,1,0,17855,5,0
22,决斗落败,0,0,4,0,0,0
23,决斗失败,22,0,0,3630,1,0
25,在“巫妖王之怒”25人团队首领战中死亡的总次数,0,0,5,0,0,0
26,XT-002拆解者,25,0,0,11019,25,0
27,弗蕾亚,25,0,0,11027,33,0
28,米米尔隆,25,0,0,11028,34,0
29,维扎克斯将军,25,0,0,11029,35,0
30,尤格-萨隆,25,0,0,11030,36,0
31,观察者奥尔加隆,25,0,0,11031,37,0
32,风暴看守者埃玛尔隆,25,0,0,11032,38,0
33,烈焰巨兽,25,0,0,11016,22,0
34,锋鳞,25,0,0,11017,23,0
35,掌炉者伊格尼斯,25,0,0,11018,24,0
36,欧尔莉亚,25,0,0,11024,30,0
37,霍迪尔,25,0,0,11025,31,0
38,断钢者,25,0,0,11020,26,0
39,唤雷者布隆迪尔,25,0,0,11022,28,0
40,科隆加恩,25,0,0,11023,29,0
41,塔迪乌斯,25,0,0,7839,13,0
42,库尔塔兹领主,25,0,0,7845,7,0
43,帕奇维克,25,0,0,7838,14,0
44,萨菲隆,25,0,0,7840,12,0
45,克尔苏加德,25,0,0,7841,11,0
46,女公爵布劳缪克丝,25,0,0,7842,10,0
47,瑞文戴尔男爵,25,0,0,7843,9,0
48,药剂师诺斯,25,0,0,7837,15,0
49,肮脏的希尔盖,25,0,0,7833,19,0
50,岩石看守者阿尔卡冯,25,0,0,7848,4,0
51,阿努布雷坎,25,0,0,7828,1,0
52,格拉斯,25,0,0,7829,21,0
53,收割者戈提克,25,0,0,7830,2,0
54,黑女巫法琳娜,25,0,0,7831,20,0
55,格罗布鲁斯,25,0,0,7832,3,0
56,教官拉苏维奥斯,25,0,0,7834,18,0
57,洛欧塞布,25,0,0,7835,17,0
58,迈克斯纳,25,0,0,7836,16,0
59,萨塔里奥,25,0,0,7846,6,0
60,阿努巴拉克,25,0,0,13296,44,0
61,亡语者女士,25,0,0,13298,46,0
62,寒冰看守者图拉旺,25,0,0,13291,39,0
63,腐面,25,0,0,13304,52,0
64,冰吼,25,0,0,13292,40,0
65,瑟里耶克爵士,25,0,0,7844,8,0
66,玛里苟斯,25,0,0,7847,5,0
67,加拉克苏斯大王,25,0,0,13293,41,0
68,光明邪使菲奥拉,25,0,0,13294,42,0
69,玛洛加尔领主,25,0,0,13297,45,0
70,死亡使者萨鲁法尔,25,0,0,13299,47,0
71,鲜血女王兰娜瑟尔,25,0,0,13300,48,0
72,辛达苟萨,25,0,0,13301,49,0
73,巫妖王,25,0,0,13302,50,0
74,烂肠,25,0,0,13303,51,0
75,普崔塞德教授,25,0,0,13305,53,0
76,黑暗邪使艾蒂丝,25,0,0,13295,43,0
77,符文大师莫尔基姆,25,0,0,11021,27,0
78,托里姆,25,0,0,11026,32,0
80,获得头衔“大元帅”。,0,0,4,0,0,0
81,大元帅,80,0,0,707,1,2
83,获得头衔“少校”。,0,0,4,0,0,0
84,少校,83,0,0,711,1,2
86,获得头衔“骑士”。,0,0,4,0,0,0
87,骑士,86,0,0,721,1,2
89,神秘宝库（魔古山宝库后半部分）,0,0,4,0,0,0
90,四王,89,1,0,19113,0,16
91,伊拉贡,89,1,0,19767,1,16
92,皇帝的意志,89,1,0,19115,2,16
97,在30秒内燃放10束春节爆竹。,0,0,4,0,0,0
98,在30秒内燃放10束春节爆竹,97,10,0,5755,1,1
103,祭拜卡利姆多的火焰。,0,0,4,0,0,0
104,灰谷,103,1,0,3076,0,0
105,秘血岛,103,1,0,3078,2,0
106,凄凉之地,103,1,0,3080,4,0
107,菲拉斯,103,1,0,3082,6,0
108,泰达希尔,103,1,0,3085,11,0
109,塔纳利斯,103,1,0,3084,10,0
110,尘泥沼泽,103,1,0,3081,5,0
111,秘蓝岛,103,1,0,3077,1,0
112,希利苏斯,103,1,0,3083,7,0
113,冬泉谷,103,1,0,3087,13,0
114,黑海岸,103,1,0,3079,3,0
115,南贫瘠之地,103,1,0,17016,8,0
117,在占领全部5面旗帜的情况下获取10次阿拉希盆地的胜利。,0,10,5,0,0,8193
118,在占领全部5面旗帜的情况下获取10次阿拉希盆地的胜利,117,10,0,44976,0,0
120,击败紫罗兰监狱的塞安妮苟萨（英雄难度）。,0,0,4,0,0,0
121,塞安妮苟萨,120,1,0,5613,1,2
123,获得一头重型冰雪猛犸象。,0,1,8,0,0,0
124,重型冰雪猛犸象,123,0,0,7399,3,2
125,重型冰雪猛犸象,123,0,0,7400,4,2
126,重型冰雪猛犸象,123,1,0,7397,1,2
127,重型冰雪猛犸象,123,1,0,7398,2,2
129,在阿拉希盆地以50点或更小的资源优势获胜。,0,1,8,0,0,0
130,在阿拉希盆地以小于50点的资源优势获胜,129,1,0,1235,0,2
132,拥有2007年美酒节赠送的黄色美酒节酒杯。,0,1,8,0,0,0
133,盛满的黄色美酒节酒杯,132,1,0,4073,2,2
134,盛满的黄色美酒节酒杯,132,1,0,4075,4,2
135,盛满的黄色美酒节酒杯,132,1,0,4077,6,2
136,盛满的黄色美酒节酒杯,132,1,0,4076,5,2
137,黄色美酒节酒杯,132,1,0,4072,1,2
138,盛满的黄色美酒节酒杯,132,1,0,4074,3,2
140,在战歌峡谷中死亡,0,0,4,0,0,0
141,在战歌峡谷中死亡,140,0,0,107,0,0
143,被德雷克塔尔消灭,0,0,4,0,0,0
144,被德雷克塔尔消灭,143,0,0,456,1,0
146,分解物品,0,0,4,0,0,0
147,分解物品,146,0,0,4991,1,0
149,获得225点急救技能点数。,0,0,4,0,0,0
150,获得225点急救技能点数。,149,225,0,5592,1,2
152,击败太阳之井高地的基尔加丹。,0,1,8,0,0,0
153,基尔加丹,152,1,0,3261,1,2
154,达斯雷玛之冠,152,1,0,4648,24,2
155,奥术纯净头盔,152,1,0,4650,26,2
156,愤怒猎手面具,152,1,0,4652,28,2
157,奥伯莱恩，裂魂之剑,152,1,0,4597,2,2
158,原罪披风,152,1,0,4599,4,2
159,奥蕾莉亚的头盔,152,1,0,4600,5,2
160,古尔丹的兜帽,152,1,0,4602,7,2
161,安纳斯特里亚的王冠,152,1,0,4604,9,2
162,天启,152,1,0,4605,10,2
163,圣灵之锤,152,1,0,4609,14,2
164,黎明护手,152,1,0,4612,17,2
165,燃烧的正义,152,1,0,4613,18,2
166,日灸,152,1,0,4614,19,2
167,萨拉斯游侠护手,152,1,0,4616,21,2
168,乌瑟尔的决心之盔,152,1,0,4651,27,2
169,狡诈之盔,152,1,0,4607,12,2
170,智者乌索尔之帽,152,1,0,4601,6,2
171,黑暗咒术之环,152,1,0,4606,11,2
172,安东尼达斯的破碎斗篷,152,1,0,4615,20,2
173,诸界亵渎护手,152,1,0,4611,16,2
174,耐奥祖酋长的兜帽,152,1,0,4653,29,2
175,辛多雷金杖,152,1,0,4608,13,2
176,欺诈者之手,152,1,0,4610,15,2
177,索利达尔，群星之怒,152,1,0,4617,22,2
178,巨熊乌索克之帽,152,1,0,4647,23,2
179,泰莉的强能手套,152,1,0,4649,25,2
180,边疆手套,152,1,0,4598,3,2
181,纯净圣光兜帽,152,1,0,4603,8,2
183,当你的队伍占领风暴之眼的4座基地时，夺取旗帜并将其运回基地。,0,1,4,0,0,0
184,在己方占领4座基地的情况下夺回一面旗帜,183,1,0,3693,0,2
186,在奥特兰克山谷夺取50处墓地。,0,50,5,0,0,8193
187,夺取50处墓地,186,50,0,419,0,1
189,获得头衔“复仇角斗士”。,0,0,4,0,0,0
190,复仇角斗士,189,1,0,5599,1,2
192,获得5枚先祖硬币。,0,0,4,0,0,0
193,获得5枚先祖硬币,192,5,0,472,1,1
195,被德鲁伊复活,0,1,5,0,0,0
196,起死回生（等级 7）,195,1,0,3815,1,0
197,起死回生（等级 5）,195,0,0,4979,3,0
198,起死回生（等级 4）,195,0,0,4980,4,0
199,起死回生（等级 2）,195,0,0,4982,6,0
200,起死回生（等级 6）,195,0,0,4978,2,0
201,起死回生（等级 1）,195,0,0,4983,7,0
202,起死回生（等级 3）,195,0,0,4981,5,0
204,在掷贪婪骰子决定物品等级高于185的精良或更高品质物品归属时，以100点获胜。,0,0,4,0,0,0
205,在掷贪婪骰子决定物品等级高于185的物品归属时，以100点获胜,204,1,0,2358,1,2
207,重新分配天赋,0,0,4,0,0,0
208,重新分配天赋,207,0,0,3359,1,0
210,消灭击碎者克里丹（鲜血熔炉）,0,0,4,0,0,0
211,击碎者克里丹,210,1,0,3239,1,0
213,在下列渔点中各钓到一条鱼。,0,0,4,0,0,0
214,魔尾鱼群,213,1,0,3623,1,0
215,蓝鱼群,213,1,0,3624,2,0
216,泥鱼群,213,1,0,3625,3,0
217,金镖鱼群,213,1,0,3626,4,0
218,高地杂鱼群,213,1,0,3627,5,0
219,孢子鱼群,213,1,0,3628,6,0
221,消灭黑女巫法琳娜（25人纳克萨玛斯）,0,0,4,0,0,0
222,黑女巫法琳娜,221,1,0,5126,1,0
227,探索北风苔原，走过世界地图中被遮住的各个角落。,0,0,4,0,0,0
228,圣城恩其拉,227,0,0,4122,1,0
229,喷泉平原,227,0,0,4134,12,0
230,加尔鲁什码头,227,0,0,4126,5,0
231,博古洛克前哨站,227,0,0,4129,8,0
232,裂鞭海岸,227,0,0,4124,3,0
233,亡者之穴,227,0,0,4135,13,0
234,钢腭的车队,227,0,0,4123,2,0
235,卡斯卡拉,227,0,0,4125,4,0
236,死亡营地,227,0,0,4127,6,0
237,琥珀崖,227,0,0,4130,9,0
238,战歌要塞,227,0,0,4131,10,0
239,无畏要塞,227,0,0,4132,11,0
240,考达拉,227,0,0,4128,7,0
248,击败达格兰·索瑞森大帝。,0,1,8,0,0,0
249,王国的命运,248,1,0,4262,2,2
250,拯救公主,248,1,0,4263,3,2
251,达格兰·索瑞森大帝,248,1,0,3266,1,2
253,击败黑暗院长加丁,0,0,4,0,0,0
255,黑暗院长加丁,253,1,0,19263,0,2
257,击败隐藏在斯坦索姆城中的邪恶头目。,0,0,4,0,0,0
258,奥里克斯·瑞文戴尔领主,257,1,0,18471,2,0
259,巴纳扎尔,257,1,0,550,1,0
261,消灭埃欧努斯（开启黑暗之门）,0,0,4,0,0,0
262,埃欧努斯,261,1,0,3247,1,0
264,在拍卖行购买物品的最高价格,0,0,4,0,0,0
265,拍卖行最高出价,264,0,0,4222,1,8
267,在风暴之眼以1600比0获胜。,0,1,8,0,0,0
268,以1600比0获胜,267,1,0,1238,0,2
270,在掷需求骰子决定物品等级高于185的精良或更高品质物品归属时，以100点获胜。,0,0,4,0,0,0
271,在掷需求骰子决定物品等级高于185的物品归属时，以100点获胜,270,1,0,2412,1,2
273,消灭玛克扎尔王子（卡拉赞）,0,0,4,0,0,0
274,玛克扎尔王子,273,1,0,3254,1,0
276,消灭乌克兹·沙顶（祖尔法拉克）,0,0,4,0,0,0
277,乌克兹·沙顶,276,1,0,3265,1,0
279,获得头衔“督军”。,0,0,4,0,0,0
280,督军,279,0,0,728,1,2
282,获得头衔“将军”。,0,0,4,0,0,0
283,将军,282,0,0,729,1,2
285,Statistic: Elixirs consumed,0,0,5,0,0,0
286,狮王之力药剂,285,0,0,4370,42,0
287,特效敏捷药剂,285,0,0,4371,43,0
288,特效防御药剂,285,0,0,4372,44,0
289,特效魔血药剂,285,0,0,4376,48,0
290,特效暗影能量药剂,285,0,0,4377,49,0
291,极效防御药剂,285,0,0,4381,53,0
292,强效奥法药剂,285,0,0,4402,74,0
293,厚甲蝎药粉,285,0,0,4403,75,0
294,智慧药剂,285,0,0,4395,67,0
295,猫鼬药剂,285,0,0,4396,68,0
296,魔能力量药剂,285,0,0,4399,71,0
297,阿尔萨斯的礼物,285,0,0,4400,72,0
298,血莓药剂,285,0,0,4342,14,0
299,侦测亡灵药剂,285,0,0,4353,25,0
300,增长药剂,285,0,0,4360,32,0
301,强效敏捷药剂,285,0,0,4362,34,0
302,奥法药剂,285,0,0,4341,13,0
303,脑皮层混合饮料,285,0,0,4344,16,0
304,极效力量药剂,285,0,0,4384,56,0
305,初级敏捷药剂,285,0,0,4385,57,0
306,暗影之力药剂,285,0,0,4389,61,0
307,精神药水,285,0,0,4390,62,0
308,赞扎之光,285,0,0,4337,0,0
309,赞扎之速,285,0,0,4339,11,0
310,土灵药剂,285,0,0,4345,17,0
311,蛮力药剂,285,0,0,4347,19,0
312,防御药剂,285,0,0,4349,21,0
313,屠魔药剂,285,0,0,4350,22,0
314,侦测恶魔药剂,285,0,0,4351,23,0
315,坚韧药剂,285,0,0,4358,30,0
316,冰霜之力药剂,285,0,0,4359,31,0
317,强效火力药剂,285,0,0,4364,36,0
318,强效聪颖药剂,285,0,0,4365,37,0
319,强力巨魔之血药剂,285,0,0,8648,9,0
320,极效防御药剂,285,0,0,8062,80,0
321,极效思维药剂,285,0,0,8066,81,0
322,法能药剂,285,0,0,4340,12,0
323,特效巨魔之血药剂,285,0,0,8074,85,0
324,极效敏捷药剂,285,0,0,4380,52,0
325,弱效巨魔之血药剂,285,0,0,8076,102,0
326,极效巨魔之血药剂,285,0,0,8077,101,0
327,怒火药剂,285,0,0,8078,100,0
328,血藻闪避药剂,285,0,0,8082,96,0
329,暗影药剂,285,0,0,8086,92,0
330,达库鲁的药剂,285,0,0,8087,91,0
331,佐特的防护药剂,285,0,0,8089,89,0
332,德拉诺智慧药剂,285,0,0,4354,26,0
333,巨人药剂,285,0,0,4361,33,0
334,次级敏捷药剂,285,0,0,4369,41,0
335,血藻抗性药剂,285,0,0,8083,95,0
336,水上行走药剂,285,0,0,4394,66,0
337,精准药剂,285,0,0,8063,110,0
338,防御水晶,285,0,0,8068,82,0
339,魂能之寒,285,0,0,8070,83,0
340,魂能之遁,285,0,0,8071,105,0
341,精确药剂,285,0,0,8031,87,0
342,护甲穿透药剂,285,0,0,8064,109,0
343,闪电疾速药剂,285,0,0,8065,108,0
344,魂能之灰,285,0,0,8069,106,0
345,冬泉火酒,285,0,0,8073,104,0
346,魔血药剂,285,0,0,8075,103,0
347,法术能量药剂,285,0,0,8079,99,0
348,座狼血液药剂,285,0,0,8081,97,0
349,视灵药剂,285,0,0,8084,94,0
350,安霍尔的药剂,285,0,0,8085,93,0
351,佐特的防护药剂,285,0,0,8088,90,0
352,魂能之击,285,0,0,8072,84,0
353,致命打击药剂,285,0,0,8032,86,0
354,强化药剂,285,0,0,4356,28,0
355,铁皮药剂,285,0,0,4368,40,0
356,食人魔力量药剂,285,0,0,4388,60,0
357,肺片鸡尾酒,285,0,0,4404,76,0
358,赞扎之魂,285,0,0,4338,10,0
359,特效力量药剂,285,0,0,4378,50,0
360,精神水晶,285,0,0,8067,107,0
361,诺格弗格药剂,285,0,0,4406,78,0
362,黑暗草药剂,285,0,0,8090,88,0
363,治疗能量药剂,285,0,0,4367,39,0
364,特效火力药剂,285,0,0,4373,45,0
365,特效冰霜能量药剂,285,0,0,4375,47,0
366,特效坚韧药剂,285,0,0,4374,46,0
367,猫眼药剂,285,0,0,4343,15,0
368,敏捷药剂,285,0,0,4346,18,0
369,梦境药剂,285,0,0,4355,27,0
370,火力药剂,285,0,0,4357,29,0
371,强效防御药剂,285,0,0,4363,35,0
372,强力水下呼吸药剂,285,0,0,4366,38,0
373,伪装药剂,285,0,0,4348,20,0
374,侦测次级隐形药剂,285,0,0,4352,24,0
375,掌控药剂,285,0,0,4379,51,0
376,极效坚韧药剂,285,0,0,4382,54,0
377,极效魔血药剂,285,0,0,4383,55,0
378,初级防御药剂,285,0,0,4386,58,0
379,初级坚韧药剂,285,0,0,4387,59,0
380,超强防御药剂,285,0,0,4391,63,0
381,强韧药剂,285,0,0,4392,64,0
382,水下呼吸药剂,285,0,0,4393,65,0
383,先知药剂,285,0,0,4397,69,0
384,搜寻之眼药剂,285,0,0,4398,70,0
385,砂囊口香糖,285,0,0,4401,73,0
386,土狼兴奋剂,285,0,0,4405,77,0
387,强攻药剂,285,0,0,4407,79,0
388,专家药剂,285,0,0,8080,98,0
389,地核药剂,285,0,0,19156,1,0
390,眼镜蛇药剂,285,0,0,19157,2,0
391,无限精准药剂,285,0,0,19158,3,0
392,大师药剂,285,0,0,19159,4,0
393,狂速药剂,285,0,0,19160,5,0
394,棱光药剂,285,0,0,19161,6,0
395,幽魂药剂,285,0,0,19162,7,0
396,纳迦药剂,285,0,0,19163,8,0
398,大笑的总次数,0,0,5,0,0,0
399,laugh,398,0,0,3238,1,0
400,chuckle,398,0,0,7194,5,0
401,guffaw,398,0,0,7195,2,0
402,rofl,398,0,0,7196,3,0
403,giggle,398,0,0,7197,4,0
405,探索泰达希尔，走过世界地图中被遮住的各个角落。,0,0,4,0,0,0
406,星风村,405,1,0,1305,8,0
407,神谕林地,405,1,0,1306,9,0
408,涌泉湖,405,1,0,1307,10,0
409,达纳苏斯,405,1,0,1308,11,0
410,奥拉密斯湖,405,1,0,1303,6,0
411,幽影谷,405,1,0,1299,1,0
412,班尼希尔山谷,405,1,0,1300,4,0
413,瘤背堡,405,1,0,1302,5,0
414,鲁瑟兰村,405,1,0,1309,12,0
415,阿里斯瑞恩之池,405,1,0,1304,7,0
416,大断崖,405,1,0,14088,2,0
417,多兰纳尔,405,1,0,14089,3,0
419,在战歌峡谷获胜。,0,1,8,0,0,0
420,在战歌峡谷获胜,419,1,0,5899,0,2
422,在战歌峡谷获得100场胜利。,0,100,5,0,0,8193
423,在战歌峡谷获得100场胜利,422,100,0,5899,0,1
425,击败计算者帕萨雷恩（英雄难度）。,0,0,4,0,0,0
426,计算者帕萨雷恩,425,1,0,3720,1,2
428,消灭洛瑟玛·塞隆。,0,0,4,0,0,0
429,洛瑟玛·塞隆,428,1,0,483,1,2
431,将你在木喉要塞、孢子村和库雷尼势力中的声望从冷淡提升到崇拜。,0,0,4,0,0,0
432,库雷尼崇拜,431,42000,0,5337,2,0
433,孢子村崇拜,431,42000,0,4757,3,0
434,木喉要塞崇拜,431,42000,0,2011,1,0
436,在万圣节期间，从血色修道院的无头骑士那里获取无头骑士的缰绳。,0,1,8,0,0,0
437,无头骑士的坐骑,436,0,0,6160,1,2
439,获得头衔“军团士兵”。,0,0,4,0,0,0
440,军团士兵,439,0,0,733,1,2
448,穿着3件美酒节服装，喝个烂醉如泥，在达拉然跳舞。,0,0,4,0,0,0
449,/dance,448,1,0,4112,1,2
451,在3分钟内消灭15只火鸡。,0,0,4,0,0,0
452,在3分钟内消灭15只火鸡,451,1,0,3821,1,2
454,在情人节期间的达拉然城中与别人共进浪漫午餐，并品尝快乐奶油。,0,0,4,0,0,0
455,在浪漫午餐会上品尝快乐奶油,454,1,0,4071,1,2
456,浪漫午餐会,454,1,0,5787,2,2
458,急救技能,0,0,4,0,0,0
459,急救技能,458,525,0,5592,1,1
461,去理发店理发。,0,0,4,0,0,0
462,造访一间理发店并理发。,461,1,0,2341,1,2
464,在20秒内发射10束爱心火箭。,0,0,4,0,0,0
465,在20秒内发射10束爱心火箭,464,10,0,6295,1,1
467,使用炉石的次数,0,0,4,0,0,0
468,炉石,467,0,0,5008,1,0
469,红宝石舞鞋,467,0,0,11719,2,0
470,旅店老板的女儿,467,0,0,17387,3,0
472,探索赞加沼泽，走过世界地图中被遮住的各个角落。,0,0,4,0,0,0
473,泥泞山,472,1,0,1648,6,0
474,环礁湖,472,1,0,1651,9,0
475,泰雷多尔,472,1,0,1649,7,0
476,塞纳里奥庇护所,472,1,0,1611,1,0
477,蛮沼村,472,1,0,1612,3,0
478,暗泽村,472,1,0,1653,11,0
479,孢子村,472,1,0,1654,12,0
480,奥雷柏尔营地,472,1,0,1657,15,0
481,孢殖林,472,1,0,1658,16,0
482,暗潮湖岸,472,1,0,1667,18,0
483,死亡泥潭,472,1,0,1650,8,0
484,双塔废墟,472,1,0,1652,10,0
485,安葛洛什营地,472,1,0,1610,2,0
486,沼光湖,472,1,0,1647,5,0
487,安葛洛什要塞,472,1,0,1655,13,0
488,血鳞浅滩,472,1,0,1656,14,0
489,萨布拉金,472,1,0,1659,17,0
490,菌杆沼泽,472,1,0,1613,4,0
492,探索灰熊丘陵，走过世界地图中被遮住的各个角落。,0,0,4,0,0,0
493,沃德伦,492,0,0,4187,10,0
