Name_lang,Description_lang,Map[0],Map[1],ID,JournalInstanceID,DungeonEncounterID,OrderIndex,FirstSectionID,UiMapID,MapDisplayConditionID,Flags,DifficultyMask
格拉布托克,只是一阵心血来潮，格拉布托克就释放出强大的魔法力量，把他的食人魔山给夷为了平地。听到这个消息，迪菲亚立刻雇佣了这只硕大的食人魔法师作为死亡矿井的工头，借助他毁灭性的天赋来监督那些劳工。,0.3652697,0.6122755,89,63,1064,1,2010,291,0,0,-1
赫利克斯·破甲,赫利克斯从前是锈水财阀的工匠，可之后他收到了迪菲亚兄弟会的一笔款项，足以让他那样的无名部落工程师所做的一切都一文不值。就像所有精明的地精会做的那样，他迅速接下了这份工作，声称不再对前任雇主效忠。,0.50199604,0.8682636,90,63,1065,2,2020,291,0,0,-1
死神5000,迪菲亚的工程师们在死神4000的基础上，日以继夜地想要完善出一种新型号的收割机。兄弟会相信，只要完工，这台恐怖的机械就能像割麦子一样从暴风城的武装士兵中杀出一条路来。,0.12475067,0.75898206,91,63,1063,3,3448,292,0,0,-1
撕心狼将军,詹姆斯·哈林顿身中狼人的诅咒后，在一个刺骨的寒夜里毁掉了钟爱的家庭和他的远洋航海生涯。在那之后，他改名为撕心狼，逃到了西部荒野，之后更是接受了任命，指挥迪菲亚兄弟会可怖的无畏舰。,0.60479087,0.38772452,92,63,1062,4,2044,292,0,0,-1
“船长”曲奇,随着迪菲亚兄弟会前任无畏舰指挥官的死亡，曲奇自封为船长。尽管他在主厨的工作上仍然尽职尽责，但若是有谁质疑其船长的头衔来得是否光明磊落，那人就会因为严重的食物中毒而倒地不起。,0.60479087,0.4550898,93,63,1060,5,2055,292,0,0,-1
梵妮莎·范克里夫,当梵妮莎还是一个小女孩的时候，她亲眼目睹了父亲艾德温·范克里夫的悲惨下场。作为前任迪菲亚兄弟会领袖之女，她接过父亲领袖的衣钵，在迪菲亚兄弟会据点死亡矿井的黑暗回廊里厉兵秣马，谋划着对暴风城的复仇。,0.6546913,0.40269458,95,63,1081,6,2060,292,0,2,14
灰葬男爵,灰葬男爵被狼人所杀，随后被遗忘者将其复活成亡灵。这个叛徒擅长使用暗影的力量，将他的敌人玩弄于鼓掌之间。,0.66467136,0.732036,96,64,1069,1,2107,310,0,0,-1
席瓦莱恩男爵,在这座城堡尚未落入阿鲁高狼人之手的时候，席瓦莱恩男爵是这里的主人。现在他被诅咒的灵魂召唤着将他杀害的狼人，惩处那些侵入其家园的来犯者。,0.30439156,0.7739521,97,64,1070,2,2118,311,0,0,-1
指挥官斯普林瓦尔,作为一名忠诚的士兵，指挥官斯普林瓦尔的鬼魂游荡在议会大厅里，用不洁之力为他的领主席瓦莱恩男爵复仇。,0.2804395,0.5973054,98,64,1071,3,2137,310,0,0,-1
沃登勋爵,高弗雷的左右手、傲慢的沃登勋爵曾发誓不惜一切代价，也要为其同胞鞠躬尽瘁。如今成了亡灵的一员，沃登依然信守诺言，用冰与毒对敌人发起猛攻。,0.5449104,0.53742516,99,64,1073,4,2156,313,0,0,-1
高弗雷勋爵,身为吉尔尼斯贵族及被遗忘者的眼线，狡猾而又多智的高弗雷勋爵擅使双枪，麾下还有大批残忍嗜血的食尸鬼。,0.6846315,0.3353293,100,64,1072,5,2164,315,0,0,-1
纳兹夏尔女士,在从蛮勇的克瓦迪尔手中夺回瓦丝琪尔的过程中，纳兹夏尔女士扮演了至关重要角色。她因此赢得了艾萨拉女王的青睐。最近，纳兹夏尔身先士卒，率军对耐普图隆发动了进攻，并成功地将这位强大的元素领主困在了海潮王座中。,0.50499004,0.21556878,101,65,1045,1,28310,323,0,0,-1
指挥官乌尔索克，腐烂王子,乌尔索克是一名邪恶的上古生物，上古之神派他来帮助纳兹夏尔女士侵略潮汐王座。乌尔索克浑身迸发着罪恶的力量，在瓦丝琪尔最深邃的海沟里指挥着无面者军团。,0.50499004,0.42514968,102,65,1044,2,28314,323,0,0,-1
蛊心魔古厄夏,在深渊裂口的英勇一战后，大地之环的萨满石语者埃鲁纳克最终还是被纳迦军队所俘获，并沦为蛊心魔古厄夏的奴隶。恐怕这只寄生的畸兽已经彻底控制了埃鲁纳克的心智、肉体，以及他那毁灭性的萨满法术。,0.67465144,0.19311368,103,65,1046,3,28322,322,0,0,-1
厄祖玛特,传说艾泽拉斯的大海出现过巨大的海怪，然而这个神话如今成了真。纳迦通过某种邪恶的手段，将海怪的宗主厄祖玛特控制在手下，用来对付耐普图隆及其追随者们。,0.3253496,0.19311368,104,65,1047,4,28318,322,0,0,-1
摧骨者罗姆欧格,作为外域食人魔中少见的“缺失的一环”，摧骨者罗姆欧格因其食人魔凶残的本性而被暮光之锤邪教所看重。他如今统领着焚烧之厅，靠折磨他人满足着自己的嗜虐欲。,0.5,0.70209587,105,66,1040,1,2356,283,0,0,-1
柯尔拉，暮光之兆,柯尔拉曾是一位功成名就的肯瑞托法师，如今她对暮光之锤忠贞不渝。她会祝福那些狂热的追随者，将虚空巨龙的精华授予他们，把他们变成凶狠的暮光龙人。,0.27045947,0.16317356,106,66,1038,2,2361,284,0,0,-1
卡尔什·断钢,巨大的龙人卡尔什·断钢在暮光铸炉日夜工作，用稀有的水银制造着武器。尽管卡尔什的作品在通常情况下都坚不可摧，可在高温下，它们就如锈铁一般脆弱。,0.47005993,0.6646707,107,66,1039,3,2371,284,0,0,-1
如花,如花和比斯巨兽的传说犹如美女与野兽、海洋与星空一般悠久而浪漫。比斯巨兽在黑石塔上被英雄们宰杀之后，如花带着四条剩下的小犬加入了暮光之锤的部队，志在惩罚那些杀害她的伴侣的生物。,0.66467136,0.8443115,108,66,1037,4,2378,284,0,0,-1
升腾者领主奥西迪斯,堕落者德希里克曾是一名强大的萨满，因为其狂热的虔诚和对暴行的嗜好，他被恩准升腾：通过一道黑暗仪式，他被注入了元素之力，变成了一头名为升腾者领主奥西迪斯的畸形生物。,0.68962157,0.50748503,109,66,1036,5,2385,284,0,0,-1
克伯鲁斯,死亡之翼奴役着巨大的旋岩虫克伯鲁斯，让它挖掘大量源质来为黑龙之王铸造新的盔甲。但是，当死亡之翼离去后，愤怒的克伯鲁斯摆脱了管束，在巨石之核里盲目地肆虐。,0.6297411,0.5973054,110,67,1056,1,2394,324,0,0,-1
岩皮,上古之神强化了死亡之翼身为大地守护者的力量，让他轻易地就使得深岩之洲的石龙为暮光之锤效忠。这些生物中最有抱负的一个就是岩皮。他会铲除任何胆敢进入巨石之核的入侵者，希望能够借此赢得死亡之翼的青睐。,0.3702597,0.44760478,111,67,1059,2,2401,324,0,0,-1
欧泽鲁克,从深岩之洲的创造之初，欧泽鲁克就一直是巨石之核的守护者。没有人知道他为什么还留在那里，但是很明显，这名守护者认为任何对死亡之翼不利的人，都是深岩之洲的威胁，应该予以消灭。,0.50499004,0.23053885,112,67,1058,3,2405,324,0,0,-1
高阶女祭司艾苏尔,尽管心智尽毁，但高阶女祭司艾苏尔仍然是少数几个能在同暮光之锤教派恐怖的主子沟通后，还能活下来的人。她将恐怖植根在低级教徒心中，好让他们在主子下令的时候，毫不犹豫地牺牲自己。,0.5748506,0.38772452,113,67,1057,4,2411,324,0,0,-1
大宰相埃尔坦,奉主人阿萨德之命，埃尔坦守护着旋云之巅，对抗任何来自地面的、胆敢侵入这个领域的人们。为了履行其职责，这名元素贵族被授予了统御闪电和风暴大军的特权。,0.5499004,0.44760478,114,68,1043,1,2419,325,0,0,-1
阿尔泰鲁斯,巨大的风暴之龙阿尔泰鲁斯不知疲倦地警戒着旋云之巅的浮空平台。风暴的能量在他体内脉动，传说他还驾驭着驱动着这座元素堡垒的气流。,0.51996017,0.8218564,115,68,1041,2,2425,325,0,0,-1
西风君王阿萨德,奥拉基尔亲自指名阿萨德作为旋云之巅的守护者。自从南风之主希亚玛特遭到尼斐塞特托维尔人的囚禁之后，这名可怕的元素相信自己只要干好这份差事，没准就能升上风之议会。,0.30039954,0.3802395,116,68,1042,3,2431,325,0,0,-1
胡辛姆将军,泰坦们曾亲自指派胡辛姆将军作为奥丹姆的守护者之一。在南风之主希亚玛特治愈了尼斐塞特托维尔人的血肉诅咒之后，胡辛姆将军发动了反叛，并最终将那名强大的空气元素囚禁了起来。,0.3752497,0.42514968,117,69,1052,1,2437,277,0,0,-1
锁喉,在尼斐塞特发动起义，反抗希亚玛特的乱战中，俾格米人奥弗在托维尔古城中大偷特偷。在他们的族人中，奥弗因为两件事而备受尊重：一是他的狡诈；还有一个是他的宠物，那条叫做锁喉的凶狠鳄鱼。,0.674651,0.724551,118,69,1054,2,2442,277,0,0,-1
高阶预言者巴林姆,高阶预言者巴林姆是尼斐塞特神圣的精神领袖。为了对抗希亚玛特，他与胡辛姆将军集结尼斐塞特人，将这名空气元素囚禁了起来。然而，某种黑暗力量依然驱使着巴林姆和他的追随者们，在奥丹姆散播着恐惧。,0.270459,0.657186,119,69,1053,3,2455,277,0,0,-1
希亚玛特,净化尼斐塞特托维尔人的血肉诅咒，让可怕的元素希亚玛特几乎耗尽了能量。正是在这个薄弱的关头，托维尔人发动了进攻，奇迹般地将希亚玛特囚禁在了他们的沙漠古城的中央。,0.4151698,0.5523952,122,69,1055,4,2474,277,0,0,-1
神殿守护者安努尔,泰坦在控制起源大厅最后的日子里，将掌握圣光所需的意志力赐予了神殿守护者安努尔。他被授命裁判那些进入神殿的人们是否纯洁。,0.5848307,0.62724555,124,70,1080,1,2489,297,0,0,-1
地怒者塔赫,地怒者塔赫墓穴外的沙地上铺满了累累白骨，他们都是被安努尔所净化的生物。据说塔赫能操纵这些遗骨，让它们去对付那些成功绕开第一道防线的入侵者。,0.5,0.49251497,125,70,1076,2,2540,298,0,0,-1
安拉斐特,安拉斐特维护单位的用途是维护起源大厅的内部运作。一旦设施遭到外来物的污染，安拉斐特将获得攻击程式的权限，不计一切代价歼灭入侵者。,0.5598805,0.14071846,126,70,1075,3,2551,297,0,0,-1
伊希斯特，魔法的造物,起源大厅所产生的奥术能量充盈在其内部，伊希斯特的职责就是对其进行调控。传说这个构造体对这一貌似是天赐的奥术掌控能力过于沉迷了。,0.31037956,0.5,127,70,1077,4,2555,299,0,0,-1
阿穆纳伊，生命的造物,尽管在设计上，起源大厅里生命重组系统的初衷，是将艾泽拉斯降解为最基本的元素结构，但它同时也能够创造新的生命。为此，结构体阿穆纳伊控制着设施内部流动的自然能量，确保生命能在重塑后的艾泽拉斯继续存在。,0.47504994,0.74700606,128,70,1074,5,2565,299,0,0,-1
塞特斯，毁灭的造物,考虑到起源大厅的用途，泰坦认为创造一个掌握毁灭力量的结构体十分必要，那就是塞特斯。要是塞特斯被腐化了，那么后果将是灾难性的。,0.63972116,0.49251497,129,70,1079,6,2666,299,0,0,-1
