Name_lang,Description_lang,ID,UiTextureAtlasElementID,TraitTreeID
Yellow [DNT],[DNT] This is a UI Engineering test SubTree.,9,18688,898
Pink [DNT],[DNT] This is a UI Engineering test SubTree.,10,4076,898
Blue [DNT],[DNT] This is a UI Engineering test SubTree.,11,4073,898
Red [DNT],[DNT] This is a UI Engineering test SubTree.,12,11358,898
,,16,11409,898
,,17,0,898
虚空编织者,虚空编织者一直专注于研究虚空魔法的起源，并发现了一种可以与虚空产生微弱联系的方法。这种力量极为危险也很不稳定，会将挡路的一切事物吞噬殆尽。,18,26682,795
执政官,执政官无比虔诚，与圣光和暗影都有紧密的联系。执政官可以受到高等存在的祝福并进入某种升华的状态，变为自己的终极形态。,19,27430,795
神谕者,神谕者能够洞悉未来，并以此保护和强化他们的盟友。对未来的洞悉使神谕者得以为盟友赋予多种独特的祝福和增益，不知不觉间便可逢凶化吉。,20,26934,795
利爪德鲁伊,利爪德鲁伊是运用威猛动物形态的大师。当他们变为猎豹或巨熊时，就会化身为凶猛的斗士和荒野的守护者。,21,26675,793
荒野追猎者,荒野追猎者栖身于杳无人烟的荒野之中，通过狩猎来延续生与死的循环，同时消灭那些破坏自然的家伙。他们还能运用治疗能力令荒芜的废土重获新生。,22,26677,793
丛林守护者,丛林守护者从塞纳留斯强大的子嗣那里得到启示，旨在保护自然的平衡并守护梦境。他们可以引导梦境之力来强化自己的法术，并召唤强化的树人来保护盟友、粉碎敌人。,23,26686,793
艾露恩钦选者,艾露恩钦选者献身月之女神，并增强了与明月繁星的联系。他们为技能注入星界之力，还能从天空召唤强大的月之魔法。,24,26685,793
伤害输出者,Brann brings down enemies from afar wielding Ol' Faithful.,29,24179,874
治疗者,布莱恩用他的医疗补给和收集的圣物治疗受伤的玩家。,30,24186,874
萨莱因,萨莱因擅长使用鲜血和暗影魔法来削弱敌人、强化自己。,31,26673,750
天启骑士,天启骑士能够召唤传说中的天启四骑士的力量，呼唤各位骑士助战，将死亡、饥荒和疫病之力操持自如。,32,27222,750
死亡使者,成为死亡的使者，运用暗影界之力攻击敌人的灵魂，让他们面对无可避免的命运。,33,26672,750
邪痕枭雄,邪痕枭雄拥抱了心中的恶魔，驱使邪能之火爆发出更强大的力量。,34,27066,854
奥达奇收割者,奥达奇战士是最强大的战刃大师，他们会以致命而优雅的姿态挥舞战刃，吞噬灵魂并为武器注入更强大的力量。,35,27132,854
鳞长,鳞长是天生的领袖，擅长激励身边的战友，让他们变得更加强大。他们是龙希尔天选的统帅，可以使用强化法术来发号施令、召集部队。,36,27067,872
塑焰者,塑焰者与阿莱克丝塔萨有着强烈的共鸣，尤其擅长保护盟友、救死扶伤和播撒新生。他们的独特能力可以扩散、强化和操纵龙焰。,37,27223,872
时空守卫,时空守卫可以操纵时间，凭借未来的面貌加速攻势，或者召唤回响并复现过去的行动。他们尤其擅长青铜魔法，每时每刻都能窥见未来的无穷可能性，因此也有点不太稳定。,38,26678,872
日怒,日怒投身于奥术烈焰，增强了最具破坏性的魔咒，甚至可以呼唤法术火焰凤凰助阵。,39,27133,658
嗜法猎手,嗜法猎手掌握了魔法固有的不稳定特性，学会了分裂自己的法术，并创造出强大而多变的新效果。,40,27429,658
霜火,霜火法师将看似针锋相对的元素之力操纵于股掌之间。他们掌握对立的力量来强化元素攻击，甚至可以将其结合来换取更强大的力量。,41,27017,658
哨兵,哨兵能从自然中汲取力量，他们的技能能够造成额外的奥术伤害，并召唤出神秘的猫头鹰，向他们的敌人降下毁灭之雨。,42,27529,774
猎群领袖,猎群领袖与他们的动物同伴建立了深厚的羁绊和信任，猎人和他们的兽群得以在战场上密切合作展开狩猎。,43,27068,774
黑暗游侠,拥抱仇恨，从阴影中发动袭击，用通灵和暗影之力强化的技能攻击你的敌人。而因此倒下的敌人又会进一步助长你的黑暗能量。,44,26679,774
影踪派,作为影踪派，吸纳先烈的教诲，傲然屹立在敌人面前，为捍卫家人与朋友而寸步不让。你要静待时机，积蓄力量，然后施展迅猛缭乱的连击，令对手无力招架。,45,27070,781
祥和宗师,祥和宗师追求修身上的化境，能将身体化为纯粹的力量，从而融入真气流转和乾坤循环之道。,46,27745,781
天神御师,天神御师献身于至尊天神的教导，拥抱他们的智慧并驾驭他们的力量。天神御师还可以在短时间内同时引导所有天神的力量。,47,27069,781
圣殿骑士,圣殿骑士会不惜一切代价伸张正义，惩治邪恶。他们可以召唤圣光之锤，融合毁灭性的物理和神圣打击消灭敌人。,48,26681,790
