DisplayName_lang,VerboseName_lang,ID,ClassID,SubClassID,AuctionHouseSortOrder,PrerequisiteProficiency,Flags,DisplayFlags,WeaponSwingSize,PostrequisiteProficiency
容器,,2,1,0,0,-1,0,0,0,-1
斧,单手斧,3,2,0,0,-1,3,0,1,1
斧,双手斧,4,2,1,0,0,3,0,2,-1
弓,弓,5,2,2,0,-1,128,0,1,-1
枪械,枪械,6,2,3,0,-1,160,0,1,-1
锤,单手锤,7,2,4,0,-1,3,0,1,5
锤,双手锤,8,2,5,0,4,3,0,2,-1
长柄武器,长柄武器,9,2,6,0,-1,3,0,2,-1
剑,单手剑,10,2,7,0,-1,3,0,1,8
剑,双手剑,11,2,8,0,7,3,0,2,-1
战刃,,12,2,9,0,-1,1,0,2,-1
法杖,法杖,13,2,10,0,-1,3,0,2,-1
熊爪,熊爪,14,2,11,0,-1,0,3,1,12
豹爪,豹爪,15,2,12,0,11,0,3,1,-1
拳套,拳套,16,2,13,0,-1,5,0,1,-1
其它,,17,2,14,0,-1,2,1,0,-1
匕首,匕首,18,2,15,0,-1,3,0,8,-1
其它,,19,4,0,0,-1,512,1,0,-1
布甲,布甲,20,4,1,0,-1,1536,0,0,-1
皮甲,皮甲,21,4,2,0,-1,1536,0,0,-1
锁甲,锁甲,22,4,3,0,-1,1536,0,0,-1
板甲,板甲,23,4,4,0,-1,1536,0,0,-1
装饰品,装饰品,24,4,5,0,-1,0,1,0,-1
盾牌,盾牌,25,4,6,0,5,0,0,0,-1
无(魔杖),,26,6,0,0,-1,0,3,0,-1
矢,,27,6,1,0,-1,0,2,0,-1
箭,,28,6,2,0,-1,0,2,0,-1
子弹,,29,6,3,0,-1,0,2,0,-1
箭袋,,30,11,0,0,-1,0,7,0,-1
箭矢,,31,11,1,0,-1,0,7,0,-1
箭袋,,32,11,2,0,-1,0,6,0,-1
弹药袋,,33,11,3,0,-1,0,6,0,-1
投掷武器,投掷武器,34,2,16,0,-1,16,0,1,-1
投掷武器,,35,6,4,0,-1,0,2,0,-1
智力,,36,3,0,1,-1,0,1,0,-1
商品,,37,7,0,0,-1,0,3,0,-1
零件,,38,7,1,10,-1,0,1,0,-1
爆炸物,,39,7,2,0,-1,0,3,0,-1
书籍,,40,9,0,0,-1,0,1,0,-1
制皮,,41,9,1,0,-1,0,1,0,-1
裁缝,,42,9,2,0,-1,0,1,0,-1
爆炸物与装置,,43,0,0,0,-1,0,1,0,-1
药水,,44,0,1,0,-1,0,1,0,-1
药剂,,45,0,2,0,-1,0,1,0,-1
矛,矛,46,2,17,0,-1,3,2,2,-1
钱币（废弃）,,47,10,0,0,-1,0,1,0,-1
头部,,48,8,0,0,-1,0,1,0,-1
任务,,49,12,0,0,-1,0,1,0,-1
材料,,50,5,0,0,-1,0,1,0,-1
永久,,51,14,0,0,-1,0,1,0,-1
垃圾,,52,15,0,0,-1,0,1,0,-1
钥匙,,53,13,0,0,-1,0,1,0,-1
开锁工具,,54,13,1,0,-1,0,1,0,-1
弩,弩,55,2,18,0,-1,160,0,1,-1
魔杖,魔杖,56,2,19,0,-1,256,0,1,-1
鱼竿,鱼竿,57,2,20,0,-1,0,0,8,-1
装置,,77,7,3,0,-1,0,3,0,-1
工程学,,99,9,3,0,-1,0,1,0,-1
锻造,,100,9,4,0,-1,0,1,0,-1
烹饪,,101,9,5,10,-1,0,1,0,-1
炼金术,,102,9,6,0,-1,0,1,0,-1
急救,,103,9,7,11,-1,0,1,0,-1
附魔,,104,9,8,0,-1,0,1,0,-1
钓鱼,,105,9,9,12,-1,0,1,0,-1
珠宝加工,,106,9,10,0,-1,0,1,0,-1
灵魂袋,,107,1,1,0,-1,0,6,0,-1
草药袋,,109,1,2,0,-1,0,0,0,-1
附魔材料袋,,110,1,3,0,-1,0,0,0,-1
工程学材料袋,,111,1,4,0,-1,0,0,0,-1
圣契,圣契,112,4,7,0,-1,0,2,0,-1
神像,神像,113,4,8,0,-1,0,2,0,-1
图腾,图腾,114,4,9,0,-1,0,2,0,-1
珠宝加工,,115,7,4,1,-1,0,1,0,-1
宝石袋,,116,1,5,0,-1,0,0,0,-1
矿石袋,,118,1,6,0,-1,0,0,0,-1
敏捷,,119,3,1,2,-1,0,1,0,-1
力量,,120,3,2,3,-1,0,1,0,-1
耐力,,121,3,3,4,-1,0,1,0,-1
精神,,122,3,4,5,-1,0,3,0,-1
爆击,,123,3,5,6,-1,0,1,0,-1
精通,,124,3,6,7,-1,0,1,0,-1
急速,,125,3,7,8,-1,0,1,0,-1
全能,,126,3,8,9,-1,0,1,0,-1
合剂和瓶剂,,131,0,3,0,-1,0,1,0,-1
卷轴,,132,0,4,0,-1,0,3,0,-1
食物和饮水,,133,0,5,0,-1,0,1,0,-1
物品强化,,134,0,6,0,-1,0,3,0,-1
绷带,,135,0,7,0,-1,0,1,0,-1
其它,,136,0,8,10,-1,0,1,0,-1
布料,,137,7,5,0,-1,0,1,0,-1
皮革,,138,7,6,0,-1,0,1,0,-1
金属和矿石,,139,7,7,0,-1,0,1,0,-1
烹饪,,140,7,8,0,-1,0,1,0,-1
草药,,141,7,9,0,-1,0,1,0,-1
元素,,142,7,10,20,-1,0,1,0,-1
其它,,143,7,11,30,-1,0,1,0,-1
材料,,144,15,1,0,-1,0,1,0,-1
宠物小伙伴,,145,15,2,0,-1,0,1,0,-1
节日,,146,15,3,0,-1,0,1,0,-1
其它,,147,15,4,30,-1,0,1,0,-1
附魔材料,,148,7,12,0,-1,0,1,0,-1
制皮材料包,,149,1,7,0,-1,0,0,0,-1
原料,,150,7,13,0,-1,0,3,0,-1
坐骑,坐骑,152,15,5,0,-1,0,0,0,-1
战士,战士,153,16,1,0,-1,0,0,0,-1
圣骑士,圣骑士,154,16,2,0,-1,0,0,0,-1
猎人,猎人,155,16,3,0,-1,0,0,0,-1
潜行者,潜行者,156,16,4,0,-1,0,0,0,-1
牧师,牧师,157,16,5,0,-1,0,0,0,-1
萨满祭司,萨满祭司,158,16,7,0,-1,0,0,0,-1
法师,法师,159,16,8,0,-1,0,0,0,-1
术士,术士,160,16,9,0,-1,0,0,0,-1
德鲁伊,德鲁伊,161,16,11,0,-1,0,0,0,-1
死亡骑士,死亡骑士,162,16,6,0,-1,0,0,0,-1
物品附魔,,163,7,14,0,-1,0,3,0,-1
武器强化,武器强化,164,7,15,0,-1,0,3,0,-1
魔印,魔印,165,4,10,0,-1,0,2,0,-1
铭文包,,167,1,8,0,-1,0,0,0,-1
铭文,铭文,168,9,11,0,-1,0,1,0,-1
其他,,169,3,9,10,-1,0,1,0,-1
复合属性,,170,3,10,11,-1,0,0,0,-1
工具箱,,171,1,9,0,-1,0,0,0,-1
圣物,,173,4,11,0,-1,0,2,0,-1
武僧,武僧,177,16,10,0,-1,0,0,0,-1
战斗宠物,战斗宠物,178,17,0,0,-1,0,0,0,-1
烹饪包,烹饪包,179,1,10,0,-1,0,0,0,-1
魔兽世界时光徽章,,180,18,0,0,-1,0,0,0,-1
钥石,,181,5,1,0,-1,0,1,0,-1
恶魔猎手,恶魔猎手,183,16,12,0,-1,0,0,0,-1
凡图斯符文,,184,0,9,0,-1,0,1,0,-1
铭文,,185,7,16,0,-1,0,1,0,-1
爆炸物与装置,,186,7,17,11,-1,0,3,0,-1
神器圣物,,187,3,11,0,-1,0,1,0,-1
颈部,,188,8,1,0,-1,0,1,0,-1
肩部,,189,8,2,0,-1,0,1,0,-1
披风,,190,8,3,0,-1,0,1,0,-1
胸部,,191,8,4,0,-1,0,1,0,-1
手腕,,192,8,5,0,-1,0,1,0,-1
手部,,193,8,6,0,-1,0,1,0,-1
腰部,,194,8,7,0,-1,0,1,0,-1
腿部,,195,8,8,0,-1,0,1,0,-1
脚部,,196,8,9,0,-1,0,1,0,-1
手指,,197,8,10,0,-1,0,1,0,-1
武器,,198,8,11,0,-1,0,1,0,-1
双手武器,,199,8,12,0,-1,0,1,0,-1
盾牌/副手,,200,8,13,0,-1,0,1,0,-1
其他,,201,8,14,0,-1,0,1,0,-1
坐骑装备,,326,15,6,0,-1,0,0,0,-1
附加材料,,327,7,18,25,-1,0,1,0,-1
环境对应兑换物,,328,5,2,0,-1,0,1,0,-1
锻造,,329,19,0,0,-1,0,0,0,-1
制皮,,330,19,1,0,-1,0,0,0,-1
