Name_lang,ID,MapID,DifficultyID,OrderIndex,CompleteWorldStateID,Bit,Flags,SpellIconFileID,Faction
审讯官格斯塔恩,227,230,1,0,4625,0,4,0,-1
洛考尔,228,230,1,1000,4626,1,4,0,-1
驯犬者格雷布玛尔,229,230,1,2000,4627,2,4,0,-1
秩序竞技场,230,230,1,3000,4628,3,4,0,-1
控火师罗格雷恩,231,230,1,4000,4629,4,4,0,-1
伊森迪奥斯,232,230,1,5000,4630,5,4,0,-1
典狱官斯迪尔基斯,233,230,1,6000,4633,6,4,0,-1
弗诺斯·达克维尔,234,230,1,7000,4634,7,4,0,-1
贝尔加,235,230,1,8000,4635,8,4,0,-1
安格弗将军,236,230,1,9000,4636,9,4,0,-1
傀儡统帅阿格曼奇,237,230,1,10000,4637,10,4,0,-1
霍尔雷·黑须,238,230,1,11000,4638,11,4,0,-1
法拉克斯,239,230,1,12000,4639,12,4,0,-1
雷布里·斯库比格特,240,230,1,13000,4640,13,4,0,-1
普拉格,241,230,1,14000,4641,14,4,0,-1
弗莱拉斯大使,242,230,1,15000,4642,15,4,0,-1
黑铁七贤,243,230,1,16000,4643,16,4,0,-1
玛格姆斯,244,230,1,17000,4644,17,4,0,-1
达格兰·索瑞森大帝,245,230,1,18000,4645,18,4,0,-1
尤尔,250,557,2,1500,4607,3,4,0,-1
欧莫克大王,267,229,1,0,4646,0,4,0,-1
暗影猎手沃什加斯,268,229,1,1000,4647,1,4,0,-1
指挥官沃恩,269,229,1,2000,4648,2,4,0,-1
烟网蛛后,270,229,1,3000,4649,3,4,0,-1
尤洛克·暗嚎,271,229,1,4000,4650,4,4,0,-1
军需官兹格雷斯,272,229,1,5000,4651,5,4,0,-1
奴役者基兹鲁尔,273,229,1,6000,4652,6,4,0,-1
哈雷肯,274,229,1,5500,4653,7,4,0,-1
维姆萨拉克,275,229,1,8000,4654,8,4,0,-1
瑟雷姆·刺蹄,343,429,1,0,4669,0,4,0,-1
海多斯博恩,344,429,1,1000,4670,1,4,0,-1
蕾瑟塔蒂丝,345,429,1,2000,4671,2,4,0,-1
荒野变形者奥兹恩,346,429,1,3000,4672,3,4,0,-1
伊琳娜·暗木,347,429,1,4000,4676,4,4,0,-1
卡雷迪斯镇长,348,429,1,5000,4675,5,4,0,-1
伊莫塔尔,349,429,1,6000,4676,6,4,0,-1
特迪斯·扭木,350,429,1,3500,4673,7,4,0,-1
托塞德林王子,361,429,1,7000,4677,8,4,0,-1
卫兵摩尔达,362,429,1,8000,4678,9,4,0,-1
