ID,Prefix_lang,Middle_lang,Suffix_lang,NeighborhoodMapID
1,狂暴,裂痕,之眠,2
2,灼热,沙漠,岛屿,2
3,钢铁,地穴,裂口,2
4,幽深,水池,丘陵,2
5,黑暗,泥潭,峡谷,2
6,磐石,烈焰,深峡,2
19,欢乐,溪流,山谷,1
55,冒牌,测试,之地,4
61,瞌睡,暖炉,酒庄,1
62,圣洁,狮子,岛屿,1
63,碧蓝,波浪,小岛,1
64,酷爽,迷雾,港口,1
65,沉寂,轻风,庇护所,1
66,黄金,光明,避难所,1
67,安宁,海洋,营地,1
68,伟大,大海,之眠,1
69,疲惫,船帆,村庄,1
70,海盐,收获,丘陵,1
71,初始,旗帜,登陆点,1
72,翡翠,祝福,领地,1
73,古老,橡木,港湾,1
74,新潮,旅程,岗哨,1
75,昏暗,阴霾,村镇,1
76,约定,船锚,港口,1
77,晴朗,天空,郡,1
78,苍白,砂砾,水岸,1
81,干燥,繁花,海湾,2
82,玄秘,山脉,小岛,2
83,烧灼,砂砾,庇护所,2
84,明亮,太阳,堡垒,2
86,破碎,石头,高塔,2
87,赤红,野猪,山脊,2
88,崇高,夏日,花园,2
89,大地,脊骨,丰饶角,2
90,迅捷,朝圣者,避风港,2
91,自由,机遇,公社,2
92,碎岩,獠牙,绿洲,2
93,哀伤,流放者,悬崖,2
94,尖啸,砂石,聚落,2
