ID,DisplayName_lang,Description_lang,Field_9_0_1_33978_001,MatQualityWeight,Field_10_0_0_44649_004
1,指定急速,“暗影国度”精良和传说护甲和配饰的制作。,0,0,0
3,TEST ONLY,,1,0,0
5,指定精通,“暗影国度”精良和传说护甲和配饰的制作。,0,0,0
6,指定爆击,“暗影国度”精良和传说护甲和配饰的制作。,0,0,0
7,指定全能,“暗影国度”精良和传说护甲和配饰的制作。,0,0,0
8,提高物品等级,,0,0,0
11,松弛皮带,,0,0,0
15,指定套牌,,0,0,0
17,使用,,1,0,0
18,提高物品等级,许多“暗影国度”之前的装备制作。,0,0,0
25,杂项,,0,0,0
29,设置物品等级,大多数“暗影国度”的装备制作。,0,0,0
30,提高物品等级,许多“暗影国度”之前的装备制作。,0,0,0
31,提高物品等级,许多“暗影国度”之前的装备制作。,0,0,0
32,提高物品等级,许多“暗影国度”之前的装备制作。,0,0,0
33,提高物品等级,许多“暗影国度”之前的装备制作。,0,0,0
35,阴铁托架,,0,0,0
36,在此显示文本。,,1,0,0
37,静灵微型电容器,,0,0,0
38,强化缠腰,,0,0,0
39,匠人的袋子,,0,0,0
40,水动力加速器,,0,0,0
41,奢华羽毛,,0,0,0
42,暗影兔脚,,0,0,0
44,炼金师宝囊,,0,0,0
45,设置物品等级,大多数“暗影国度”护甲和配饰的制作。,0,0,0
46,提高物品等级,“暗影国度”精良（蓝色）护甲和配饰的制作。,0,0,0
50,设置物品等级,“暗影国度”的可以成为传说装备的护甲和配饰的制作。,0,0,0
51,提高物品等级,“暗影国度”精良（蓝色）护甲和配饰的制作。,0,0,0
52,提高物品等级,“暗影国度”精良（蓝色）护甲和配饰的制作。,0,0,0
53,提高物品等级,“暗影国度”精良（蓝色）护甲和配饰的制作。,0,0,0
54,提高物品等级,“暗影国度”精良（蓝色）护甲和配饰的制作。,0,0,0
55,设置物品等级,“暗影国度”的可以成为传说装备的护甲和配饰的制作。,0,0,0
56,添加元尊核心,“暗影国度”精良（蓝色）护甲和配饰的制作。,0,0,0
57,Test Ore,,1,20,1
59,龙银矿石,,0,10,1
60,卡兹格罗金矿石,,0,14,1
61,宁铁矿石,,0,3,1
62,原始熔火合金,,0,48,1
63,霜火合金,,0,48,1
64,黑曜焦灼合金,,0,78,1
65,震怒合金,,0,33,1
66,Test Optional Reagent with Quality 01,Most Dragon Isles Test with Recipes. (DNT),0,0,0
67,Test Optional Reagent with Quality 02,Most Dragon Isles Test with Recipes. (DNT),0,0,0
68,Test Finishing Reagent,Test finishing reagent slot (DNT),0,0,2
69,Test Finishing Reagent with Quality 01,Test finishing reagent slot (DNT),0,0,2
71,霍亨布墨花,,0,3,1
72,巨龙之瓶,,0,11,1
73,虎耳草,,0,6,1
74,泡粟花,,0,6,1
75,歪扭树皮,,0,6,1
76,元素强能药水,,0,22,1
77,天龙聚能,,0,12,1
78,原始辐合,,0,39,1
79,温存全能瓶剂,,0,32,1
80,元素混沌瓶剂,,0,35,1
81,冻结专注药水,,0,21,1
83,设置物品等级,“暗影国度”的可以成为传说装备的护甲和配饰的制作。（等级1）,0,0,0
84,10.0 Optional Reagent - Season 1 - End Game Upgrade,巨龙群岛史诗装备图纸，用灵思火花制作。,0,0,0
85,加固装甲,Used with Dragon Isles crafted gear for Cantrip. (DNT),0,0,0
87,护甲尖刺,巨龙群岛大部分非美化史诗装备图纸。,0,10,0
88,10.0 Optional Reagent - Outdoor Upgrade Leveling - Non Weapon,巨龙群岛大部分精良（蓝色）护甲和配饰的制作。,0,0,0
89,飞逝元素强能药水,,0,0,1
90,可疑的浑浊饮料,,0,0,1
91,普卡的坩埚,,0,42,1
92,风暴之眼瓶剂,,0,35,1
93,止风瓶剂,,0,35,1
94,冰寒庇护瓶剂,,0,36,1
95,腐化之怒冰冻瓶剂,,0,36,1
96,疏离注能瓶剂,,0,36,1
97,清爽预备瓶剂,,0,0,1
98,静电赋能瓶剂,,0,33,1
99,加气熟练瓶剂,,0,17,1
100,精细蒸腾瓶剂,,0,17,1
101,电荷灵敏瓶剂,,0,32,1
102,冻结宿命药水,,0,27,1
103,晶化感知瓶剂,,0,17,1
104,瓶装溃烂,,0,25,1
106,伤寒清醒药水,,0,23,1
108,神经传导残剂,,0,23,1
109,清淡孢子悬浮液,,0,23,1
110,振奋治疗药水,,0,11,1
111,元素究极强能药水,,0,32,1
112,加气法力药水,,0,14,1
114,沉静西风药水,,0,21,1
115,阵风药水,,0,20,1
116,震击揭示药水,,0,20,1
118,强能药水坩埚,,0,691,1
119,究极强能药水坩埚,,0,946,1
120,睿智熏香,,0,29,1
121,昏睡熏香,,0,14,1
122,雀跃熏香,,0,14,1
123,炽情熏香,,0,14,1
124,飞逝元素究极强能药水,,0,0,1
125,稳定的液态龙银,许多巨龙群岛锻造和锁甲图纸。,0,0,2
126,龙巢之盐,许多巨龙群岛炼金和皮甲图纸。,0,0,2
127,沸火之油,许多巨龙群岛锻造和皮甲图纸。,0,0,2
128,搅动药水扩充剂,巨龙群岛炼金药水配方。,0,0,2
129,反应瓶剂润饰液,巨龙群岛炼金瓶剂配方。,0,0,2
130,药水吸收抑制剂,巨龙群岛大部分非美化史诗装备图纸。,0,0,0
131,炼金风味袋,巨龙群岛大部分非美化史诗装备图纸。,0,0,0
133,卓然洞悉,巨龙群岛的配方，非常精致，制作起来很有挑战性。,0,0,2
134,次级卓然洞悉,巨龙群岛的制作配方，用于制作小型和简单的物品。,0,0,2
135,指定爆击和急速,许多巨龙群岛的装备图纸。,0,0,0
137,女王红玉,,0,25,1
138,秘术青玉,,0,25,1
139,生机翡翠,,0,25,1
140,裂痕玛瑙,,0,25,1
141,永恒琥珀,,0,15,1
142,阿莱克丝塔萨之玉,,0,108,1
143,玛里苟石,,0,108,1
144,伊瑟翡翠,,0,108,1
145,奈萨晶,,0,108,1
146,诺兹多石,,0,88,1
147,无限钻石,,0,254,1
149,无框透镜,,0,26,1
151,光泽石块,,0,21,1
152,去污沙,大部分巨龙群岛铭文配方。,0,0,2
153,吸墨粉,大部分巨龙群岛铭文配方。,0,0,2
154,闪光扣环,,0,20,1
155,投影棱镜,,0,31,1
156,坚韧之革,,0,2,1
157,坚钢之鳞,,0,2,1
158,致密之皮,,0,31,1
159,异彩鳞皮,,0,31,1
160,震怒之皮,,0,42,1
161,震怒之鳞,,0,42,1
162,死寒之皮,,1,45,1
163,燥格之鳞,,1,45,1
170,地耀之鳞,,0,45,1
171,霜冻之鳞,,0,45,1
172,沼泥之皮,,0,45,1
173,石壳之皮,,0,45,1
175,丝滑宝石尘,,0,20,1
176,元素调和,,0,291,1
364,粗糙的抛光布,大部分巨龙群岛珠宝加工图纸。,0,0,2
365,生机抛光布,大部分巨龙群岛珠宝加工图纸。,0,0,2
366,耀光刺绣线,大部分巨龙群岛裁缝刺绣和衣着图纸。,0,0,2
367,多彩刺绣线,大部分巨龙群岛裁缝刺绣和衣着图纸。,0,0,2
368,闪光刺绣线,大部分巨龙群岛裁缝刺绣和衣着图纸。,0,0,2
369,生机魔线,,0,123,1
370,冰冻魔线,,0,218,1
371,时光魔线,,0,218,1
372,蓝缎内衬,巨龙群岛大部分非美化史诗装备图纸。,0,0,0
373,血腥补丁,大部分巨龙群岛特殊修正 - 血腥眼罩图纸。,0,0,0
374,古铜色的防滑布,巨龙群岛大部分非美化史诗武器和副手装备图纸。,0,0,0
375,荒布卷,,0,9,1
376,青纹布卷,,0,117,1
377,时序布卷,,0,117,1
378,生机荒布卷,,0,54,1
379,震怒荒布卷,,0,29,1
380,一卷荒线,,0,4,1
388,指定全能和精通,许多巨龙群岛的装备图纸。,0,0,0
389,指定精通和急速,许多巨龙群岛的装备图纸。,0,0,0
390,指定全能和急速,许多巨龙群岛的装备图纸。,0,0,0
391,指定爆击和精通,许多巨龙群岛的装备图纸。,0,0,0
392,指定全能和爆击,许多巨龙群岛的装备图纸。,0,0,0
393,毒化护甲补丁,巨龙群岛大部分非美化史诗皮甲和锁甲图纸。,0,0,0
394,獠牙装饰,巨龙群岛大部分非美化史诗武器和副手装备图纸。,0,0,0
395,大地热诚,大部分巨龙群岛热诚图纸。,0,5,1
396,甜腻巧克力,巨龙群岛食谱。,0,0,2
399,棱光矿石,,0,2,1
400,10.0 Optional Reagent - Outdoor Upgrade Dungeon - All,巨龙群岛大部分精良（蓝色）装备图纸。,0,0,0
401,DEPRECATED [DNT],,0,0,2
403,锋利得难以置信的切刀,巨龙群岛单份食物的食谱。,0,0,2
404,沙拉配菜,巨龙群岛单份食物的食谱。,0,0,2
405,繁盛墨水,,0,14,1
406,宇宙墨水,,0,42,1
407,灼火墨水,,0,14,1
408,安详墨水,,0,14,1
409,光洁墨水,,0,24,1
410,安详颜料,,0,16,1
411,灼火颜料,,0,16,1
412,繁盛颜料,,0,16,1
413,闪光颜料,,0,6,1
414,一把宁铁螺栓,,0,7,1
415,震簧线圈,,0,9,1
416,永燃炸药,,0,13,1
417,上油的齿轮,,0,26,1
418,弧光电容器,,0,51,1
419,加固的机械底盘,,0,75,1
420,杂合保险丝,,0,19,1
422,10.0 Inscription - Optional Reagent - Azurescale Sigil,巨龙群岛暗月套牌盒图纸。,0,0,0
424,巨龙火枪鞋,,0,60,1
425,重力置换器,,0,20,1
426,冰寒符文,,0,34,1
427,符文歪扭树皮,,0,46,1
429,指定灵感,大部分巨龙群岛的制作工具图纸。,0,0,0
430,生物燃烧罐,,0,21,1
431,原始解构炸药,,0,22,1
432,匠械保险丝,巨龙群岛工程学史诗目镜和护腕的图纸。,0,0,0
433,致命故障预防单元,巨龙群岛工程学史诗目镜和护腕的图纸。,0,0,0
434,弹簧支承的电容套管,巨龙群岛工程学史诗目镜和护腕的图纸。,0,0,0
435,锋锐齿轮,巨龙群岛工程学史诗目镜和护腕的图纸。,0,0,0
436,滴答作响的高频齿轮,巨龙群岛工程学史诗目镜和护腕的图纸。,0,0,0
437,精心调校的齿轮,巨龙群岛工程学史诗目镜和护腕的图纸。,0,0,0
438,通用型齿轮,巨龙群岛工程学史诗目镜和护腕的图纸。,0,0,0
439,杂乱导线,大部分巨龙群岛工程学图纸。,0,0,2
440,过载的超频器,大部分巨龙群岛工程学图纸。,0,0,2
441,治疗镖弹匣,巨龙群岛大部分非美化史诗装备图纸。,0,0,0
442,10.0 Inscription - Optional Reagent - Emberscale Sigil,巨龙群岛暗月套牌盒图纸。,0,0,0
443,10.0 Inscription - Optional Reagent - Bronzescale Sigil,巨龙群岛暗月套牌盒图纸。,0,0,0
444,10.0 Inscription - Optional Reagent - Sagescale Sigil,巨龙群岛暗月套牌盒图纸。,0,0,0
