ID,Name_lang,ResearchFieldID,CurrencyID,TextureFileID,BigTextureFileID,ItemID
1,矮人,1,384,461831,461832,52843
2,德莱尼,1,398,461829,461830,64394
3,化石,1,393,461833,461834,0
4,暗夜精灵,1,394,461837,461838,63127
5,蛛魔,1,400,461835,461836,64396
6,兽人,1,397,462321,462322,64392
7,托维尔,1,401,461839,461840,64397
8,巨魔,1,385,461841,461842,63128
27,维库人,1,399,461843,461844,64395
29,螳螂妖,1,754,839111,839112,95373
229,熊猫人,1,676,633002,633003,79868
231,魔古族,1,677,633000,633001,79869
315,鸦人,1,829,1030616,1030821,109585
350,德拉诺氏族,1,821,1030617,1030822,108439
382,食人魔,1,828,1030618,1030823,109584
404,上层精灵,1,1172,1445575,1445576,130903
406,至高岭牛头人,1,1173,1445577,1445578,130904
408,恶魔,1,1174,1445573,1445574,130905
423,赞达拉巨魔,1,1534,2060051,2060052,154989
424,德鲁斯特,1,1535,2060049,2060050,154990
