Name_lang,ID,PerksMonth
,1,0
一月：重新启程,6,1
二月：关爱与分享,7,2
三月：光彩照人,8,3
四月：春日的脚步,9,4
五月：童真时光,10,5
六月：玩火,11,6
七月：欢庆！,12,7
八月：变脸！,13,8
九月：派对时间,14,9
十月：惊心动魄,16,10
十一月：多多益善,18,11
十二月：天寒地冻,19,12
一月：重新启程,20,13
二月：新欢旧爱,21,14
三月：华丽起舞,22,15
四月：春意袭人,23,16
五月：花朵魅力,24,17
六月：夏日欢笑,25,18
七月：深邃黑暗,26,19
八月：竞争之魂,27,20
九月：欢乐同享,28,21
十月：光暗对决,29,22
十一月：璀璨夺目,30,23
十二月：冰寒试炼,31,24
一月：稳步前进,32,25
二月：月耀光辉,33,26
三月：灵感与天资,34,27
四月：马戏团游戏,35,28
五月：萌物国度,36,29
六月：灼燃之心,37,30
七月：遗忘的回忆,38,31
八月：不可兼得,39,32
九月：矮人风采,40,33
十月：邪能庆典,41,34
十一月：累累恩赐,42,35
十二月：冰封之心,43,36
一月：新的黎明,53,37
二月：金灿灿的喜气,55,38
三月：生活，欢笑，热爱,56,39
四月：打理花园,57,40
五月：吉尔尼斯阴云笼罩,58,41
六月：艳阳下的漫步，仲夏巡游,59,42
七月：盛大狂欢,60,43
八月：一决胜负,61,44
九月：友谊长存,62,45
十月：化装闹剧,63,46
十一月：嗜甜如命,64,47
十二月：防寒保暖,65,48
