ID,Name_lang,UiTextureAtlasMemberID,UiTextureKitID
3,战斗,3475,0
4,普通,3475,0
5,回收,3567,0
6,后勤,3580,0
7,野外生物,3572,0
8,交易,3575,0
9,建筑,3578,0
10,供给,3568,0
11,招募,3583,0
12,训练,3574,0
13,巡逻,3582,0
14,搜索,3574,0
15,防御,3577,0
16,探索,3476,0
17,攻城,3570,0
18,炼金,3571,0
19,锻造,3474,0
20,附魔,3566,0
21,工程学,3581,0
22,铭文,3579,0
23,珠宝加工,3576,0
24,制皮,3584,0
25,裁缝,3573,0
35,寻宝,3575,0
36,宠物对战,3572,0
37,舰船-战斗,4613,174
38,Ship-Oil (Unused),4614,175
39,舰船-训练,4617,178
40,舰船-宝藏,4618,179
41,舰船-总攻（联盟）,4615,176
42,舰船-总攻（部落）,4616,177
46,侦察,3582,0
47,舰船-奖励,4897,220
48,舰船-传说,4931,221
49,舰船-总攻（联盟）,5016,224
50,舰船-总攻（部落）,5017,223
51,地区支援 - 联盟,5597,244
52,入侵,3577,224
53,神器 - 武僧任务,4929,221
54,一般（7.0）,3475,0
55,7.0教学,4929,221
57,地区支援 - 部落,5598,245
58,神器 - 萨满祭司任务,4929,221
59,神器 - 德鲁伊任务,4929,221
60,神器 - 法师任务,4929,221
61,神器 - 猎人任务,4929,221
63,神器 - 圣骑士任务,4929,221
64,神器 - 术士任务,4929,221
65,神器 - 恶魔猎手任务,4929,221
66,神器 - 潜行者任务,4929,221
67,神器 - 牧师任务,4929,221
68,神器 - 死亡骑士任务,4929,221
69,神器 - 战士任务,4929,221
70,7.0 职业大厅 - 战役任务,6130,0
71,7.0 职业大厅 - 一般任务,6132,0
72,7.0 职业大厅 - 宝藏任务,6128,0
73,7.0 职业大厅 - 特殊奖励任务,6131,0
74,7.0 职业大厅 - 任务提供任务,6130,0
75,7.0 职业大厅 - 宝藏任务 - 地下城,6128,0
76,7.0 职业大厅 - 宝藏任务 - 团队副本,6128,0
79,7.2 Broken Shore - Generic Missions,6132,0
80,8.0 - Generic Missions,7747,0
81,8.0 - Stealth,7749,0
82,8.0 - Quick Strike,7748,0
83,8.0 - Long Campaign,8046,0
184,8.0 - Hub Unlock,7746,0
185,8.1 - Treasure Map,8778,0
186,8.2 - Holiday Mission,7746,0
187,8.2 - Deep Sea,9262,0
188,8.2 Azerite Essence - Treasure,8778,0
189,9.0 Encounter - Maldraxxus,6128,0
190,9.0 Encounter - Ardenweald,4929,0
191,9.0 Encounter - Revendreth,7748,0
192,9.0 Encounter - Bastion,6130,0
193,9.0 战斗 - 塔扎维什,6128,0
194,9.0 战斗 - 噬渊突袭,6128,0
195,9.0 Encounter - Treasure,6128,0
196,9.2 战斗 - 扎雷殁提斯,6128,0
