ID,Name_lang,CreatureID,PortraitFileDataID,UiTextureKitID,UiAnimScale,UiAnimHeight,Flags,AutoCombatantID
1,霜火小戈隆,80693,1067373,0,0.75,0.55,0,0
2,雷神斥候,87430,1067284,0,1.4,0.5,0,0
4,Orc Encounter 1,78009,1067281,0,1.5,0.5,0,0
5,Orc Encounter 2,79359,1067297,0,1.5,0.5,0,0
7,Ogre Encounter 1,79378,1067321,0,1.5,0.55,0,0
29,Chris' Mission Set Test Encounter,0,0,0,1,0.4,0,0
30,霜火小戈隆,80704,1067391,0,0.75,0.55,0,0
31,霜火小戈隆,80693,1067373,0,0.75,0.55,0,0
32,冰喉双头飞龙,80705,1067265,0,0.55,0.45,0,0
33,雷神斥候,80192,1067335,0,0.6,0.9,0,0
34,雷神斥候,80172,1067334,0,1.2,0.5,0,0
35,Ogre Encounter 2,79380,1067230,0,0.9,0.55,0,0
36,Undead Encounter 1,79380,1067230,0,1,0.5,0,0
37,Aberration Encounter 1,79383,1067191,0,0.8,0.5,0,0
38,Arakkoa Encounter 1,79387,1067348,0,0.5,0.5,0,0
39,Arakkoa Encounter 2,81338,1067462,0,0.9,0.5,0,0
40,Beast Encounter 1,79384,1067296,0,1.1,0.5,0,0
41,Beast Encounter 2,79386,1067246,0,1.4,0.5,0,0
42,Demon Encounter 1,79381,1067240,0,1.1,0.6,0,0
43,Demon Encounter 2,81339,1067193,0,0.6,0.6,0,0
44,Breaker Encounter 1,79382,1067290,0,1,0.5,0,0
45,Breaker Encounter 2,79385,1067311,0,1.5,0.6,0,0
46,Fury Encounter 1,81340,1067223,0,1.2,0.5,0,0
47,Fury Encounter 2,81341,2395691,0,1,0.5,0,0
48,Primal Encounter 1,81342,1067224,0,1,0.5,0,0
49,Primal Encounter 2,81343,1067208,0,1,0.5,0,0
50,失心蛞蝓,19787,0,0,1,0.4,0,0
51,潜行的掠食者,81538,1067344,0,0.9,0.45,0,0
52,雷神攀岩者,81562,1067236,0,1.55,0.5,0,0
53,雷神风语者,81565,1067286,0,1.55,0.5,0,0
54,被诅咒的狼,81568,1067253,0,1.5,0.5,0,0
55,肃霜劳工,81580,1067268,0,1.2,0.55,0,0
56,霜喙食腐鸟,81583,1067178,0,1.3,0.9,0,0
57,刀塔强袭者,81587,1067336,0,1.2,0.5,0,0
58,白鬼搜寻者,82405,1067305,0,1,0.45,0,0
59,被腐蚀的蟾蜍,82410,1067273,0,1,0.45,0,0
60,坠月渡鸦,82409,1067466,0,0.8,0.5,0,0
