OverrideName_lang,OverrideSubtext_lang,OverrideDescription_lang,ID,SpellID,OverrideIcon,OverridesSpellID,VisibleSpellID
,,,10579,0,135936,0,0
,,,10612,0,135936,0,0
,,,10644,0,135936,0,0
,,,10647,263716,0,0,0
,,,10650,0,135936,0,0
,,,10687,373455,0,0,0
,,,10700,0,135936,0,0
,,,10705,0,135936,0,0
,,,11049,205636,0,0,0
,,,11149,155675,0,0,0
,,产能提供最多$ev1%额外药水。,24833,0,0,0,0
,,制作药水时，+$ev1 $en1。,24834,0,0,0,0
,,学习$@spellname370668。,24835,370668,0,0,0
,,制作药水时，+$ev1% $en1。,24836,0,0,0,0
,,制作药水时，+$ev1 $en1。,24837,0,0,0,0
批量生产,,掌握更有效率地生产药水的技术，每有一点此专精，获得+$ev1 $en1。,24838,0,4624378,0,0
,,学习$@spellname370745，可以生产更高品质的药水，并提高你发现新配方的几率。,24839,370745,0,0,0
,,进行药水实验时，获得5%的突破几率。,24840,0,0,0,0
,,你只要达成一次药水实验的重大突破，制作所有炼金配方就会获得+20 灵感，持续4小时。,24841,0,0,0,0
,,进行药水实验时，获得5%的突破几率。,24842,0,0,0,0
,,进行药水实验时，获得10%的突破几率。,24843,0,0,0,0
药水实验,,提升你对材料的理解，你的实验获得满意效果的可能性提高，每有一点此专精，药水实验获得+1%额外突破几率。,24844,0,4624379,0,0
,,学习制作和使用$@spellname370735成品材料，在制作活跃炼金石时提升技能。,24845,370735,0,0,0
,,学习最终副专精。,24846,0,0,0,0
,,制作药水时，+$ev1 $en1。,24847,0,0,0,0
,,学习你选择的一个副专精。,24848,0,0,0,0
,,制作药水时，+$ev1 $en1。,24849,0,0,0,0
,,制作药水时，+$ev1 $en1。,24850,0,0,0,0
药水学识,,深入探索药水和相关炼金石的奥秘，每有一点此专精，获得+$ev1 $en1。,24851,0,4624657,0,0
,,学习制作和使用$@spellname370735成品材料，在制作空气公式药水时提升技能。,24852,370735,0,0,0
,,制作空气公式药水时，+$ev1 $en1。,24853,0,0,0,0
,,制作空气公式药水时，+$ev1 $en1。,24854,0,0,0,0
,,饮用巨龙群岛药水提供的移动速度增加。,24855,0,0,0,0
,,制作空气公式药水时，+$ev1 $en1。,24856,0,0,0,0
,,制作空气公式药水时，+$ev1 $en1。,24857,0,0,0,0
,,饮用一瓶巨龙群岛药水会在短时间内提升移动速度。,24858,0,0,0,0
空气公式药水,,提高制作以活力或觉醒之气作为基础材料的药水的能力，每有一点此专精，获得+$ev1 $en1。,24859,0,4497566,0,0
,,学习制作和使用$@spellname370735成品材料，在制作冰霜公式药水时提升技能。,24860,370735,0,0,0
,,制作冰霜公式药水时，+$ev1 $en1。,24861,0,0,0,0
,,制作冰霜公式药水时，+$ev1 $en1。,24862,0,0,0,0
,,饮用巨龙群岛药水恢复的生命值增加。,24863,0,0,0,0
,,制作冰霜公式药水时，+$ev1 $en1。,24864,0,0,0,0
,,制作冰霜公式药水时，+$ev1 $en1。,24865,0,0,0,0
,,饮用一瓶巨龙群岛药水会持续恢复你的一部分生命值。,24866,0,0,0,0
冰霜公式药水,,提高制作以活力或觉醒之霜作为基础材料的药水的能力，每有一点此专精，获得+$ev1 $en1。,24867,0,4497591,0,0
,,学习最终副专精。|n|n学习在药水和活跃炼金石配方中使用催化剂成品材料。,24868,0,0,0,0
,,制作药水时，+$ev1 $en1。,24869,0,0,0,0
,,学习你选择的一个副专精。,24870,0,0,0,0
,,回收药水可以获得额外的炼金溶液。,24871,0,0,0,0
,,学习你选择的一个副专精。,24872,0,0,0,0
,,制作药水时，+$ev1 $en1。,24873,0,0,0,0
,,非战斗药水持续时间延长。,24874,0,0,0,0
药水精通,,提高制作药水和相关炼金石的能力，每有一点此专精，获得+$ev1 $en1。,24875,0,4497592,0,0
批量生产,,,24876,0,4624378,0,0
药水实验,,,24877,0,4624379,0,0
