ID,Value_lang,ReqID,ParentWidgetID
7,已控制：%2476w,2,4
8,控制联盟堡垒,3,4
9,上次获胜者：联盟,4,4
10,已控制：%2478w,2,5
11,控制部落堡垒,3,5
12,上次获胜者：部落,4,5
13,剩余时间：%4248k,2,6
16,收集%14684w份艾泽里特,14,7
17,艾泽里特探测器：%13654k,2,8
18,距离艾泽里特探测器激活的时间。,3,8
19,,4,8
1406,%12953w,2,497
1407,联盟其拉嘉奖令,3,497
1408,,4,497
1409,%12952w,2,498
1410,部落其拉嘉奖令,3,498
1411,,4,498
1412,入侵的敌人 = %2454w,2,499
1413,入侵部落基地的敌人数量,3,499
1414,,4,499
1415,入侵的敌人 = %2454w,2,500
1416,入侵部落基地的敌人数量,3,500
1417,,4,500
1418,剩余卫兵：%2491w/%2493w,2,501
1419,,3,501
1420,,4,501
1421,剩余卫兵：%2491w/%2493w,2,503
1422,,3,503
1423,,4,503
1424,剩余时间 - %2509w:%2512w%2510w,2,504
1425,距离灵魂塔可以被再次夺取的时间,3,504
1426,,4,504
1427,麦迪文的剩余护盾：%2540w%,2,507
1428,,3,507
1429,,4,507
1430,紫队剩余人数：%3600w,2,508
1431,,3,508
1432,,4,508
1433,金队剩余人数：%3601w,2,509
1434,,3,509
1435,,4,509
1436,西部灯塔,2,510
1437,联盟控制的灯塔,3,510
1438,,4,510
1439,西部灯塔,2,511
1440,部落控制的灯塔,3,511
1441,,4,511
1442,西部灯塔,2,512
1443,中立灯塔,3,512
1444,,4,512
1445,东部灯塔,2,513
1446,联盟控制的灯塔,3,513
1447,,4,513
1448,东部灯塔,2,514
1449,部落控制的灯塔,3,514
1450,,4,514
1451,东部灯塔,2,515
1452,中立灯塔,3,515
1453,,4,515
1454,金队剩余人数：%3601w,2,516
1455,,3,516
1456,,4,516
1457,紫队剩余人数：%3600w,2,517
1458,,3,517
1459,,4,517
1460,控制哨塔：%2621w,2,518
1461,联盟控制哨塔,3,518
1462,,4,518
1463,控制哨塔：%2622w,2,519
1464,部落控制哨塔,3,519
1465,,4,519
1466,放置燃烧弹 = %2436w/5,2,522
1467,在敦霍尔德安放的燃烧弹数量,3,522
1468,,4,522
1475,剩余时间 - %2509w:%2512w%2510w,2,525
1476,距离灵魂塔可以被再次夺取的时间,3,525
1477,,4,525
1478,剩余时间 - %2509w:%2512w%2510w,2,526
1479,距离灵魂塔可以被再次夺取的时间,3,526
1480,,4,526
1481,打开时间裂隙：%2784w/18,2,527
1482,,3,527
1483,,4,527
1484,当前波次：%2842w/8,2,528
1485,当前波次,3,528
1486,,4,528
1487,北部迁跃门：%2880w%,2,529
1488,,3,529
1489,,4,529
1490,南部迁跃门：%2881w%,2,530
1491,,3,530
1492,,4,530
1493,金队剩余人数：%3601w,2,531
1494,,3,531
1495,,4,531
1496,紫队剩余人数：%3600w,2,532
1497,,3,532
1498,,4,532
1499,护盾剩余：%3054w%,2,533
1500,护盾的剩余能量百分比。,3,533
1501,,4,533
1502,剩余神射手：%3082w / 12,2,534
1503,幸存的塞拉摩防御者数量。,3,534
1504,,4,534
1505,处决倒计时：%3106w分钟,2,535
1506,囚犯被处决的倒计时。,3,535
1507,,4,535
1508,援军：%3127w,2,536
1509,联盟援军,3,536
1510,,4,536
1511,援军：%3128w,2,537
1512,部落援军,3,537
1513,,4,537
