Name_lang,Description_lang,Position[0],Position[1],Position[2],LookAt[0],LookAt[1],LookAt[2],ID,MapID,Fov,TimeOfDay,Flags,SoundAmbienceID,Quality,TextureKit,DefaultScenePriority
冒险者之眠,郁郁葱葱的林地和风景优美的瀑布，还有什么比这更好的扎营地点吗？,-2982.99,468.057,455.523,-2985.54,456.018,454.399,1,2703,65,-1,8,2731,1,5671,0
欧恩哈拉瞭望台,艾泽拉斯各地的冒险者都找不到比这里风景更好的休憩之地了。,-3046.0244,496.39932,410.31583,-3038.1926,487.43228,409.8168,4,2834,65,-1,8,2904,1,5672,0
密教徒的港湾,地下堡中偶尔传来密教徒的念诵之声，又被奔腾的流水所淹没。,181.91145,2500.3923,94.23643,203.66841,2493.2517,92.748405,5,2837,65,-1,0,2905,3,5673,0
芙原清泉,芙原村的土灵很乐意接待声名显赫的冒险者，只要你收拾干净就行。,-2808.0034,395.2014,81.54124,-2822.783,388.33853,81.51475,7,2847,65,-1,0,2902,3,5674,0
加乐宫大画廊,虽然加里维克斯决心榨干安德麦的每一分价值，不过他确实很有品味！,431.86978,-802.94617,27.449316,398.82986,-802.8143,27.221827,25,2851,65,-1,0,2903,3,5676,0
从偏好中随机选取,每次登录时选取一个偏好营区。如果没有偏好营区，则会从整个收藏中选取。,0,0,0,0,0,0,29,2703,90,0,25,0,1,5675,1
冒险者之眠,Chair Test - A forest glade with a picturesque waterfall. What better place to set up camp?,-2982.99,468.057,455.523,-2985.54,456.018,454.399,99,2703,65,-1,7,2731,1,5671,1
Test Example from Scratch,Test Description,-2967.434,418.9375,85.79015,-2967.0469,408.52084,85.22732,110,2847,65,0,7,0,5,0,0
冒险者之眠,测试,-2982.99,343.37,129.736,-2950.4392,376.76215,121.02705,111,2847,65,-1,7,2731,1,5671,1
被吞噬者的命运,塔扎维什，帷纱集市坐拥众多便利的设施、香气扑鼻的街头美食、最新潮的虚灵幻化，还有绝赞的美景。,-669,-160,536.5,-652.51,-122.109,537.3,119,2954,65,-1,0,3130,3,5743,0
