ID,Name_lang,BackgroundFile,Description_lang,OrderIndex,Field_4_4_0_53627_004,ClassMask,CategoryEnumID,SpellIconID,RoleMask,MasterySpellID[0],MasterySpellID[1]
181,战斗,RogueCombat,敏捷而狡诈的游荡剑客，擅长与敌人短兵相接。,1,0,8,0,0,8,76806,0
182,刺杀,RogueAssassination,致命的使毒高手，能够使用匕首迅速而冷酷的杀死敌人。,0,0,8,0,0,8,76803,0
183,敏锐,RogueSubtlety,阴影中的追猎者，擅长在最恰当的时机对毫无戒备的猎物发起致命的伏击。,2,0,8,0,0,8,76808,0
261,元素,ShamanElementalCombat,能够驾驭元素和自然的毁灭之力的施法者。,0,0,64,0,0,8,77222,0
262,恢复,ShamanRestoration,能召唤先祖之魂的治疗者，使用水之净化能量来治愈盟友的创伤。,2,0,64,0,0,4,77226,0
263,增强,ShamanEnhancement,信仰图腾之力的战士，使用灌注元素能量的武器攻击敌人。,1,0,64,0,0,8,77223,0
398,鲜血,DeathKnightBlood,黑暗的守护者，控制和腐蚀生命能量的能力使$G他:她;能够直面敌人的猛攻。,0,0,32,0,0,2,77513,0
399,冰霜,DeathKnightFrost,冰冻末日的使者，能够引导符文能量并以疾速的武器打击突袭敌人。,1,0,32,0,0,8,77514,0
400,邪恶,DeathKnightUnholy,死亡与凋零的主宰，能够散播疫病并召唤不死仆从为$G他:她;效命。,2,0,32,0,0,8,77515,0
409,坚韧,HunterPetTenacity,,0,0,0,2,0,2,0,0
410,,,,0,0,0,0,0,0,0,0
411,,,,0,0,0,0,0,0,0,0
760,戒律,PriestDiscipline,使用魔法护盾保护盟友不受伤害，也能及时治愈他们的伤口。,0,0,16,0,0,4,77484,0
795,暗影,PriestShadow,使用邪恶的暗影魔法彻底根除敌人，尤其擅长持续伤害法术。,2,0,16,0,0,8,77486,0
807,射击,HunterMarksmanship,百步穿杨的神射手，擅长远距离夺走敌人的性命。,1,0,4,0,0,8,76659,0
809,生存,HunterSurvival,精练的追踪者，能将动物剧毒，爆炸物和陷阱当作致命的武器来使用。,2,0,4,0,0,8,76658,0
811,野兽控制,HunterBeastMastery,对荒野了如指掌，$G他:她;能够驯服多种多样的野兽协助作战。,0,0,4,0,0,8,76657,0
813,神圣,PriestHoly,多才多艺的治疗者，既能够单体治疗也能够照顾到整个团队，甚至能够在牺牲后继续治疗。,1,0,16,0,0,4,77485,0
865,毁灭,WarlockDestruction,A master of burst damage who calls down fire to burn and demolish enemies.,2,0,256,0,0,8,77220,0
867,恶魔学识,WarlockSummoning,A master of demonic magic who transforms into a demon and compels demonic powers to aid him.,1,0,256,0,0,8,77219,0
871,痛苦,WarlockCurses,暗影魔法大师，擅长恐惧、吸取能量和持续伤害法术。,0,0,256,0,0,8,77215,0
2053,,,,0,0,0,0,0,0,0,0
2054,,,,0,0,0,0,0,0,0,0
2058,,,,0,0,0,0,0,0,0,0
2096,,,,0,0,0,0,0,0,0,0
2208,,,,0,0,0,0,0,0,0,0
2213,,,,0,0,0,0,0,0,0,0
2214,,,,0,0,0,0,0,0,0,0
2219,,,,0,0,0,0,0,0,0,0
2223,,,,0,0,0,0,0,0,0,0
2239,,,,0,0,0,0,0,0,0,0
2740,,,,0,0,0,0,0,0,0,0
3279,,,,0,0,0,0,0,0,0,0
