ID,Name_lang,Flags,ExpansionID,ParentCategoryID
1,其它,16,0,0
2,PvP,16,0,0
3,未使用,19,0,0
4,经典旧世,16,0,257
21,巫妖王之怒,16,2,257
22,地下城与团队副本,16,0,0
23,燃烧的远征,16,1,257
41,测试,0,0,0
81,大地的裂变,16,3,257
82,考古学,4,0,0
89,征服点数变量,4,0,0
133,熊猫人之谜,16,4,257
137,德拉诺之王,16,5,257
141,军团再临,16,6,257
142,Hidden,4,0,0
143,争霸艾泽拉斯,16,7,257
144,虚拟,8,0,0
245,暗影国度,16,8,257
246,调试,0,0,0
248,Torghast UI (Hidden),4,8,0
250,巨龙时代,16,9,257
251,Dragon Racing UI (Hidden),4,9,0
252,Tuskarr - Fishing Nets (Hidden),4,9,0
253,Test Subcategory 1,4,8,256
254,Test Subcategory 2,4,8,253
255,Test Subcategory 3,4,8,245
256,Test Subcategory 4,4,8,245
257,旧版,16,0,0
260,地心之战,0,10,0
