Name_lang,ID,UiTextureAtlasElementID,DecorCategoryID,OrderIndex
座椅,1,29176,1,0
床铺,2,29113,1,3
门,3,29125,2,0
建筑,4,29203,2,1
桌台,5,29191,1,1
储物,6,29185,1,2
其他家具,7,30799,1,4
窗户,8,29206,2,2
大型构造,9,29155,2,3
其他构造,10,30799,2,4
观赏,11,29164,3,0
壁挂,12,29197,3,1
食物和饮料,13,29131,3,2
地板,14,29128,3,3
其他点缀,15,30799,3,4
大型灯具,16,29152,4,0
墙壁灯具,17,29200,4,1
吊灯,18,29140,4,2
小型灯具,19,29182,4,3
其他照明,21,30799,4,4
效能,22,29194,5,0
大型植物,25,29149,6,0
小型植物,26,29179,6,1
灌木,27,29116,6,2
地被植物,28,29137,6,3
其他自然,29,30799,6,4
杂项 - 全部,34,30799,8,0
房间 - 全部,35,0,9,0
其他功能,51,30799,5,1
