Name_lang,Description_lang,ID,DisplayIndex,UiCameraID,AltHandUICameraID,ForgeAttachmentOverride,Flags,ArtifactID
水晶形态,,1,1,72,0,-1,0,1
尖刺形态,,2,2,0,0,-1,0,1
灰烬使者,,3,1,62,0,-1,0,2
正义重剑,,4,2,65,0,-1,0,2
燃烧的复仇,,5,3,63,0,-1,0,2
陨落的希望,,6,4,66,0,-1,0,2
破碎清算,,7,5,64,0,-1,0,2
欺诈者的双刃,,8,1,72,161,-1,0,3
伊利达雷之手,,9,2,76,928,-1,0,3
黯刃,,10,3,75,930,-1,0,3
斩炎,,11,5,77,931,-1,0,3
魔蚀,,12,4,73,929,-1,0,3
加尼尔，母亲之树,,13,1,61,0,-1,0,13
上古之树,,14,2,68,0,-1,0,13
晶化觉醒,,15,3,60,0,-1,0,13
死木守护者,,16,4,69,0,-1,0,13
守望者之冠,,17,6,70,0,-1,1,13
大地守护者之鳞,,20,1,183,71,-1,0,11
吞噬者之牙,,21,1,168,169,-1,0,17
恶魔之拥,,22,3,172,173,-1,0,17
暗影之刃,,23,2,170,171,-1,0,17
饮血者,,24,4,174,175,-1,0,17
冰寒之刃,,25,5,176,177,-1,0,17
诅咒之喉,,32,1,163,0,-1,0,15
天启,,33,1,162,0,-1,0,16
堕落王子之剑,,39,1,166,167,-1,0,12
莱登之拳,,40,1,191,192,-1,0,40
萨斯多拉，风行者的遗产,,41,1,719,0,-1,0,55
弑君者,,42,1,391,392,-1,0,43
莎拉达尔，潮汐权杖,,43,1,195,958,-1,0,42
毁灭之锤,,44,1,189,0,-1,0,41
图雷，纳鲁道标,,45,1,194,0,-1,0,45
黑暗帝国之刃,,46,1,570,952,-1,0,47
白银之手,,47,1,198,199,-1,0,48
乌索克之爪,,48,1,188,638,-1,0,57
萨格拉斯权杖,,49,1,357,0,-1,0,38
神龙，迷雾之杖,,50,1,196,0,-1,0,51
烈焰之击,,51,1,190,935,-1,0,54
雄鹰之爪,,52,1,197,0,-1,0,34
艾露尼斯,,53,1,178,0,-1,0,4
守护者塔杖,,54,2,179,0,-1,0,4
自由护法者,,55,3,181,0,-1,0,4
艾格文之陨,,56,4,180,0,-1,0,4
不朽的魔导师,,57,5,182,0,-1,0,4
亡灵卫士的凝视,,58,4,184,965,-1,0,11
灭世者的临终之息,,59,6,185,966,-1,1,11
背水之战,,60,3,186,967,-1,0,11
堕落君王之臂,,61,2,187,968,-1,0,11
黑檀之寒,,64,1,344,0,-1,0,53
守护者的焦镜,,65,2,346,0,-1,0,53
大法师的意志,,66,4,351,0,-1,0,53
霜火之忆,,67,6,353,0,-1,1,53
原初之流,,68,3,354,0,-1,0,53
黑暗泰坦的狂妄,,69,2,359,0,-1,0,38
古尔丹的回响,,70,3,360,0,-1,0,38
毁灭者之影,,71,4,362,0,-1,0,38
军团之灾,,72,6,361,0,-1,1,38
游侠将军的守护,,73,4,933,0,-1,0,55
凤凰涅磐,,74,3,722,0,-1,0,55
姐妹的羁绊,,75,2,720,0,-1,0,55
乌鸦卫士,,76,6,721,0,-1,1,55
诅咒之手,,77,2,858,863,-1,0,43
剖心者,,78,3,860,864,-1,0,43
法师杀手之刃,,79,4,859,865,-1,0,43
碎骨者,,80,6,861,866,-1,1,43
月神镰刀,,81,1,631,0,-1,0,59
古神之拥,,82,2,773,957,-1,0,47
堕落之刃,,83,3,774,953,-1,0,47
疯狂幻象,,84,4,776,955,-1,0,47
扭曲镜像,,85,5,775,954,-1,0,47
顽石之爪,,86,2,188,638,-1,0,57
乌索尔的化身,,87,3,188,638,-1,0,57
沉沦梦魇,,88,4,188,638,-1,0,57
林地守护者,,89,6,188,638,-1,1,57
奥达奇战刃,,90,1,753,759,-1,0,60
阿莎曼之牙,,91,1,636,637,-1,0,58
血喉,,92,2,701,0,-1,0,15
骨颚,,93,5,702,0,-1,0,15
斩灵,,94,3,704,0,-1,0,15
斩杀者,,95,4,703,0,-1,0,15
霜之哀伤的遗产,,96,2,662,663,-1,0,12
集魂者,,97,5,664,665,-1,0,12
守墓人,,98,4,700,699,-1,0,12
辛达苟萨之怒,,99,3,667,666,-1,0,12
饥荒使者,,100,4,658,0,-1,0,16
瘟疫使者,,101,3,661,0,-1,0,16
邪恶之战,,102,2,659,0,-1,0,16
白骨收割者,,103,6,660,0,-1,1,16
伊利达雷徽记,,104,2,901,902,-1,0,60
恐怖白骨,,105,4,903,904,-1,0,60
恐惧魔王之咬,,106,3,905,906,-1,0,60
钢铁守望者,,107,6,907,908,-1,1,60
戈德林的使者,,108,2,831,0,-1,0,59
唤月,,109,3,832,0,-1,0,59
太阳卫士之触,,110,6,834,0,-1,1,59
梦魇苦痛,,111,4,833,0,-1,0,59
自然之怒,,112,2,636,637,-1,0,58
原初猎手,,113,3,636,637,-1,0,58
豹母之魂,,114,5,636,637,-1,0,58
梦魇化身,,115,4,636,637,-1,0,58
泰坦之击,,116,1,754,0,-1,0,56
雄鹰之眼,,117,2,789,0,-1,0,56
野猪火炮,,118,4,791,0,-1,0,56
雷象之怒,,119,3,790,0,-1,0,56
毒蛇之噬,,120,5,792,0,-1,0,56
猎鹰重生,,121,2,715,0,-1,0,34
头狼之矛,,122,3,717,0,-1,0,34
毒蛇之击,,123,4,716,0,-1,0,34
巨熊之韧,,124,6,718,0,-1,1,34
逐日者之傲,,125,2,838,937,-1,0,54
凤凰涅槃,,126,3,840,940,-1,0,54
火裔之刃,,127,4,839,939,-1,0,54
缚时者之刃,,128,5,841,941,-1,0,54
福枬，云游者之友,,129,1,710,0,-1,0,52
美猴王的重担,,130,2,711,0,-1,0,52
龙火之握,,131,4,713,0,-1,0,52
玄牛之心,,132,3,712,0,-1,0,52
迷雾使者,,133,5,714,0,-1,0,52
浓雾之钟,,134,2,845,0,-1,0,51
不朽龙息,,135,6,846,0,-1,1,51
煞魔之殇,,136,4,847,0,-1,0,51
赤精之魂,,137,3,848,0,-1,0,51
诸天之拳,,138,1,629,630,-1,0,50
奥拉基尔之触,,139,2,691,692,-1,0,50
灵魂之触,,140,3,694,693,-1,0,50
影踪传承,,141,4,696,695,-1,0,50
风暴之拳,,142,6,698,697,-1,1,50
堕落守护者之拳,,143,2,785,199,-1,0,48
正义之火,,144,5,788,199,-1,0,48
古墓守卫,,145,4,786,199,-1,0,48
守护者的审判,,146,3,787,199,-1,0,48
真理守护者,,147,1,756,755,-1,0,49
泰坦之光,,148,2,777,945,-1,0,49
黑暗守护者的守护,,149,4,780,943,-1,0,49
圣火之徽,,150,5,778,944,-1,0,49
守备官的壁垒,,151,6,779,946,-1,1,49
圣光之怒,,152,1,705,0,-1,0,46
救赎者纹章,,153,2,706,0,-1,0,46
护卷者塔杖,,154,6,709,0,-1,1,46
不懈警戒,,155,4,708,0,-1,0,46
圣光之杯,,156,3,707,0,-1,0,46
纯洁旌旗,,157,2,950,0,-1,0,45
圣光守护者,,158,3,948,0,-1,0,45
阿古斯的回忆,,159,5,949,0,-1,0,45
虚空之拥,,160,4,951,0,-1,0,45
恐惧之刃,,161,1,757,758,-1,0,44
海上魔王的许诺,,162,2,868,873,-1,0,44
烈焰之吻,,163,3,869,874,-1,0,44
剑士之手,,164,5,870,875,-1,0,44
恶棍的遗言,,165,4,871,876,-1,0,44
风暴守护者,,166,2,880,885,-1,0,40
大地语者,,167,3,881,886,-1,0,40
雷加尔的传承,,168,5,882,887,-1,0,40
堕落萨满之拳,,169,4,883,888,-1,0,40
风暴使者,,170,2,632,0,-1,0,41
军团的末日,,171,3,633,0,-1,0,41
黑手的命运,,172,4,634,0,-1,0,41
台风,,173,5,635,0,-1,0,41
深海权杖,,174,2,801,963,-1,0,42
泰坦之子,,175,3,802,961,-1,0,42
图腾传人,,176,4,803,962,-1,0,42
冰封命运,,177,5,804,959,-1,0,42
逆风收割者,,178,1,646,0,-1,0,39
苦难之手,,179,2,647,0,-1,0,39
灵魂虹吸,,180,3,648,0,-1,0,39
命途之末,,181,6,649,0,-1,1,39
死亡之手,,182,4,650,0,-1,0,39
堕落者之颅,,183,1,760,922,20,0,37
首席召唤师的凝视,,184,2,781,927,20,0,37
深渊领主之傲,,185,3,782,926,20,0,37
炽燃残骸,,186,4,783,923,20,0,37
失落之魂,,187,5,784,925,20,0,37
斯多姆卡，灭战者,,188,1,641,0,-1,0,36
亡者的复仇,,189,2,749,0,-1,0,36
愤怒之刃,,190,4,752,0,-1,0,36
掠火,,191,3,750,0,-1,0,36
天空勇士之刃,,192,5,751,0,-1,0,36
瓦拉加尔战剑,,193,1,639,640,-1,0,35
龙骑兵之臂,,194,2,761,765,-1,0,35
风暴之息,,195,4,764,768,-1,0,35
海拉的凝视,,196,5,763,767,-1,0,35
勇气之喉,,197,3,762,766,-1,0,35
风行者,,200,5,934,0,-1,0,55
月魂,,203,6,636,637,-1,1,58
灰烬使者,,206,1,62,0,-1,0,80
灰烬使者,,207,1,62,0,-1,0,81
灰烬使者,,208,1,62,0,-1,0,80
幽光鱼竿,,211,1,818,0,1,0,73
牧羊人的警示,,212,6,825,0,-1,1,4
不死之触,,213,6,826,0,-1,1,15
黑暗符文剑,,214,6,827,828,-1,1,12
死亡裁决,,215,5,829,0,-1,0,16
死亡行者,,216,6,830,932,-1,1,3
棕红之翼,,217,5,909,910,-1,0,60
魔力之镰,,218,5,835,0,-1,0,59
灰喉之力,,219,5,188,638,-1,0,57
暗夜的警示,,220,5,67,0,-1,0,13
泰坦之触,,221,6,836,0,-1,1,56
森林守护者,,222,5,837,0,-1,0,34
群星之图,,223,6,842,938,-1,1,54
精锐魔导师,,224,5,843,0,-1,0,53
远古陈酿守护者,,225,6,844,0,-1,1,52
宁静之符,,226,5,849,0,-1,0,51
雪怒执行者,,227,5,850,851,-1,0,50
守望者的武装,,228,6,852,199,-1,1,48
神圣守护者,,229,3,853,942,-1,0,49
腐化之忆,,230,6,854,0,-1,1,2
英灵之眼,,231,5,855,0,-1,0,46
