ID,Name_lang,CreatureType,Flags,AttackIconFileID,BonusActionBar,CombatRoundTime,DamageVariance,MountTypeID,CreatureDisplayID[0],CreatureDisplayID[1],CreatureDisplayID[2],CreatureDisplayID[3],PresetSpellID[0],PresetSpellID[1],PresetSpellID[2],PresetSpellID[3],PresetSpellID[4],PresetSpellID[5],PresetSpellID[6],PresetSpellID[7]
1,猎豹形态,1,248,132116,1,1000,0.4,0,892,0,0,0,0,0,0,0,0,0,0,0
2,生命之树形态,7,2257,0,0,0,0,0,37165,0,0,0,0,0,0,0,0,0,0,0
3,旅行形态,1,216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,水生形态,1,216,0,0,0,0,0,2428,0,0,0,0,0,0,0,0,0,0,0
5,熊形态,1,248,132143,3,2500,0.4,0,2281,0,0,0,0,0,0,0,0,0,0,0
6,小动物,0,0,0,0,0,0,0,328,0,0,0,0,0,0,0,0,0,0,0
7,食尸鬼,6,9689,0,0,0,0,0,25527,0,0,0,6603,47468,47481,47482,47480,0,47484,47496
8,巨熊形态,1,248,132143,3,2500,0.4,0,2281,0,0,0,0,0,0,0,0,0,0,0
9,朱鹤姿态,0,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,萨隆亚的骷髅,6,1034,0,0,0,0,0,9784,0,0,0,50799,49613,49609,49617,0,0,0,0
11,Darkmoon - Test of Strength,0,1226,0,0,0,0,0,0,0,0,0,62022,62023,62024,62025,0,0,0,0
12,BLB Player,0,0,0,0,0,0,0,0,0,0,0,44029,44752,44083,44010,44012,44817,0,0
13,暗影之舞,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,Creature - Bear,1,0,0,0,0,0,0,2281,0,0,0,0,0,0,0,0,0,0,0
15,Creature - Cat,1,0,0,0,0,0,0,892,0,0,0,0,0,0,0,0,0,0,0
16,幽魂之狼,1,216,0,0,0,0,0,55287,0,0,0,0,0,0,0,0,0,0,0
17,战斗姿态,0,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,防御姿态,0,7,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,狂暴姿态,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,灵龙式,0,7,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,僵尸,6,5150,0,0,0,0,0,26942,0,0,0,57596,51230,56560,43949,56528,0,0,0
22,恶魔变形,7,2252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
