ID,Name_lang
1,铁砧
2,织布机
3,熔炉
4,烹饪用火
5,密斯莱尔水晶碎块
6,冰蹄水井
7,雷角水井
8,蛮鬃水井
9,能量吸取
10,机械店
11,幽影谷月亮井
12,星风村月亮井
13,阿里斯瑞恩月亮井
14,神谕林地月亮井
15,风险投资公司机场
16,风险投资公司货车（蓝色）
17,风险投资公司货车（红色）
18,NG-5炸药（红色）
19,NG-5炸药（蓝色）
20,尤基尔之焰
21,灰谷月亮井
22,海誓祭坛
23,附近的薯块
43,幽暗城召唤法阵
63,萨满圣地
83,暴风城召唤法阵
103,贫瘠之地召唤法阵
123,明镜湖瀑布
143,猛禽洞穴
163,萨维亚瀑布
164,外禁锢之石
183,法力裂隙
203,奥格瑞玛召唤法阵
223,星尘喷泉废墟
224,野猪人的水池
225,水质净化 - 银松森林
226,灵魂之井
243,月泉神殿
263,辛萨罗祭坛
264,海盗船舱底
283,艾奎尼克斯石碑
303,枯木村
304,沙德拉罗祭坛
323,流沙岗哨水池
343,邪爪之石
363,埃其亚基的巢穴
383,枯树
403,直升机平台
423,亚奎门塔斯法阵
424,堕神圣地
443,第一座海潮之池
444,第二座海潮之池
445,第三座海潮之池
446,第四座海潮之池
463,格里什虫巢孵化室
483,米布隆·乱齿
503,加基森墓地
523,铁木森林废墟
543,黑色熔炉
563,葛拉卡盆地
583,七贤之墓
603,平坦的安戈洛岩石
604,蛇颈龙肉块
623,黑铁砧
643,格里什异种蝎水晶
644,被污染的月亮井
663,炼金实验室
683,未铸造的晋升印章
703,奥伯丁月亮井
704,黑木熊怪北部营火
705,壁泉河瀑布
723,火羽山高温点
743,尤洛克的贡品堆
763,安多哈尔的时间裂隙
783,希洛塔姆之石
803,生命圣火
804,血色十字军前方营地
805,安多哈尔哨塔
823,通灵学院观察室
843,加德纳尔月亮井
863,乌米的朋友
883,月亮井
903,火羽山熔岩湖
923,北山伐木场中间的箱子
943,月夜枭兽之石
944,达隆郡广场
963,明亮的光柱
983,爆炸标记
1003,壁泉河瀑布洞口
1004,鬼雾峰水池
1023,巨型骸骨
1043,雷姆洛斯神殿
1063,污林图腾堆
1083,厄运之池
1103,玛拉顿传送门
1123,部落占卜之球
1143,东部凹地
1144,西部凹地
1145,雪落墓地
1163,联盟占卜之球
1164,联盟基地庭院
1165,部落基地庭院
1183,雪落墓地
1184,东部凹地
1185,西部凹地
1203,橙色水晶池
1223,奥妮克希亚的烈焰
1243,克罗苏斯的残骸
1263,伊莫塔尔之座
1264,黑暗召唤法阵
1283,尸骨储藏所
1284,恐惧谷的怨灵
1303,鹰巢山城镇中心
1323,乌瑟尔之墓的雕像
1324,格罗姆的纪念碑
1343,帕格渔点
1344,赞扎祭坛
1345,南海镇
1346,格拉卡隆之骨
1347,被遗忘者臭气弹
1348,交货点
1349,湍急的漩涡
1350,格罗尔纳的洞穴
1351,焰火发射器
1352,焰火发射器
1353,明亮的月光
1354,沃恩的房间
1355,奥兹恩的房间
1356,赤红王座
1357,莱斯·霜语的房间
1358,比斯巨兽的房间
1359,闹鬼的地方
1360,黑石深渊竞技场
1361,水晶尸体
1362,冰怒铁砧
1363,永歌符石
1364,神圣之地
1365,仲夏篝火
1366,五月柱
1367,阿苟纳祭坛
1368,阿苟纳之骨
1369,红钳鱼群
1370,克伦·断脊者的尸体
1371,萨兰纳尔月亮井
1372,隐蔽的控制台
1373,奈亚斯祭坛
1374,隐秘地点
1375,召唤符文
1376,邪能火盆
1377,在纳迦旗帜存在时进入叛徒湾。
1378,瑟丹的尸体
1379,纳兹维安碑石
1380,坠毁点水晶
1381,变异的秘血水晶
1382,阿克萨林水晶
1383,主宰的露台最南端
1384,麦迪文的望远镜
1385,阿隆索斯礼拜堂的永恒之焰
1386,秘血瀑布
1387,蒸汽泵控制台
1388,风茅小屋
1389,大地印记
1390,地下水源
1391,博哈姆废墟阶梯
1392,匕潭石
1393,火刃废墟中的火刃篝火堆。
1394,伊谢尔的阳台
1395,燃烧的战槌篝火堆
1396,沙拉斯鸦巢图腾
1397,被践踏的骷髅
1398,联盟火炮
1399,部落掷刀车
1400,军团感应器
1401,焦痕谷的符石
1402,书柜
1403,武器架
1404,衣柜
1405,提箱
1406,联盟攻城塔的废墟
1407,未被控制的再造机甲X6000型
1408,肯瑞瓦符文
1409,大法师瓦格斯的宝珠
1410,艾伦达尔瀑布
1411,龙骨
1412,虚灵传送台
1413,阿尔科隆火盆
1414,虚空石
1415,法力熔炉：布纳尔的管道
1416,德莱尼军旗
1417,缚地者法阵
1418,萨哈达尔的能量管道
1419,索克雷萨的传送器
1420,苏瑟伦生态圆顶发生器
1421,靠近法力熔炉：乌提斯。
1422,北槌哨塔
1423,暗影祭坛
1424,影月块茎堆
1425,洛克加·血握
1426,魔法织布机
1427,上古德莱尼祭坛
1428,食人魔建筑物入口
1429,刀锋山鸦人法阵
1430,拉什鸦巢法阵
1431,维克鸦巢能量之环
1432,站在桥的末端。
1433,托古斯克星
1434,维克鸦巢法阵
1435,站在诅咒祭坛的古尔丹身边。
1436,军团要塞传送器
1437,卢安预言法阵
1438,军团通讯装置
1439,工头拉泽克拉兹
1440,沼光湖的传送门
1441,Blade's Edge - Quest - Bird Spying
1442,玛鲁卡兹的蜡烛
1443,血环熔炉
1444,土拨鼠洞
1445,炼狱传送器
1446,指挥官戈拉克斯的尸体
1447,塞斯高哨塔
1448,没有卫兵的召唤法阵
1449,锁住的双足飞龙牢笼
1450,高格鲁姆的尸体
1451,死亡之门邪能火炮
1452,痛苦之丘召唤法阵
1453,苟克祭坛，并且苟克尚未被召唤
1454,鸦神之爪
1455,鸦人神殿
1456,磨魂者的祭坛
1457,沙图尔的传送器平台
1458,遇难船残骸
1459,黑蹄村风车
1460,恐怖图腾帐篷
1461,海厄尔家族墓碑
1462,燃烧的巨魔棚屋
1463,奥妮克希亚巢穴的入口
1464,水光庄园码头
1465,唤龙者的平台
1466,破碎海岸火炮
1467,北部的联盟城墙上的火炮。
1468,领主的火堆
1469,寒冰瀑布
1470,靠近复仇港的瘟疫犬笼。
1471,站在舞台上
1472,盛有维库人液体的大锅。
1473,哈瑞斯的药剂样本。
1474,靠近瘟疫犬笼。
1475,破碎石板
1476,沉没的船只
1477,拜尔海姆中部
1478,美酒节酒杯
1479,沃尔特的传送符文
1480,铁矮人传送符文
1481,奎尔丹纳斯魔网能量线
1482,荆刺土堆
1483,水晶结界
1484,军团传送器
1485,霍尔萨的铁砧
1486,维库人的坟墓
1487,西部裂谷的地质异常处
1488,奎尔丹纳斯魔网能量线
1489,蛛魔虫孔
1490,斯纳尔芬的图腾
1491,恩其拉的天灾之锅
1492,站在一艘克瓦迪尔船只的前面或附近。
1493,站在战歌防波堤的末端。
1494,被囚禁的蓝玉巫师
1495,蓝玉魔法护盾
1496,亡者之穴天灾之锅
1497,南部虫孔
1498,站在战歌要塞东部的岔路口，并且带着联盟逃兵。
1499,站在血孢平原的血法师劳莉丝身旁。
1500,破碎残阳传送门
1501,破碎残阳传送门
1502,坠毁的飞行器
1503,喷泉平原蒸汽口
1504,魔枢空间裂隙
1505,致远郡谷物
