ID,Name_lang,Description_lang,IconFileDataID,Category
1,野生怪物入侵,一个出人意料的敌人，其侵略性必须得到遏制。,136080,2
2,重击,能造成大量伤害的技能。,132355,2
3,群体伤害,能对多名队员造成伤害的技能。,135826,2
4,魔法减益,危险的有害效果，需要被驱散。,136207,2
6,危险区域,范围打击技能，必须躲开或逃走。,451165,2
7,爪牙围攻,一个党羽众多的敌人。容易受到范围效果的伤害。,237511,2
8,强力法术,危险的法术，需要打断。,136197,2
9,致命爪牙,一个拥有强力党羽的敌人，需要立刻解决。,1035504,2
10,限时战斗,一个必须迅速解决的敌人。,237538,2
11,兽人,Lok'tar ogar！,897144,1
12,食人魔,你在看什么。,236695,1
13,亡灵,脑子……,236458,1
14,鸦人,一个古老而危险的物种。,236435,1
15,野兽,吼。,298659,1
16,恶魔,末日就要降临了。,254651,1
17,毁灭者,巨大且充满毁灭性的德拉诺巨人。,236412,1
18,元素之怒,德拉诺的元素生物。,254652,1
19,畸变怪,虚空生物。,298680,1
20,原兽,原始的德拉诺古代生物。,254105,1
21,山地,一片多山的区域。,236848,0
22,沙漠,一片严酷干旱的区域。,236846,0
23,雪地,严寒的极地。,236833,0
24,地穴,黑暗的地下。,409595,0
25,丛林,一片布满茂密植物和树丛的区域。,236850,0
26,森林,树木繁茂的土地。,236830,0
27,城镇,一小片城镇区。,462338,0
28,沼泽,一片污秽的区域，你最好别去。,236819,0
29,平原,一片开阔起伏的绿色丘陵和平原。,236712,0
58,炉石游戏桌,快从壁炉旁拉一把椅子吧！,4620678,0
60,炼金术,该任务涉及炼金专业。,4620669,0
61,锻造,该任务涉及锻造专业。,4620670,0
62,附魔,该任务涉及附魔专业。,4620672,0
63,工程学,该任务涉及工程学专业。,136243,0
64,珠宝加工,该任务涉及珠宝加工专业。,4620677,0
65,制皮,该任务涉及制皮专业。,133611,0
66,裁缝,该任务涉及裁缝专业。,4620681,0
67,铭文,该任务涉及铭文专业。,4620676,0
73,潜水艇,"潜水艇可以在水下悄无声息地航行，偷袭毫无防备的舰船。

|cffb2f0ff应对舰船：|r
|TInterface\ICONS\Ships_ABILITY_DepthCharges.blp:24:24:0:0|t|cffffffff驱逐舰|r",1141396,2
74,航母,"航母搭载有一队王牌轰炸机飞行员。

|cffb2f0ff应对舰船：|r
|TInterface\ICONS\Ships_ABILITY_Stealth.blp:24:24:0:0|t |cffffffff潜水艇|r",1141394,2
75,驱逐舰,"驱逐舰是装甲厚实的高速舰船，擅长猎杀潜水艇。

|cffb2f0ff应对舰船：|r
|TInterface\ICONS\Ships_ABILITY_ArmorPiercingAmmo.blp:24:24:0:0|t |cffffffff战列舰|r",1141395,2
76,战列舰,"战列舰以毁灭性的远程舰炮著称，在公海上所向披靡。

|cffb2f0ff应对舰船：|r
|TInterface\ICONS\Ships_ABILITY_Bombers.blp:24:24:0:0|t |cffffffff航母|r",1141390,2
77,冰封水域,水面上漂浮着巨大的冰块。在冰块间迷宫般的水道中航行容易使你的舰船遭到攻击。,236794,2
78,风暴天气,在风暴天气中航行，你只需要担心三件事：狂风吹袭，电闪雷鸣以及凶猛的海浪。,463562,2
79,浓雾,浓雾将这一区域彻底笼罩在黑暗之中。,132331,2
80,漩涡乱流,漩涡乱流的出现毫无预兆，会对途径的任何船只造成毁灭性的破坏。,892446,2
81,紧急任务,以不竭的动力乘风破浪，飞速前行。赶上它你就成功了一半，另一半就得靠真刀真枪了。,132120,2
82,机动规避,能够在毫无预兆的情况下进行急转弯，这类目标很难击中。,136205,2
83,布雷舰,作为一艘布雷舰，这艘舰船会在身后布下大量水雷，令追踪变得危机四伏。,133710,2
84,先发打击,一次迅速的正面打击能够干脆利落地结束战斗。,132212,2
85,专业船长,由精锐船员驾驶的舰船，擅长精妙的海战。专业船长没有直接的应对办法，但要想成功就不能忽视了他们。,133168,2
86,地面目标,,132296,2
87,地面目标,"需要将物资或部队运送到地面位置的目标。

|cffb2f0ff应对舰船：|r
|TInterface\ICONS\Ships_ABILITY_BoardingPartyALLIANCE.blp:24:24:0:0|t |cffffffff运输舰|r",132296,2
88,被诅咒的船员,被诅咒的水手。,135974,2
89,悬崖,一种严酷而危险的环境。,409549,0
109,首领,"|CFFFFFFF0首领|R
若无法应对，则会降低任务成功率。",1357797,2
110,危害,"|CFFFFFFF0危害|R
若无法应对，则会增加任务时长。",1357798,2
111,旋风斩,,132369,2
112,战士,,132347,2
113,首领,"|CFFFFFFF0首领|R
若无法应对，则会降低任务成功率。",1357797,2
114,首领,"|CFFFFFFF0首领|R
若无法应对，则会降低任务成功率。",1357797,2
115,爪牙,"|CFFFFFFF0部队|R
这支部队拥有强大的护甲。若无法应对，则会增加任务时长。",1357814,2
121,法术,"|CFFFFFFF0法术|R
若无法应对，高伤害法术会对部队造成越来越高的伤害。",1357804,2
122,伏击,降低任务成功率。没有应对方法。,1357812,2
124,首领,"|CFFFFFFF0首领|R
若无法应对，则会降低任务成功率。",1357797,2
125,首领,"|CFFFFFFF0首领|R
若无法应对，则会降低任务成功率。",1357797,2
126,残酷,成功率降低${$a910}%。,311232,2
127,简单,成功率降低${$a909}%。,311236,2
128,困难,成功率降低${$a907}%。,311237,2
129,极难,成功率降低${$a908}%。,311238,2
130,精英,降低任务成功率。没有应对方法。,1357812,2
131,地下城,降低任务成功率。没有应对方法。,1357812,2
132,团队副本,降低任务成功率。没有应对方法。,1357812,2
135,阿古斯精英,"|CFFFFFFF0阿古斯精英|R
若无法应对，则会降低任务成功率。",1113433,2
138,主要目标,擅于制造和破坏设备，也可以说是擅于制造设备来破坏其他设备。,134520,2
139,侦察,|cFFFFD200“人多容易引起注意”|r,134441,2
141,斥候,,134441,2
142,远程,,236201,2
143,近战,,132269,2
144,骑兵,,132226,2
145,破坏,"激活后，其他任务的时间延长50%。

|cFFFFD200“爆炸可是很混乱的”|r",133715,0
147,主要目标,找到目标，获取情报，行家里手的派头。,132288,2
148,夜视,可以在黑暗中看清事物。,136057,2
149,主要目标,受过各种战斗方式和武器的训练。,615342,2
150,突击,"缩短任务时间同时提高成功率。

|cFFFFD200“快攻可以让敌人措手不及，没有反抗的余地。速战速决吧。”|r",134376,0
151,精英任务,降低任务成功率。没有应对方法。,616373,2
153,潜行,"部队成功率降低100%。

|cFFFFD200“大部队太显眼了”|r",132320,2
154,坚韧战力,"执行任务的部队每有1点活力，就会使成功率提高10%。

|cFFFFD200“有了新人加入，长途跋涉和疲惫煎熬就会好受一些。”|r",1060984,2
256,深海,"任务成功率降低。

|cFFFFD200""你以为我们是要游过去吗？”|r",135861,2
257,JasonTest Mechanic,JasonTest Mechanic,0,0
