ID,Name_lang,Name1_lang,Mask_ID,Flags
1,列兵 %s,列兵 %s,1,0
2,下士 %s,下士 %s,2,0
3,中士 %s,中士 %s,3,0
4,军士长 %s,军士长 %s,4,0
5,士官长 %s,士官长 %s,5,0
6,骑士 %s,骑士 %s,6,0
7,骑士中尉 %s,骑士中尉 %s,7,0
8,骑士队长 %s,骑士队长 %s,8,0
9,护卫骑士 %s,护卫骑士 %s,9,0
10,少校 %s,少校 %s,10,0
11,司令 %s,司令 %s,11,0
12,统帅 %s,统帅 %s,12,0
13,元帅 %s,元帅 %s,13,0
14,大元帅 %s,大元帅 %s,14,0
15,斥候 %s,斥候 %s,15,0
16,步兵 %s,步兵 %s,16,0
17,中士 %s,中士 %s,17,0
18,高阶军士 %s,高阶军士 %s,18,0
19,一等军士长 %s,一等军士长 %s,19,0
20,石头守卫 %s,石头守卫 %s,20,0
21,血卫士 %s,血卫士 %s,21,0
22,军团士兵 %s,军团士兵 %s,22,0
23,百夫长 %s,百夫长 %s,23,0
24,勇士 %s,勇士 %s,24,0
25,中将 %s,中将 %s,25,0
26,将军 %s,将军 %s,26,0
27,督军 %s,督军 %s,27,0
28,高阶督军 %s,高阶督军 %s,28,0
42,角斗士 %s,角斗士 %s,29,0
43,决斗者 %s,决斗者 %s,30,0
44,竞争者 %s,竞争者 %s,31,0
45,挑战者 %s,挑战者 %s,32,0
46,甲虫之王 %s,甲虫之王 %s,33,0
47,征服者 %s,征服者 %s,34,0
48,审判者 %s,审判者 %s,35,0
53,"%s, 纳鲁的勇士","%s, 纳鲁的勇士",36,0
62,残酷角斗士 %s,残酷角斗士 %s,37,0
63,破碎残阳的%s,破碎残阳的%s,38,0
64,"%s, 阿达尔之手","%s, 阿达尔之手",39,0
71,复仇角斗士 %s,复仇角斗士 %s,40,0
72,战斗大师 %s,战斗大师 %s,41,0
74,长者 %s,长者 %s,43,0
75,护焰者 %s,护焰者 %s,44,0
76,护火者 %s,护火者 %s,45,0
77,崇高者 %s,崇高者 %s,46,0
78,探索者 %s,探索者 %s,47,0
79,外交家 %s,外交家 %s,48,0
80,野蛮角斗士 %s,野蛮角斗士 %s,49,0
81,搜寻者 %s,搜寻者 %s,42,0
82,竞技场大师 %s,竞技场大师 %s,50,0
83,咸鱼 %s,咸鱼 %s,51,0
84,厨师 %s,厨师 %s,52,0
85,癫狂的%s,癫狂的%s,53,0
86,无尽风暴的%s,无尽风暴的%s,54,0
87,翡翠梦境的%s,翡翠梦境的%s,55,0
89,预言者 %s,预言者 %s,57,0
90,凶星 %s,凶星 %s,58,0
91,掠食者 %s,掠食者 %s,59,0
92,黑锋骑士团的%s,黑锋骑士团的%s,60,0
93,大法师 %s,大法师 %s,61,0
94,战争领主 %s,战争领主 %s,62,0
95,刺客 %s,刺客 %s,63,0
96,宗师级炼金师 %s,宗师级炼金师 %s,64,0
97,宗师级铁匠 %s,宗师级铁匠 %s,65,0
98,钢铁厨师 %s,钢铁厨师 %s,66,0
99,宗师级附魔师 %s,宗师级附魔师 %s,67,0
100,宗师级技师 %s,宗师级技师 %s,68,0
101,医师 %s,医师 %s,69,0
102,宗师级垂钓者 %s,宗师级垂钓者 %s,70,0
103,宗师级草药师 %s,宗师级草药师 %s,71,0
104,宗师级铭文师 %s,宗师级铭文师 %s,72,0
105,宗师级珠宝匠 %s,宗师级珠宝匠 %s,73,0
106,宗师级制皮师 %s,宗师级制皮师 %s,74,0
107,宗师级矿工 %s,宗师级矿工 %s,75,0
108,宗师级剥皮师 %s,宗师级剥皮师 %s,76,0
109,宗师级裁缝 %s,宗师级裁缝 %s,77,0
110,争斗者 %s,争斗者 %s,78,0
111,悚然角斗士 %s,悚然角斗士 %s,79,0
112,惊恶角斗士 %s,惊恶角斗士 %s,80,0
113,诺莫瑞根的%s,诺莫瑞根的%s,81,0
114,狮心王 %s,狮心王 %s,82,0
115,"%s, 艾露恩的勇士","%s, 艾露恩的勇士",83,0
116,"%s, 奥格瑞玛的英雄","%s, 奥格瑞玛的英雄",84,0
117,平原行者 %s,平原行者 %s,85,0
118,暗矛部族的%s,暗矛部族的%s,86,0
119,被遗忘者%s,被遗忘者%s,87,0
120,魔法追寻者 %s,魔法追寻者 %s,88,0
121,暮光征服者 %s,暮光征服者 %s,89,0
122,"%s, 纳克萨玛斯的征服者","%s, 纳克萨玛斯的征服者",90,0
123,"%s, 诺森德的英雄","%s, 诺森德的英雄",91,0
124,神圣的%s,神圣的%s,92,0
125,博学者 %s,博学者 %s,93,0
126,联盟的%s,联盟的%s,94,0
127,部落的%s,部落的%s,95,0
