ID,Name_lang,Description_lang,CovenantID,Level,Icon,Field_10_2_6_53840_005,UiOrder,SpellID
1074,致命之匕,|cFF00ccff“巨龙时代”外观|r|n|cFF1eff00“霸业风暴”外观|r|n|n解锁“致命之匕”外观。欲改变“霸业风暴”中的角色外观，请与达卡什·暗账交谈。|n|n“你是桶腿船团的手下了，杂兵。快，拿上匕首，收集财宝，成就霸业！”,23,1,2175564,0,0,0
1075,水手杂兵的手套,|cFF00ccff“巨龙时代”外观|r|n|n解锁“水手杂兵的手套”外观。|n|n“皮手套可以让你争夺宝物时手不打滑。”,23,2,1063260,0,0,439457
1076,稳健之靴,|cFF00ccff“巨龙时代”外观|r|n|n解锁“稳健之靴”外观。|n|n“无论是在船上还是在地上，都能帮你站稳脚跟。”,23,3,590806,0,0,439448
1077,絮棉马裤,|cFF00ccff“巨龙时代”外观|r|n|n解锁“絮棉马裤”外观。|n|n“给你一条新裤子，让你摔倒时有东西垫屁股。”,23,4,5489011,0,0,439451
1078,钙化重剑,|cFF00ccff“巨龙时代”外观|r|n|cFF1eff00“霸业风暴”外观|r|n|n解锁“钙化重剑”外观。欲改变“霸业风暴”中的角色外观，请与达卡什·暗账交谈。|n|n“剑其实跟匕首差不多，只是块更大的铁板而已。”,23,5,2182692,0,0,439390
1231,棉纺衬衣,|cFF00ccff“巨龙时代”外观|r|n|cFF1eff00“霸业风暴”外观|r|n|n解锁“棉纺衬衣”外观。|n|n同时解锁“霸业风暴”的“寒酸的水手杂兵”装束。欲改变“霸业风暴”中的角色装束，请与达卡什·暗账交谈。,23,6,4279080,0,0,439453
1232,潜伏者披风,|cFF00ccff“巨龙时代”外观|r|n|n解锁“潜伏者披风”外观。|n|n“一些收集者老喜欢躲在阴影里。”,23,7,2124014,0,0,439455
1233,铜质火炮,|cFF00ccff“巨龙时代”外观|r|n|cFF1eff00“霸业风暴”外观|r|n|n解锁“铜质火炮”外观。欲改变“霸业风暴”中的角色外观，请与达卡什·暗账交谈。|n|n“有了这门炮，收集就是小菜一碟。”,23,8,304333,0,0,439393
1234,暖意羊绒帽,|cFF00ccff“巨龙时代”外观|r|n|n解锁“暖意羊绒帽”外观。|n|n“再黑心的水手也会有觉得寒心的时候。”,23,9,1676426,0,0,439445
1235,银白浪骁,|cFF00ccff“巨龙时代”坐骑|r|n|n解锁“银白浪骁”坐骑。|n|n“有股虾味。”,23,10,2741477,0,0,437516
