ID,NameSubtext_lang,Description_lang,AuraDescription_lang
1,,,
3,,,
4,,,
5,,立即轰杀目标，很强吧……,
7,,施法者进行自杀，立即杀死自己。,
11,,对目标造成$s1点冰霜伤害。,
13,,,
14,,,
17,,为一名盟友施加护盾，持续$d，吸收$s1点伤害。,吸收$w1点伤害。
24,,,
25,,,
26,,,
27,,,
31,,,
33,,,
34,,,
35,,,
45,,击退附近的敌人。,
53,,"猛刺目标，造成${$s2*$<mult>}点物理伤害。当你在目标背后时，造成的伤害提高$s4%$?s319949[，并且造成爆击时施加洞悉弱点，持续$319949s1秒][]。

|cFFFFFFFF奖励$s3个连击点数。|r",
56,,使目标昏迷$d。,昏迷。
59,,,
65,,你的近战攻击急速提高$s1点，持续$d。,
66,,"使你在$66d内变成隐形，每秒降低一定的威胁值。隐形时你无法成为敌人的目标。持续$32612d。期间采取任何行动都会取消这个效果。$?a382293[

你的移动速度提高$382293s1%，持续$337278d。][]",正在隐形。
71,,久经战斗，耐力提高$s2%，并获得相当于你的力量的$s1%的护甲值。,
75,,自动射击目标，直到被取消。,射击目标。
77,,,
81,被动,使你有一定几率躲闪敌人的近战和远程攻击。,
96,,使你的下一次近战攻击的伤害提高$s1点，并使目标流血。,流血，每$t2秒$s2点伤害。
99,,变为熊形态并召唤乌索尔之魂，发出震耳的咆哮，使$A1码范围内的所有敌人瘫痪$d。伤害可能解除该效果。,瘫痪。
100,,"向一名敌人冲锋，造成$126664s2点物理伤害，使其定身$105771d$?s103828[，并昏迷$7922d][]。

|cFFFFFFFF产生$/10;s2点怒气值。|r",
101,等级 1,摔投人型目标，对其造成$s2点伤害，并使其倒地$d。奖励$s3个连击点数。,
107,被动,有一定几率格挡敌人的近战和远程武器攻击。,
108,,,
110,,,
111,,,
112,,,
113,,在敌人周围形成冰封的链条，将目标锁定在原地，持续$d。,被定身在原地。
116,,"向敌人射出一支寒冰箭，造成$228597s1点冰霜伤害并使其移动速度降低$205708s1%，持续$205708d。$?a378749[

寒冰箭对被冻结的目标额外造成$378749m1%的伤害。][]",
118,绵羊,"将敌人变成一只绵羊，使其在周围到处闲逛，瘫痪$d。受此法术影响期间，绵羊无法攻击或施法，但会以极快的速度恢复生命值，任何伤害都可能取消此效果。只能影响一个目标。

只能对野兽、人型生物和小动物施放。$?s56382[对小动物施放时，可以影响数个目标，并且效果会持续一整天。][]",瘫痪，不能攻击或施法。生命值恢复速度提高。
120,,使你前方锥形区域内的目标受到$s1点冰霜伤害，并且$?a386763[在$386770d内被冻结在原地][移动速度降低$212792m1%，持续$212792d]。,移动速度降低$s1%。
122,,冲击你周围$A2码范围内的所有敌人，造成$s2点冰霜伤害并将其冻结在原地，持续$d。任何伤害都可能打断冻结效果。,被冻结在原地。
126,,召唤基尔罗格之眼并通过它来观察世界。基尔罗格之眼处于潜行状态，移动速度很快，但是非常脆弱。,"正在控制基尔罗格之眼。
正在检测隐形目标。"
130,,减缓一位队友的坠落速度，持续$d。,减慢下落速度。
133,,"投出一枚火球，造成$s1点火焰伤害。$?a157642[

每当火球术未能对目标造成爆击时，其爆击几率就会提高$157644s1%。此效果可叠加，且会在火球术对目标造成爆击后结束。][]",
134,,为盟友施加火焰之盾，每$t1秒对施法者周围的所有敌人造成$3052s1点火焰伤害，持续$d。,每$t1秒对施法者周围的所有敌人造成$3052s1点火焰伤害。
