ID,Text_lang
2,尽管单个食尸鬼在力量和智能方面都很弱，但它们能够凭借压倒性的数量，充当黑锋骑士团的战力之一。
3,恶鬼脆弱但敏捷，还能攀爬垂直的墙壁。它们常攀附在暗处，袭击毫无防备的目标。
4,黑锋骑士由巫妖王亲自复活，他们存在的目的只有一个：杀戮或死亡。
5,黑锋掠夺者身经百战、杀敌无数，是黑锋骑士团中最勇猛的士兵。
6,因暴露在恶魔能量下而慢慢退化的灰舌破碎者学会了不择手段生存下去，他们会在明处和暗处与敌人战斗。
7,曾效忠瓦丝琪和凯尔萨斯的纳迦部族库斯卡将他们的忠仆训练成强大勇猛的战士。
8,伊利达雷恶魔猎手接受了恶魔之力，为了更有效地猎杀燃烧军团的恶魔，他们牺牲了原本的精灵外貌。
9,最高阶的伊利达雷成员全身心接受了恶魔的力量和形态，变成了长翼的黑暗生物，能将敌人彻底消灭。
10,森林受到威胁时，树木们变成树人保护家园。
11,树妖是塞纳留斯的女儿，同时具有精灵与神鹿的血统。她们在和平年代开朗温柔，但若有谁敢破坏自然，她们会毫不留情地将其猎杀。
12,利爪德鲁伊是变形大师，他们能召唤熊的力量，变身成为力大无比又皮糙肉厚的野兽痛击敌人。
13,林地守护者是塞纳留斯的后代，他们拥有一半精灵一半雄鹿的身形，一只手像是由树根编制而成的利爪。他们在自然界中拥有无比强大的力量。
14,弓箭手箭术高超，通常用来给步兵提供远程支援。集群的弓箭手能有效压制单个目标或成群的敌人。
15,隐秘通途的神射手大师箭术已登峰造极，就算视野很差或根本没有视野，他们也能射中敌人。
16,不管环境多么恶劣、踪迹多么隐秘，隐秘通途的追踪者总能老练地追踪并干掉猎物。
17,所有猎人都有一定的野外生存技能，而探路者更是其中的佼佼者。他们不仅自愿在荒野中生存，利用地形对付敌人的本领更是无人能及。
18,大多数法师认为元素生物反复无常难以驾驭，但冰霜法师将水元素收为仆从已经有好几百年的历史了。
19,奥术傀儡由专家级石匠和熔炼师打造而成，并由强大的魔法驱动，用蛮力保护法师们。
20,提瑞斯秘法会只招募最有天赋的施法者当学徒，就算是他们的新学徒也比其他组织里的大师更为强大。
21,肯瑞托召唤师是操控奥术和元素之力的精英施法者，他们在魔法方面的技艺无人能及，麦迪文的父亲聂拉斯·埃兰就是其中一员。
22,“力量是外在的表现，而坚忍来自于内心。”——拉希奥
23,玄牛高手擅长和对手打持久战，能拖垮大多数对手。倾尽全力保护弱者是他们的庄严使命。
24,玄牛武僧坚毅果敢，只有在试炼中克服了自己最大恐惧的最强者才能晋升为大师。
25,“力量与气力的差别，就如日月般一目了然。”——白虎雪怒
26,白虎高手经过勤学苦练，出手迅如闪电。他们知道克制自己等待完美的出手时机，远比用猛力强攻更为重要。
27,遵循白虎之道的大师们迅捷而沉着，拥有无人能及的力量与耐心。他们驾驭内在的力量服务他人。
28,尽管很多白银之手的侍从都渴望着有朝一日能成为骑士，他们中也有不少人以服侍全身心投入圣光的骑士为荣。
29,白银之手的大多数圣骑士都会骑马上阵杀敌，而持盾卫士则精通防御性战斗技巧，他们能在战场上立起坚不可摧的防护之墙。
30,白银之手的骑士每天不仅虔诚地祈祷，练武也从不懈怠，他们为了保护无辜和弱者而苦练本领。
31,白银之手圣殿骑士不仅武艺出类拔萃，举手投足更是正气凛然。只有同时拥有过人的勇武和纯洁的内心者才有资格晋升为勇士。
32,教团的助祭往往刚踏上他们的修行之路，他们有着强烈的求知欲，满怀热情地接受指导和执行任务。
33,教团的圣贤能精准地驾驭圣光，多年以来，他们一直以刻苦研读典籍而闻名。
34,教团的狂热者是虔诚的神职人员，他们的修行方式对肉体十分严苛，其中包括痛苦的自我鞭笞。但为了寻求灵魂的开悟，他们甘愿忍受痛苦。
