ID,Name_lang,InstanceType,OrderIndex,OldEnumValue,FallbackDifficultyID,MinPlayers,MaxPlayers,Flags,ItemContext,ToggleDifficultyID,GroupSizeHealthCurveID,GroupSizeDmgCurveID,GroupSizeSpellPointsCurveID
1,普通,1,1,0,0,5,5,4,1,0,0,0,0
2,英雄,1,2,1,1,5,5,5,2,0,0,0,0
3,10人,2,1,0,0,10,10,38,4,5,0,0,0
4,25人,2,3,1,0,25,25,36,5,6,0,0,0
5,10人（英雄）,2,2,2,3,10,10,37,3,3,0,0,0
6,25人（英雄）,2,4,3,4,25,25,37,6,4,0,0,0
7,随机,2,5,4,4,25,25,16,83,0,0,0,0
8,史诗钥石,1,5,-1,23,5,5,1,16,0,0,0,0
9,40人,2,7,-1,0,40,40,36,3,0,0,0,0
11,场景战役（英雄）,5,2,-1,12,3,3,1,10,0,0,0,0
12,场景战役（普通）,5,1,-1,0,5,5,2,9,0,0,0,0
14,普通,2,3,-1,0,10,30,6,3,0,0,0,0
15,英雄,2,4,-1,14,10,30,68,5,0,0,0,0
16,史诗,2,5,-1,15,20,20,133,6,0,0,0,0
17,随机,2,6,-1,14,10,30,16,4,0,0,0,0
18,事件,2,4,-1,0,40,40,16,0,0,0,0,0
19,事件,1,4,-1,0,5,5,16,0,0,0,0,0
20,事件场景战役,5,3,-1,0,25,25,0,0,0,0,0,0
23,史诗,1,3,-1,2,5,5,133,23,0,0,0,0
24,时空漫游,1,6,-1,2,5,5,0,22,0,0,0,0
25,世界PvP场景战役,5,4,-1,0,0,40,16,0,0,0,0,0
29,PvEvP场景战役,3,5,-1,0,0,5,16,0,0,0,0,0
30,事件,5,7,-1,0,6,6,0,9,0,0,0,0
32,世界PvP场景战役,5,4,-1,0,0,40,16,0,0,0,0,0
33,时空漫游,2,7,-1,14,10,30,16,22,0,0,0,0
34,PvP,3,7,-1,0,5,5,0,7,0,0,0,0
38,普通,5,1,0,0,1,3,22,0,0,0,0,0
39,英雄,5,2,1,38,1,3,84,0,0,0,0,0
40,史诗,5,3,-1,39,1,3,148,0,0,0,0,0
45,PvP,5,3,-1,39,1,3,340,0,0,0,0,0
147,普通,5,1,-1,0,5,5,18,9,0,0,0,0
149,英雄,5,2,-1,0,10,30,80,10,0,0,0,0
150,普通调整（1-5）,1,1,-1,0,1,5,2,1,0,0,0,0
151,随机,2,6,-1,17,10,30,16,4,0,0,0,0
152,恩佐斯的幻象,5,1,-1,0,1,5,18,9,0,0,0,0
153,繁盛海岛,5,8,-1,39,10,10,340,0,0,0,0,0
167,托加斯特,5,1,-1,0,1,5,18,9,0,0,0,0
168,晋升之路：勇气,5,7,-1,0,1,1,0,0,0,0,0,0
169,晋升之路：忠诚,5,7,-1,0,1,1,0,0,0,0,0,0
170,晋升之路：智慧,5,7,-1,0,1,1,0,0,0,0,0,0
171,晋升之路：谦逊,5,7,-1,0,1,1,0,0,0,0,0,0
172,世界首领,0,7,-1,0,1,40,4,81,0,0,0,0
192,挑战难度1,0,8,-1,0,1,40,4,25,0,0,0,0
205,追随者,1,7,-1,1,5,5,0,1,0,0,0,0
208,地下堡,5,1,-1,0,1,5,2,9,0,0,0,0
216,任务,1,8,-1,1,5,5,0,1,0,0,0,0
220,剧情,2,9,-1,0,1,10,0,0,0,0,0,0
