Name_lang,Description_lang,ID,JournalEncounterID,CreatureDisplayInfoID,FileDataID,OrderIndex,UiModelSceneID
格拉布托克,,358,89,37410,522228,0,9
赫利克斯·破甲,,359,90,33002,522234,0,9
死神5000,,360,91,35606,522225,0,9
撕心狼将军,,361,92,35739,522189,0,9
“船长”曲奇,,362,93,1305,522210,0,9
梵妮莎·范克里夫,,365,95,32806,522278,0,9
灰葬男爵,,366,96,34610,522205,0,9
席瓦莱恩男爵,,367,97,37288,522206,0,9
指挥官斯普林瓦尔,,368,98,37287,522213,0,9
沃登勋爵,,369,99,34612,522249,0,9
高弗雷勋爵,,370,100,34611,522247,0,9
纳兹夏尔女士,,371,101,34342,522245,0,9
指挥官乌尔索克,,372,102,84332,522214,0,9
蛊心魔古厄夏,,373,103,32259,522253,0,9
厄祖玛特,,374,104,34135,522259,0,9
摧骨者罗姆欧格,,375,105,33147,522266,0,9
柯尔拉，暮光之兆,,376,106,31546,522216,0,9
卡尔什·断钢,,377,107,31710,522244,0,9
如花,,378,108,34433,522207,0,9
升腾者领主奥西迪斯,,379,109,36465,522201,0,9
克伯鲁斯,,380,110,33477,522215,0,9
岩皮,,381,111,36476,522271,0,9
欧泽鲁克,,382,112,36475,522258,0,9
高阶女祭司艾苏尔,,383,113,26448,522237,0,9
大宰相埃尔坦,,384,114,35181,522229,0,9
阿尔泰鲁斯,,385,115,34265,522192,0,9
阿萨德,,386,116,35388,522200,0,9
胡辛姆将军,,387,117,34743,523205,0,9
奥弗,,388,118,37339,522203,1,9
锁喉,,389,118,33438,522246,0,9
高阶预言者巴林姆,,390,119,34744,522239,0,9
希亚玛特,,394,122,35388,522269,0,9
神殿守护者安努尔,,424,124,35067,522272,0,9
地怒者塔赫,,425,125,31450,522219,0,9
安拉斐特,,426,126,34580,522195,0,65
伊希斯特,,427,127,33465,522241,0,66
阿穆纳伊,,428,128,32943,522194,0,66
塞特斯,,429,129,33055,522267,0,66
