ID,HordeName_lang,AllianceName_lang,Description_lang,Tooltip_lang,GarrTypeID,BuildingType,HordeGameObjectID,AllianceGameObjectID,GarrSiteID,UpgradeLevel,BuildSeconds,CurrencyTypeID,CurrencyQty,HordeUiTextureKitID,AllianceUiTextureKitID,IconFileDataID,AllianceSceneScriptPackageID,HordeSceneScriptPackageID,MaxAssignments,ShipmentCapacity,GarrAbilityID,BonusGarrAbilityID,GoldCost,Flags
8,战争工坊,矮人地堡,这座建筑可以存放并养护要塞的武器装备。,使你的任务奖励额外升级为稀有或史诗品质的几率翻倍，并提高奖励升级的几率。并使你可以从德拉诺的兽人氏族处收集护甲碎片，用于幻化护甲。,2,10,230406,224548,0,1,3600,824,150,15,14,975736,1194,1193,0,0,0,0,150,1
9,战争工坊,矮人地堡,这座建筑可以存放并养护要塞的武器装备。,下达订单，用要塞物资换取追随者的武器和护甲。同时解锁新的护甲幻化物品。,2,10,230407,224549,0,2,3600,824,900,18,16,975736,1196,1195,0,14,0,0,300,1
10,战争工坊,矮人地堡,这座建筑可以存放并养护要塞的武器装备。,每周免费获得三种既定命运印记中的一种（团队额外拾取机会）。,2,10,230409,224550,0,3,3600,824,1200,19,17,975736,1198,1197,0,21,0,0,500,1
24,畜棚,畜棚,畜棚可以捕捉动物，为要塞提供皮革、鲜肉和毛皮。,允许你捕捉裂蹄牛、雷象、狼和塔布羊，获取制皮和裁缝配方所需的皮革和毛皮。,2,3,230410,224795,0,1,3600,824,100,131,3,975737,1220,1219,0,7,0,0,150,1
25,畜棚,畜棚,畜棚可以捕捉动物，为要塞提供皮革、鲜肉和毛皮。,允许你捕捉野猪和淡水兽，获取制作强力食品的稀有肉类。,2,3,230411,224796,0,2,3600,824,300,132,57,975737,1222,1221,0,14,62,0,300,1
26,兵营,兵营,兵营可以容纳你的要塞部队和追随者。,解锁巡逻任务。巡逻任务的经验奖励比普通追随者任务的奖励更高。,2,8,230412,224797,0,1,3600,824,150,142,36,975738,1224,1223,0,1,0,0,10,1
27,兵营,兵营,兵营可以容纳你的要塞部队和追随者。,允许拥有看家护院专长的追随者在德拉诺充当你的护卫。,2,8,230413,224798,0,2,3600,824,900,143,37,975738,1226,1225,0,3,231,0,300,1
28,兵营,兵营,兵营可以容纳你的要塞部队和追随者。,使你的追随者人数上限提升5，并可使用其他种族的卫士和战旗。,2,8,230414,224799,0,3,3600,824,1200,144,38,975738,1228,1227,5,5,231,0,500,1
29,药圃,药圃,一块肥沃的药圃，可种植并收获德拉诺草药。,每天用德拉诺种子种植出药材，并使药圃中出现草药点。,2,2,230415,224800,0,1,3600,824,50,137,59,134221,1230,1229,0,7,0,0,0,0
34,霜壁旅社,坠月旅店,冒险！刺激！英雄和他的追随者不但需要这些，还需要一个能够安心休息的场所。,每天，你的旅店中将出现一位访客并为你提供一个回报丰厚的地下城任务，持续一天。,2,5,230416,224805,0,1,3600,824,100,7,6,134414,1234,1233,0,1,0,0,150,1
