Name_lang,EntryOffset[0],EntryOffset[1],EntryOffset[2],ID,Size,HouseExteriorWmoDataID,ParentComponentID,ModelFileDataID,Flags,Field_12_0_0_63534_007,Type,Field_12_0_0_63534_009,GameObjectID,Field_11_2_7_64044_011,ItemID
[DNT] rt_hook01,0,0,0,129,1,9,0,0,0,1,13,1,0,0,0
灰泥,0,0,0,141,2,9,0,6648736,3,1,9,1,0,0,0
石制,0,0,0,142,2,9,0,6648737,2,1,9,1,0,0,0
灰泥,0,0,0,144,3,9,0,6648733,3,1,9,1,0,0,0
村舍,0,0,0,145,3,9,0,6648734,2,1,9,1,0,0,0
灰泥,0,0,0,147,4,9,0,6648730,3,1,9,1,0,0,0
村舍,0,0,0,148,4,9,0,6648731,2,1,9,1,0,0,0
装饰屋顶,0,0,0,568,4,55,0,6892531,2,4,10,1,0,36,267925
林地屋顶,0,0,0,569,4,55,0,6892530,3,4,10,1,0,36,267919
石质,0,0,0,570,3,55,0,6892517,2,4,9,1,0,0,267867
装饰,0,0,0,571,3,55,0,6892516,2,4,9,1,0,0,267866
林地屋顶,0,0,0,572,3,55,0,6892524,3,4,10,1,0,36,267937
装饰屋顶,0,0,0,573,3,55,0,6892525,2,4,10,1,0,36,267943
林地,0,0,0,574,3,55,0,6892497,3,4,9,1,0,0,267865
质朴屋顶,0,0,0,575,3,55,0,6892526,2,4,10,1,0,36,267949
质朴屋顶,0,0,0,576,4,55,0,6892532,2,4,10,1,0,36,267931
石质,0,0,0,577,4,55,0,6892523,2,4,9,1,0,0,267864
林地,0,0,0,578,4,55,0,6892521,3,4,9,1,0,0,267862
质朴屋顶,0,0,0,579,2,55,0,6892529,2,4,10,1,0,36,267967
石质,0,0,0,580,2,55,0,6892520,2,4,9,1,0,0,267870
装饰,0,0,0,581,2,55,0,6892519,2,4,9,1,0,0,267869
林地屋顶,0,0,0,582,2,55,0,6892527,3,4,10,1,0,36,267955
林地,0,0,0,583,2,55,0,6892518,3,4,9,1,0,0,267868
装饰屋顶,0,0,0,584,2,55,0,6892528,2,4,10,1,0,36,267961
装饰,0,0,0,585,4,55,0,6892522,2,4,9,1,0,0,267863
装饰烟囱 - 紫罗兰,0,0,0,586,1,55,0,6892547,2,4,16,1,0,36,267889
高大遗迹烟囱 - 紫罗兰,0,0,0,587,1,55,0,6892545,2,4,16,1,0,36,267877
林地烟囱 - 紫罗兰,0,0,0,588,1,55,0,6892544,2,4,16,1,0,36,267871
林地窗户,0,0,0,589,1,55,0,6892536,2,4,12,1,0,0,268016
林地入口 - 紫罗兰,5.2331,0.0432,1.6591,590,1,55,0,6892533,3,4,11,1,613904,36,267901
林地塔楼 - 紫罗兰,0,0,0,591,1,55,0,6892550,2,4,15,1,0,36,267986
装饰塔楼 - 紫罗兰,0,0,0,592,1,55,0,6892551,2,4,15,1,0,36,267992
质朴塔楼 - 紫罗兰,0,0,0,593,1,55,0,6892553,2,4,15,1,0,36,268004
石质塔楼 - 紫罗兰,0,0,0,594,1,55,0,6892552,2,4,15,1,0,36,267998
装饰石质塔楼 - 紫罗兰,0,0,0,595,1,55,0,6892554,2,4,15,1,0,36,268010
质朴入口 - 紫罗兰,2.9381,0.0423,1.6541,596,1,55,0,6892535,2,4,11,1,613906,36,267913
装饰入口 - 紫罗兰,2.8441,0.0423,1.6625,597,1,55,0,6892534,2,4,11,1,613905,36,267907
质朴烟囱 - 紫罗兰,0,0,0,598,1,55,0,6892546,2,4,16,1,0,36,267883
遗迹烟囱 - 紫罗兰,0,0,0,599,1,55,0,6892548,2,4,16,1,0,36,267895
遗迹窗户,0,0,0,600,1,55,0,6892537,2,4,12,1,0,0,268017
遗迹天窗,0,0,0,601,1,55,0,6892542,2,4,14,1,0,0,267979
林地天窗 - 紫罗兰,0,0,0,602,1,55,0,6892541,2,4,14,1,0,36,267973
装饰天窗 - 紫罗兰,0,0,0,603,1,55,0,6892543,2,4,14,1,0,36,267980
拱形窗户,0,0,0,604,1,55,0,6892538,2,4,12,1,0,0,268018
格构窗户,0,0,0,605,1,55,0,6892539,2,4,12,1,0,0,268019
装饰窗户,0,0,0,606,1,55,0,6892540,2,4,12,1,0,0,268020
多层高塔 - 猩红,0,0,0,607,1,56,0,6892591,2,5,15,1,0,37,267693
优雅高塔 - 猩红,0,0,0,608,1,56,0,6892589,2,5,15,1,0,37,267694
奢华烟囱,0,0,0,609,1,56,0,6892587,2,5,16,1,0,37,267695
钟形烟囱,0,0,0,610,1,56,0,6892586,2,5,16,1,0,37,267696
坚固飞翼烟囱,0,0,0,611,1,56,0,6892588,2,5,16,1,0,37,267697
皇家烟囱,0,0,0,612,1,56,0,6892584,2,5,16,1,0,37,267698
飞翼烟囱,0,0,0,613,1,56,0,6892585,2,5,16,1,0,37,267699
圆顶天窗 - 猩红,0,0,0,614,1,56,0,6892581,2,5,14,1,0,37,267700
皇家天窗 - 猩红,0,0,0,615,1,56,0,6892583,2,5,14,1,0,37,267701
皇家窗户 - 猩红,0,0,0,616,1,56,0,6892579,2,5,12,1,0,37,267702
圆顶窗户 - 猩红,0,0,0,617,1,56,0,6892580,2,5,12,1,0,37,267703
简易入口,16.8511,0,1.427,618,1,56,0,6892573,3,5,11,1,613907,37,267704
宏伟入口 - 猩红,16.7481,0.0001,1.427,619,1,56,0,6892575,2,5,11,1,613909,37,267705
优雅入口 - 猩红,16.8511,0,1.427,620,1,56,0,6892574,2,5,11,1,613908,37,267706
圆顶屋顶,0,0,0,621,2,56,0,6892567,3,5,10,1,0,0,267707
雕饰,0,0,0,622,2,56,0,6892558,3,5,9,1,0,0,267708
多面屋顶,0,0,0,623,4,56,0,6892571,2,5,10,1,0,0,267709
工匠,0,0,0,624,4,56,0,6892563,2,5,9,1,0,0,267710
拱门,0,0,0,625,4,56,0,6892562,2,5,9,1,0,0,267711
多层屋顶,0,0,0,626,4,56,0,6892572,2,5,10,1,0,0,267712
多层屋顶,0,0,0,627,3,56,0,6892566,2,5,10,1,0,0,267713
圆顶屋顶,0,0,0,628,3,56,0,6892564,3,5,10,1,0,0,267714
多面屋顶,0,0,0,629,2,56,0,6892568,2,5,10,1,0,0,267715
工匠,0,0,0,630,3,56,0,6892557,2,5,9,1,0,0,267716
拱门,0,0,0,631,2,56,0,6892559,2,5,9,1,0,0,267717
雕饰,0,0,0,632,3,56,0,6892555,3,5,9,1,0,0,267718
雕饰,0,0,0,633,4,56,0,6892561,3,5,9,1,0,0,267719
圆顶屋顶,0,0,0,634,4,56,0,6892570,3,5,10,1,0,0,267720
拱门,0,0,0,635,3,56,0,6892556,2,5,9,1,0,0,267721
多面屋顶,0,0,0,636,3,56,0,6892565,2,5,10,1,0,0,267722
工匠,0,0,0,637,2,56,0,6892560,2,5,9,1,0,0,267723
掐丝窗户,0,0,0,638,1,56,0,6892576,2,5,12,1,0,0,267724
花槽窗户,0,0,0,639,1,56,0,6892577,2,5,12,1,0,0,267725
飞翼窗户,0,0,0,640,1,56,0,6892578,2,5,12,1,0,0,267726
优雅天窗 - 猩红,0,0,0,641,1,56,0,6892582,2,5,14,1,0,37,267727
简易高塔 - 猩红,0,0,0,642,1,56,0,6892498,2,5,15,1,0,37,267728
多面高塔 - 猩红,0,0,0,643,1,56,0,6892592,2,5,15,1,0,37,267729
坚固高塔 - 猩红,0,0,0,644,1,56,0,6892590,2,5,15,1,0,37,267730
多层屋顶,0,0,0,645,2,56,0,6892569,2,5,10,1,0,0,267731
遮蔽式入口 - 猩红,-3.7703,0.1048,1.383,975,1,87,0,7118913,2,2,11,1,602706,37,0
吊桥入口 - 猩红,-4.4534,0.3277,2.4228,976,1,87,0,7118912,3,2,11,1,602705,37,0
废金属入口 - 猩红,-2.9469,0.4999,2.1383,977,1,87,0,7118914,2,2,11,1,602707,37,0
拱形窗户,0,0,0,978,1,87,0,7118916,2,2,12,1,0,0,0
圆形窗户,0,0,0,979,1,87,0,7118917,2,2,12,1,0,0,0
遮蔽式窗户,0,0,0,980,1,87,0,7118918,2,2,12,1,0,0,0
百叶窗户,0,0,0,981,1,87,0,7118919,2,2,12,1,0,0,0
斜角窗户,0,0,0,982,1,87,0,7118915,3,2,12,1,0,0,0
圆形窗户,0,0,0,984,1,87,0,7118922,2,2,14,1,0,0,0
辐条烟囱,0,0,0,986,1,87,0,7338373,2,2,16,1,0,0,0
熔炉烟囱,0,0,0,987,1,87,0,7118925,2,2,16,1,0,0,0
简易烟囱,0,0,0,988,1,87,0,7118924,2,2,16,1,0,0,0
石质烟囱 - 猩红,0,0,0,989,1,87,0,7118923,3,2,16,1,0,0,0
通风烟囱,0,0,0,990,1,87,0,7338375,2,2,16,1,0,0,0
光滑石材,0,0,0,999,4,87,0,6648679,2,2,9,1,0,0,0
回收木材,0,0,0,1000,4,87,0,6648678,3,2,9,1,0,0,0
光滑石材,0,0,0,1003,2,87,0,6648685,2,2,9,1,0,0,0
回收木材,0,0,0,1004,2,87,0,6648684,3,2,9,1,0,0,0
回收木材,0,0,0,1006,3,87,0,6648681,3,2,9,1,0,0,0
风化石材,0,0,0,1009,4,87,0,7118902,2,2,9,1,0,0,0
风化石材,0,0,0,1011,2,87,0,7118901,2,2,9,1,0,0,0
风化石材,0,0,0,1012,3,87,0,7118900,2,2,9,1,0,0,0
光滑石材,0,0,0,1207,3,87,0,6648682,2,2,9,0,0,0,0
方形窗户,0,0,0,1379,1,9,0,7118946,2,1,12,0,0,0,0
简易入口 - 海洋蓝,-3.0023,0.0171,2.0121,1380,1,9,0,7450804,3,1,11,0,586576,8,0
简易入口 - 芥末黄,-3.0023,0.0171,2.0121,1381,1,9,1380,7450818,2,1,11,0,586576,44,0
简易入口 - 紫罗兰,-3.0023,0.0171,2.0121,1382,1,9,1380,7450815,2,1,11,0,586576,36,0
简易入口 - 猩红,-3.0023,0.0171,2.0121,1383,1,9,1380,7450812,2,1,11,0,586576,37,0
简易入口 - 豆蔻棕,-3.0023,0.0171,2.0121,1384,1,9,1380,7450809,2,1,11,0,586576,9,0
简易入口 - 森林绿,-3.0023,0.0171,2.0121,1385,1,9,1380,7450805,2,1,11,0,586576,21,0
威严塔楼 - 海洋蓝,0,0,0,1386,1,9,0,7450803,2,1,15,0,0,8,0
威严塔楼 - 芥末黄,0,0,0,1387,1,9,1386,7450862,2,1,15,0,0,44,0
威严塔楼 - 紫罗兰,0,0,0,1388,1,9,1386,7450857,2,1,15,0,0,36,0
威严塔楼 - 猩红,0,0,0,1389,1,9,1386,7450852,2,1,15,0,0,37,0
威严塔楼 - 豆蔻棕,0,0,0,1390,1,9,1386,7450847,2,1,15,0,0,9,0
威严塔楼 - 森林绿,0,0,0,1391,1,9,1386,7450842,2,1,15,0,0,21,0
方形塔楼 - 海洋蓝,0,0,0,1392,1,9,0,7450802,2,1,15,0,0,8,0
方形塔楼 - 芥末黄,0,0,0,1393,1,9,1392,7450860,2,1,15,0,0,44,0
方形塔楼 - 紫罗兰,0,0,0,1394,1,9,1392,7450855,2,1,15,0,0,36,0
方形塔楼 - 猩红,0,0,0,1395,1,9,1392,7450850,2,1,15,0,0,37,0
方形塔楼 - 豆蔻棕,0,0,0,1396,1,9,1392,7450845,2,1,15,0,0,9,0
方形塔楼 - 森林绿,0,0,0,1397,1,9,1392,7450840,2,1,15,0,0,21,0
瞭望塔楼 - 海洋蓝,0,0,0,1398,1,9,0,7450801,2,1,15,0,0,8,0
瞭望塔楼 - 芥末黄,0,0,0,1399,1,9,1398,7450861,2,1,15,0,0,44,0
瞭望塔楼 - 紫罗兰,0,0,0,1400,1,9,1398,7450856,2,1,15,0,0,36,0
瞭望塔楼 - 猩红,0,0,0,1401,1,9,1398,7450851,2,1,15,0,0,37,0
瞭望塔楼 - 豆蔻棕,0,0,0,1402,1,9,1398,7450846,2,1,15,0,0,9,0
瞭望塔楼 - 森林绿,0,0,0,1403,1,9,1398,7450841,2,1,15,0,0,21,0
大型塔楼 - 海洋蓝,0,0,0,1404,1,9,0,7450800,3,1,15,0,0,8,0
大型塔楼 - 芥末黄,0,0,0,1405,1,9,1404,7450858,2,1,15,0,0,44,0
大型塔楼 - 紫罗兰,0,0,0,1406,1,9,1404,7450853,2,1,15,0,0,36,0
大型塔楼 - 猩红,0,0,0,1407,1,9,1404,7450848,2,1,15,0,0,37,0
大型塔楼 - 豆蔻棕,0,0,0,1408,1,9,1404,7450843,2,1,15,0,0,9,0
大型塔楼 - 森林绿,0,0,0,1409,1,9,1404,7450838,2,1,15,0,0,21,0
方形天窗 - 海洋蓝,0,0,0,1410,1,9,0,7450799,2,1,14,0,0,8,0
方形天窗 - 芥末黄,0,0,0,1411,1,9,1410,7450837,2,1,14,0,0,44,0
方形天窗 - 紫罗兰,0,0,0,1412,1,9,1410,7450833,2,1,14,0,0,36,0
方形天窗 - 猩红,0,0,0,1413,1,9,1410,7450829,2,1,14,0,0,37,0
方形天窗 - 豆蔻棕,0,0,0,1414,1,9,1410,7450826,2,1,14,0,0,9,0
方形天窗 - 森林绿,0,0,0,1415,1,9,1410,7450823,2,1,14,0,0,21,0
简易烟囱,0,0,0,1416,1,9,0,7118950,3,1,16,0,0,0,0
百叶窗户,0,0,0,1417,1,9,0,7448532,2,1,12,0,0,0,0
简易窗户,0,0,0,1418,1,9,0,7118944,3,1,12,0,0,0,0
方形入口 - 海洋蓝,-3.0145,0.0317,1.9748,1419,1,9,0,7450798,2,1,11,0,602702,8,0
方形入口 - 芥末黄,-3.0145,0.0317,1.9748,1420,1,9,1419,7450819,2,1,11,0,602702,44,0
方形入口 - 紫罗兰,-3.0145,0.0317,1.9748,1421,1,9,1419,7450816,2,1,11,0,602702,36,0
方形入口 - 猩红,-3.0145,0.0317,1.9748,1422,1,9,1419,7450813,2,1,11,0,602702,37,0
方形入口 - 豆蔻棕,-3.0145,0.0317,1.9748,1423,1,9,1419,7450810,2,1,11,0,602702,9,0
方形入口 - 森林绿,-3.0145,0.0317,1.9748,1424,1,9,1419,7450806,2,1,11,0,602702,21,0
斜面入口 - 海洋蓝,-3.0059,0.0387,2.0029,1425,1,9,0,7450797,2,1,11,0,602700,8,0
斜面天窗 - 芥末黄,-3.0059,0.0387,2.0029,1426,1,9,1425,7450836,2,1,14,0,0,44,0
斜面天窗 - 紫罗兰,-3.0059,0.0387,2.0029,1427,1,9,1425,7450832,2,1,14,0,0,36,0
斜面天窗 - 猩红,-3.0059,0.0387,2.0029,1428,1,9,1425,7450828,2,1,14,0,0,37,0
斜面天窗 - 豆蔻棕,-3.0059,0.0387,2.0029,1429,1,9,1425,7450825,2,1,14,0,0,9,0
斜面天窗 - 森林绿,-3.0059,0.0387,2.0029,1430,1,9,1425,7450822,2,1,14,0,0,21,0
斜面入口 - 芥末黄,-3.0059,0.0387,2.0029,1431,1,9,1425,7450820,2,1,11,0,602700,44,0
斜面入口 - 紫罗兰,-3.0059,0.0387,2.0029,1432,1,9,1425,7450817,2,1,11,0,602700,36,0
斜面入口 - 猩红,-3.0059,0.0387,2.0029,1433,1,9,1425,7450814,2,1,11,0,602700,37,0
斜面入口 - 豆蔻棕,-3.0059,0.0387,2.0029,1434,1,9,1425,7450811,2,1,11,0,602700,9,0
斜面入口 - 森林绿,-3.0059,0.0387,2.0029,1435,1,9,1425,7450808,2,1,11,0,602700,21,0
宽型窗户,0,0,0,1436,1,9,0,7448531,2,1,12,0,0,0,0
圆形窗户,0,0,0,1437,1,9,0,7118945,2,1,12,0,0,0,0
法师塔楼 - 海洋蓝,0,0,0,1438,1,9,0,7450796,2,1,15,0,0,8,0
法师塔楼 - 芥末黄,0,0,0,1439,1,9,1438,7450859,2,1,15,0,0,44,0
法师塔楼 - 紫罗兰,0,0,0,1440,1,9,1438,7450854,2,1,15,0,0,36,0
法师塔楼 - 猩红,0,0,0,1441,1,9,1438,7450849,2,1,15,0,0,37,0
法师塔楼 - 豆蔻棕,0,0,0,1442,1,9,1438,7450844,2,1,15,0,0,9,0
法师塔楼 - 森林绿,0,0,0,1443,1,9,1438,7450839,2,1,15,0,0,21,0
高耸砖制烟囱,0,0,0,1444,1,9,0,7118954,2,1,16,0,0,0,0
遮蔽式烟囱,0,0,0,1445,1,9,0,7118953,2,1,16,0,0,0,0
简易天窗 - 海洋蓝,0,0,0,1446,1,9,0,7450795,3,1,14,0,0,8,0
简易天窗 - 芥末黄,0,0,0,1447,1,9,1446,7450835,2,1,14,0,0,44,0
简易天窗 - 紫罗兰,0,0,0,1448,1,9,1446,7450830,2,1,14,0,0,36,0
简易天窗 - 猩红,0,0,0,1449,1,9,1446,7450827,2,1,14,0,0,37,0
简易天窗 - 豆蔻棕,0,0,0,1450,1,9,1446,7450824,2,1,14,0,0,9,0
简易天窗 - 森林绿,0,0,0,1451,1,9,1446,7450821,2,1,14,0,0,21,0
加固烟囱,0,0,0,1452,1,9,0,7118952,2,1,16,0,0,0,0
宽型砖制烟囱,0,0,0,1453,1,9,0,7118951,2,1,16,0,0,0,0
斜面天窗 - 海洋蓝,0,0,0,1454,1,9,0,7450794,2,1,14,0,0,8,0
方形屋顶,0,0,0,1455,4,9,0,7420575,2,1,10,0,0,8,0
