ID,CategoryName_lang,CustomizeIcon,CustomizeIconSelected,OrderIndex,CameraZoomLevel,Flags,SpellShapeshiftFormID,CameraDistanceOffset
1,躯干,11987,11986,4,20,3,0,0
2,面部,11991,11990,1,100,2,0,0
3,配饰,11985,11984,3,100,2,0,0
4,头发,11989,11988,2,100,2,0,0
5,纹记,11987,11986,5,65,3,0,0
6,熊形态,15730,15730,6,0,1,5,1
7,猎豹形态,15731,15731,7,0,1,1,0
9,水栖形态,15729,15729,10,0,1,4,1
10,旅行形态,15734,15734,11,0,1,3,1
11,飞行形态,15732,15732,9,0,1,27,0
12,枭兽形态,15733,15733,8,0,1,31,0
13,面部（亡灵）,11991,11990,1,80,3,0,0
14,面部（熊猫人）,11991,11990,1,80,3,0,0
15,面部（玛格汉兽人）,11991,11990,1,85,3,0,0
16,面部（矮人）,11991,11990,1,88,2,0,0
17,配饰（矮人）,11985,11984,3,88,2,0,0
18,面部（牛头人）,11991,11990,1,100,3,0,0
19,配饰（牛头人）,11985,11984,3,100,3,0,0
20,Face (Worgen),11991,11990,1,100,3,0,0
21,小鬼,24571,24571,40,50,1,0,1
22,身体（龙希尔）,11987,11986,1,20,2,0,0
23,镜子,18308,18307,2,100,2,0,0
24,护甲1（龙希尔）,11993,11992,5,20,2,0,0
26,Armor 2 (Dracthyr),11993,11992,6,20,2,0,0
27,身体 (驭龙术),20126,20127,1,20,3,0,0
28,身体 2 (驭龙术),20128,20129,2,20,3,0,0
29,头部 (驭龙术),20130,20131,3,100,2,0,0
30,头部 2 (驭龙术),18308,18307,4,100,2,0,0
31,配饰（龙希尔）,20130,20131,2,100,2,0,0
32,脸部（龙希尔）,11991,11990,3,100,2,0,0
33,镜子（龙希尔）,18308,18307,4,100,2,0,0
34,配饰（玛格汉兽人）,11985,11984,2,85,3,0,0
37,地狱猎犬,24570,24570,43,50,1,0,1
39,虚空行者,24575,24575,41,40,1,0,1
42,恶魔卫士,24569,24569,44,30,1,0,1.4
43,末日守卫,24684,24684,46,30,1,0,-1.2
44,萨亚德,24574,24574,42,40,1,0,1
45,地狱火,24685,24685,45,30,1,0,1.5
46,身体（枭兽）,11987,11986,1,40,3,0,0
47,黑眼,26042,26042,47,30,1,0,1
48,暴君,26043,26043,48,70,1,0,1
50,宝石,11987,11986,4,30,3,0,0
52,复苏始祖幼龙,19958,19958,102,50,1,0,1
53,载风迅疾幼龙,19959,19959,103,50,1,0,1
54,崖际荒狂幼龙,19960,19960,104,50,1,0,1
55,盘曲蜿变幼龙,23901,23901,105,50,1,0,1
56,岩洞灵翼幼龙,25100,25100,106,50,1,0,1
57,阿加驭雷者,25101,25101,107,50,1,0,1
58,繁盛奇想幼龙,25531,25531,108,50,1,0,1
59,地下堡行者的飞船,27697,27697,109,50,1,0,1
60,地下堡行者的地精疾行器,28583,28583,110,50,1,0,1
61,高地幼龙,19957,19957,101,50,1,0,1
