ID,Name_lang,MapID,QuestPOIBlobID,AreaPOIIconEnum
9,铁环挖掘场,0,54097,177
10,铁须之墓,0,54124,177
12,维尔加挖掘场,0,54126,177
13,绿色守卫者化石堆,0,54127,177
15,索拉丁之墙,0,54129,177
18,枯木挖掘场,0,54132,177
19,萨多尔大桥,0,54133,177
20,丹加洛克挖掘场,0,54134,177
21,南海镇化石场,0,54135,177
22,鹰巢山挖掘场,0,54136,177
23,沙德拉洛挖掘场,0,54137,177
24,祖尔祭坛挖掘场,0,54138,177
25,辛萨罗下层挖掘场,0,54139,177
26,辛萨罗上层挖掘场,0,54140,177
27,亚戈瓦萨挖掘场,0,54141,177
140,TEMPLATE TROLL,0,54828,177
142,TEMPLATE DWARF,0,54830,177
144,铁趾挖掘场,0,54832,177
146,观察者的陵墓挖掘场,0,54834,177
150,奥达曼入口挖掘场,0,54838,177
152,沉没的神庙挖掘场,0,54862,177
154,芦苇化石堆,0,54864,177
161,TEMPLATE NIGHT ELF,0,55348,177
163,黎明森林挖掘场,0,55350,177
165,沃古尔化石堆,0,55352,177
167,纳兹维尔挖掘场,1,55354,177
169,佐拉姆海岸挖掘场,1,55356,177
171,奥迪拉兰废墟,1,55398,177
173,星尘废墟,1,55400,177
175,林歌神殿挖掘场,1,55402,177
177,石爪峰,1,55404,177
179,埃德雷萨废墟,1,55406,177
181,不毛之地,1,55408,177
183,巴尔莫丹挖掘场,1,55410,177
185,埃达拉斯废墟,1,55412,177
187,亚考兰神殿废墟,1,55414,177
189,湖边大道化石堆,0,55416,177
191,滑刃海岸挖掘场,1,55418,177
193,艾瑟雷索挖掘场,1,55420,177
195,白骨之谷,1,55422,177
197,玛诺洛克集会所挖掘场,1,55424,177
199,科多兽坟场,1,55426,177
201,萨格隆挖掘场,1,55428,177
203,赤色海岸化石堆,0,55434,177
205,巨槌化石场,0,55436,177
207,煤渣挖掘场,0,55438,177
209,漫火平原挖掘场,0,55440,177
211,西索瑞森废墟,0,55442,177
213,东索瑞森废墟,0,55444,177
215,龙翼小径化石场,0,55446,177
217,祖玛沙尔挖掘场,0,55448,177
219,奎尔林斯小屋挖掘场,0,55450,177
221,魔刃之痕化石场,0,55452,177
223,东祖昆达挖掘场,0,55454,177
225,西祖昆达挖掘场,0,55456,177
227,巴拉尔废墟挖掘场,0,55458,177
229,巴里亚曼挖掘场,0,55460,177
231,赞塔加挖掘场,0,55462,177
233,东祖玛维挖掘场,0,55464,177
235,西祖玛维挖掘场,0,55466,177
237,野人海岸迅猛龙遗址,0,55468,177
239,阿博拉兹废墟,0,55470,177
241,朱布瓦尔废墟,0,55472,177
243,古拉巴什挖掘场,0,55474,177
245,纳克迈尼圣泉挖掘场,0,55476,177
247,费尔斯通化石场,0,55478,177
249,北山化石场,0,55480,177
251,安多哈尔化石堆,0,55482,177
259,巨龙沼泽化石场,1,55755,177
261,泥潭沼泽化石场,1,55757,177
279,厄运之槌挖掘场,1,56327,177
281,平民区废墟挖掘场,1,56329,177
283,鸦风挖掘场,1,56331,177
285,奥奈罗斯挖掘场,1,56333,177
287,索兰萨尔挖掘场,1,56335,177
289,黑雾挖掘场,1,56337,177
291,南伊斯迪尔挖掘场,1,56339,177
293,北伊斯迪尔挖掘场,1,56341,177
295,克斯特拉斯挖掘场,1,56343,177
297,摩罗萨兰挖掘场,1,56345,177
299,加德纳尔挖掘场,1,56347,177
301,铁木挖掘场,1,56349,177
303,凯斯利尔湖挖掘场,1,56351,177
305,枭翼树丛挖掘场,1,56354,177
307,霜语峡谷挖掘场,1,56356,177
309,鲜血旷野化石堆,1,56358,177
313,噩梦之痕挖掘场,1,56362,177
315,祖尔法拉克挖掘场,1,56364,177
317,破碎石柱挖掘场,1,56367,177
319,东月废墟挖掘场,1,56369,177
321,南月废墟挖掘场,1,56371,177
323,砂槌化石岭,1,56373,177
325,深沙化石岭,1,56375,177
327,下层拉卡利油沼,1,56380,177
329,上层拉卡利油沼,1,56382,177
331,恐惧小道化石场,1,56384,177
333,尖啸河滩化石场,1,56386,177
335,沼泽地化石堆,1,56388,177
337,南风村挖掘场,1,56390,177
339,高加兹前哨挖掘场,530,56392,177
341,塞斯高挖掘场,530,56394,177
343,地狱火盆地挖掘场,530,56396,177
345,地狱火堡垒挖掘场,530,56398,177
347,沙纳尔挖掘场,530,56400,177
349,博哈姆废墟挖掘场,530,56402,177
351,双塔废墟挖掘场,530,56404,177
353,恩卡特废墟挖掘场,530,56406,177
355,阿尔科隆废墟挖掘场,530,56408,177
357,法兰伦废墟挖掘场,530,56410,177
359,先祖之地挖掘场,530,56412,177
363,日泉岗哨挖掘场,530,56416,177
365,嘲颅挖掘场,530,56418,177
367,火刃挖掘场,530,56420,177
369,哈兰挖掘场,530,56422,177
371,格兰戈瓦村挖掘场,530,56424,177
373,图雷姆挖掘场,530,56426,177
375,血环废墟挖掘场,530,56428,177
377,噬骨废墟挖掘场,530,56430,177
379,白骨荒野挖掘场,530,56432,177
381,东奥金顿挖掘场,530,56434,177
383,西奥金顿挖掘场,530,56437,177
385,伊利达雷岗哨挖掘场,530,56439,177
387,库斯卡岗哨挖掘场,530,56441,177
391,巴尔里废墟挖掘场,530,56446,177
393,日蚀岗哨挖掘场,530,56448,177
395,守望者牢笼挖掘场,530,56450,177
399,龙喉要塞,530,56455,177
401,斯克恩挖掘场,571,56504,177
403,哈尔格林德挖掘场,571,56506,177
405,龙颅挖掘场,571,56508,177
407,盾牌岭挖掘场,571,56510,177
409,拜尔海姆挖掘场,571,56512,177
411,尼弗莱瓦挖掘场,571,56514,177
413,亚勒伯龙挖掘场,571,56516,177
415,纳尔苏深渊挖掘场,571,56518,177
417,眠月花园挖掘场,571,56520,177
419,恩其拉挖掘场,571,56522,177
421,科尔拉玛斯挖掘场,571,56524,177
423,裂鞭废墟挖掘场,571,56526,177
425,紫罗兰哨站挖掘场,571,56528,177
427,杉达拉废墟挖掘场,571,56530,177
429,西莱图斯祭坛挖掘场,571,56533,177
431,希姆鲁克挖掘场,571,56535,177
433,佐尔赫布挖掘场,571,56537,177
435,奎丝鲁恩祭坛挖掘场,571,56539,177
437,塔尔拉玛斯挖掘场,571,56541,177
439,沃德伦挖掘场,571,56543,177
443,达基尔金废墟挖掘场,571,56547,177
445,布伦希尔达村挖掘场,571,56549,177
447,希弗列尔达村挖掘场,571,56551,177
449,瓦基里安挖掘场,571,56553,177
451,天灾城挖掘场,571,56555,177
455,伊米海姆挖掘场,571,56560,177
457,尤顿海姆挖掘场,571,56562,177
459,约尔达村挖掘场,571,56564,177
461,拉多尼尔遗迹挖掘场,1,56566,177
463,戈德林圣殿挖掘场,1,56568,177
465,艾森娜林地挖掘场,1,56570,177
467,玛洛恩庇护所挖掘场,1,56572,177
469,焦痕平原挖掘场,1,56574,177
471,奎尔多米尔花园挖掘场,0,56576,177
473,纳舒拉（中层）挖掘场,0,56578,177
475,贝耶拉兰山挖掘场,0,56580,177
477,顿沃德废墟挖掘场,0,56583,177
479,桑德玛尔废墟挖掘场,0,56585,177
481,洪堡焚烧峡谷挖掘场,0,56587,177
485,卡塔图陵墓挖掘场,1,56591,177
487,先贤陵墓挖掘场,1,56593,177
489,天命阶梯挖掘场,1,56595,177
491,尼斐塞特挖掘场,1,56597,177
493,奥西斯挖掘场,1,56599,177
495,阿蒙遗迹挖掘场,1,56601,177
497,辛塔希特遗迹挖掘场,1,56603,177
499,奥丹姆神殿挖掘场,1,56605,177
501,阿胡图尔遗迹挖掘场,1,56607,177
570,三角洲挖掘场,1,60350,177
572,被诅咒的登陆点挖掘场,1,60352,177
574,柯塞特小径挖掘场,1,60354,177
576,埃卡赫莱平原挖掘场,1,60356,177
578,群星方尖碑挖掘场,1,60358,177
581,沙赫柯特荒原挖掘场,1,60361,177
583,司克诺兹登陆点挖掘场,1,60363,177
587,邪魔之坑挖掘场,571,60367,177
589,纳萨姆沙地挖掘场,571,60369,177
615,恶蛛隧道挖掘场,0,60442,177
