Name_lang,ID,Flags,RoomComponentType,TextureFileDataID,Field_11_2_7_64438_005,HouseThemeID
石板,3,1,2,7535056,2,1
民间硬木,4,1,2,7535057,4,1
民间木梁,5,1,3,5658170,0,1
民间灰泥,22,1,1,5658169,0,1
粗犷岩石,24,1,1,6856592,0,2
银月城凿刻大理石,33,1,1,6986816,0,5
粗犷木材,40,1,2,7535058,4,2
银月城镶嵌,49,1,2,7494198,2,5
粗犷木材,54,1,3,6856593,0,2
银月城血色大理石,60,1,3,6986850,0,5
贝拉梅斯木板,61,1,3,7196783,0,4
贝拉梅斯软木,63,1,1,7114465,0,4
贝拉梅斯硬木,65,1,2,7491486,4,4
村舍,162,1,1,7535055,0,1
民间木梁,235,0,3,5658170,0,0
贝拉梅斯木梁,236,0,3,7196783,0,0
贝拉梅斯木梁,237,1,3,7114460,0,0
缝合兽皮,238,1,3,7570326,0,0
贝拉梅斯心木,250,1,3,7654234,0,4
