Description_lang,Title_lang,Reward_lang,ID,Instance_ID,Faction,Supercedes,Category,Minimum_criteria,Points,Flags,Ui_order,IconFileID,RewardItemID,Criteria_tree,Shares_criteria,CovenantID
升到10级。,10级,,6,-1,-1,0,92,0,10,2097156,1,236562,0,2050,0,0
升到20级。,20级,,7,-1,-1,6,92,0,10,2097156,2,236563,0,2683,0,0
升到30级。,30级,,8,-1,-1,7,92,0,10,2097156,3,236564,0,1289,0,0
升到40级。,40级,,9,-1,-1,8,92,0,10,2097156,4,236565,0,942,0,0
在“暗影国度”内容更新之前升到50级。,50级（旧版）,,10,-1,-1,0,15446,0,0,2103300,1,236566,0,0,0,0
在“暗影国度”内容更新之前升到60级。,60级（旧版）,,11,-1,-1,10,15446,0,0,2103300,2,236567,0,0,0,0
在“暗影国度”内容更新之前升到70级。,70级（旧版）,,12,-1,-1,11,15446,0,0,2103300,3,236568,0,0,0,0
在“暗影国度”内容更新之前升到80级。,80级（旧版）,,13,-1,-1,12,15446,0,0,2103300,4,236569,0,0,0,0
收集15种独特的宠物。,宠物成群,,15,-1,-1,1017,15118,0,10,131072,5,132599,0,22152,0,0
徒手技能达到400。,有人想吃一拳吗？,,16,-1,-1,0,15446,0,0,2048,28,132356,0,6318,0,0
连续5天，每天完成一个日常任务。,简单日常任务,,31,-1,-1,0,96,0,10,0,25,236680,0,2807,0,0
完成2000个任务。,完成2000个任务,,32,-1,-1,508,96,0,10,0,8,236670,0,2810,0,0
完成下列北风苔原故事线。,这个苔原不太远,,33,-1,1,0,14863,0,10,0,1,236728,0,1741,0,0
完成下列嚎风峡湾故事线。,峡湾巡游,,34,-1,1,0,14863,0,10,0,3,236787,0,5287,0,0
完成下列龙骨荒野故事线。,龙骨荒野之力,,35,-1,1,0,14863,0,10,0,5,236749,0,1745,0,0
完成下列祖达克故事线。,祖达克帝国,,36,-1,-1,0,14863,0,10,0,9,236862,0,1881,0,0
完成下列灰熊丘陵故事线。,欢迎来到灰熊丘陵,,37,-1,1,0,14863,0,10,0,7,236772,0,5284,0,0
完成下列风暴峭壁故事线。,风暴峭壁之巅,,38,-1,-1,0,14863,0,10,0,11,236838,0,1884,0,0
完成下列索拉查盆地故事线。,进入盆地,,39,-1,-1,0,14863,0,10,0,10,236823,0,1887,0,0
完成下列冰冠冰川故事线。,冰冠冰川：终极目标,,40,-1,-1,0,14863,0,10,0,12,236799,0,3375,0,0
完成下列诺森德任务成就。,诺森德的博学者,,41,-1,-1,0,14863,0,10,131072,21,236812,0,5756,0,0
探索东部王国的各个区域。,东部王国探索者,,42,-1,-1,0,97,0,25,131072,1,236759,0,2402,0,0
探索卡利姆多的各个区域。,卡利姆多探索者,,43,-1,-1,0,97,0,25,131072,2,236807,0,3317,0,0
探索外域的各个区域。,外域探索者,,44,-1,-1,0,97,0,25,131072,3,236813,0,3340,0,0
探索诺森德的各个区域。,诺森德探索者,奖励：探索者战袍,45,-1,-1,0,97,0,25,131072,4,236812,0,12064,0,0
探索东部王国、卡利姆多、外域、诺森德、大灾变后出现的地区、潘达利亚、德拉诺、破碎群岛、库尔提拉斯以及赞达拉。,宇宙探索者,头衔奖励：探索者,46,-1,-1,0,97,0,50,131072,10,237381,0,3257,0,0
奥特兰克山谷胜利,奥特兰克山谷胜利,,49,30,-1,0,153,0,0,1,4,136243,0,15889,0,0
风暴之眼胜利,风暴之眼胜利,,50,566,-1,0,153,0,0,1,11,136243,0,9109,0,0
阿拉希盆地胜利,阿拉希盆地胜利,,51,529,-1,0,153,0,0,1,6,136243,0,5504,0,0
战歌峡谷的战斗,战歌峡谷的战斗,,52,489,-1,0,153,0,0,1,18,136243,0,5507,0,0
奥特兰克山谷的战斗,奥特兰克山谷的战斗,,53,30,-1,0,153,0,0,1,3,136243,0,5510,0,0
风暴之眼的战斗,风暴之眼的战斗,,54,566,-1,0,153,0,0,1,9,136243,0,1272,0,0
阿拉希盆地的战斗,阿拉希盆地的战斗,,55,529,-1,0,153,0,0,1,5,136243,0,3391,0,0
死亡的总次数,死亡的总次数,,60,-1,-1,0,122,0,0,1,1,136243,0,1189,0,0
在一场阿拉希盆地的战斗中突袭3座基地。,横扫盆地,,73,-1,-1,0,14802,0,10,0,5,132333,0,7709,0,0
放弃任务,放弃任务,,94,-1,-1,0,133,0,0,1,5,136243,0,805,0,0
平均每日完成的任务数量,平均每日完成的任务数量,,95,-1,-1,0,133,0,0,65,2,136243,0,5199,98,0
完成日常任务,完成日常任务,,97,-1,-1,0,133,0,0,1,3,136243,0,5766,0,0
完成任务,完成任务,,98,-1,-1,0,133,0,0,1,1,136243,0,758,0,0
洛丹伦废墟的比赛,洛丹伦废墟的比赛,,99,-1,-1,0,152,0,0,1,33,136243,0,15898,0,0
纳格兰竞技场获胜,纳格兰竞技场获胜,,100,-1,-1,0,152,0,0,1,28,136243,0,836,0,0
纳格兰竞技场参赛,纳格兰竞技场参赛,,101,-1,-1,0,152,0,0,1,27,136243,0,945,0,0
洛丹伦废墟胜利,洛丹伦废墟胜利,,102,-1,-1,0,152,0,0,1,34,136243,0,8210,0,0
刀锋山竞技场参赛,刀锋山竞技场参赛,,103,-1,-1,0,152,0,0,1,13,136243,0,808,0,0
刀锋山竞技场获胜,刀锋山竞技场获胜,,104,-1,-1,0,152,0,0,1,14,136243,0,15892,0,0
战歌峡谷胜利,战歌峡谷胜利,,105,-1,-1,0,153,0,0,1,19,136243,0,3068,0,0
消灭怪物,消灭怪物,,107,-1,-1,0,135,0,0,1,1,136243,0,762,0,0
消灭小动物,消灭小动物,,108,-1,-1,0,135,0,0,1,4,136243,0,774,0,0
巫妖王 - 最常消灭的5人地下城首领,巫妖王 - 最常消灭的5人地下城首领,,110,-1,-1,0,14807,0,0,1,8,136243,0,2277,1467,0
淹死,淹死,,112,-1,-1,0,122,0,0,1,2,136243,0,9921,0,0
力竭而死,力竭而死,,113,-1,-1,0,122,0,0,1,3,136243,0,777,0,0
摔死,摔死,,114,-1,-1,0,122,0,0,1,4,136243,0,2429,0,0
死于火焰和熔岩,死于火焰和熔岩,,115,-1,-1,0,122,0,0,1,5,136243,0,1592,0,0
在“经典旧世”分类下的一种专业中获得150点技能点数。,中级专业水准,,116,-1,-1,0,169,1,10,0,1,134327,0,65946,0,0
在“经典旧世”分类下的烹饪专业中获得150点技能点数。,中级烹饪,,121,-1,-1,0,170,0,10,0,1,4620671,0,5281,0,0
在“经典旧世”分类下的烹饪专业中获得225点技能点数。,高级厨师,,122,-1,-1,121,170,0,10,0,2,4620671,0,2377,0,0
在“经典旧世”分类下的烹饪专业中获得300点技能点数。,经典厨师,,123,-1,-1,122,170,0,10,0,3,4620671,0,4033,0,0
在“外域”分类下的烹饪专业中获得75点技能点数。,外域厨师,,124,-1,-1,0,170,0,10,0,4,4620671,0,2432,0,0
在“诺森德”分类下的烹饪专业中获得75点技能点数。,诺森德厨师,,125,-1,-1,0,170,0,10,0,5,4620671,0,1578,0,0
在“经典旧世”分类下的钓鱼专业中获得150点技能点数。,中级钓鱼,,126,-1,-1,0,171,0,10,0,1,4620674,0,1738,0,0
在“经典旧世”分类下的钓鱼专业中获得225点技能点数。,高级渔夫,,127,-1,-1,126,171,0,10,0,4,4620674,0,3071,0,0
在“经典旧世”分类下的钓鱼专业中获得300点技能点数。,钓鱼专家,,128,-1,-1,127,171,0,10,0,5,4620674,0,2467,0,0
在“外域”分类下的钓鱼专业中获得75点技能点数。,外域渔夫,,129,-1,-1,0,171,0,10,0,6,4620674,0,3667,0,0
在“诺森德”分类下的钓鱼专业中获得75点技能点数。,诺森德渔夫,,130,-1,-1,0,171,0,10,0,7,4620674,0,2380,0,0
获得150点急救技能点数。,中级急救,,131,-1,-1,0,172,0,0,2099200,1,135966,0,2435,0,0
获得225点急救技能点数。,高级急救,,132,-1,-1,131,172,0,0,2099200,3,135966,0,149,0,0
获得300点急救技能点数。,专家级急救,,133,-1,-1,132,172,0,0,2048,4,135966,0,1620,0,0
获得375点急救技能点数。,大师级急救,,134,-1,-1,133,172,0,0,2048,6,135966,0,3355,0,0
获得450点急救技能点数。,宗师级急救,,135,-1,-1,134,172,0,0,2048,8,135966,0,2792,0,0
制造500条厚霜纹布绷带。,囤积绷带,,137,-1,-1,0,15496,0,5,0,10,133674,0,2804,0,0
为生命值低于5%的玩家包扎厚霜纹布绷带、烬丝绷带或风绒绷带。,救命如救火,,141,-1,-1,0,15496,1,5,0,13,134470,0,6753,0,0
钓起毒蛇神殿的鱼斯拉。,钓起鱼斯拉,,144,-1,-1,0,171,0,10,0,24,132107,0,2813,0,0
在奥格瑞玛和暴风城钓鱼。,钓鱼外交,,150,-1,-1,0,171,0,10,0,18,133146,0,1281,0,0
成功地从鱼群中钓上鱼来。,老侏儒与海,,153,-1,-1,0,171,1,10,0,16,236573,0,609,0,0
在阿拉希盆地获胜。,阿拉希盆地胜利,,154,-1,-1,0,14802,0,10,0,1,236385,0,2065,0,0
在阿拉希盆地获得100场胜利。,阿拉希盆地精英,,155,-1,-1,154,14802,0,10,0,2,236381,0,4715,0,0
在占领全部5面旗帜的情况下获取10次阿拉希盆地的胜利。,领土优势,,156,-1,-1,0,14802,0,10,0,9,236386,0,117,0,0
在阿拉希盆地中，通过夺回旗帜保卫50次基地。,雷霆救兵！,,157,-1,-1,0,14802,0,10,0,7,132365,0,5243,0,0
在阿拉希盆地夺取50面旗帜。,夺旗能手,,158,-1,-1,0,14802,0,10,0,4,236373,0,1076,0,0
在6分钟内获得阿拉希盆地的胜利。,一鼓作气,,159,-1,-1,0,14802,0,10,0,10,236387,0,1079,0,0
在阿拉希盆地资源落后500点的情况下反超并获胜。,百折不挠,,161,-1,-1,0,14802,1,10,0,8,236371,0,4405,0,0
在阿拉希盆地以50点或更小的资源优势获胜。,完胜！*咳*,,162,-1,-1,0,14802,0,10,0,11,136165,0,129,0,0
在阿拉希盆地以1600比0获胜。,完美阿拉希盆地,,165,-1,-1,0,14802,0,20,0,3,236348,0,881,0,0
在战歌峡谷获胜。,战歌峡谷胜利,,166,489,-1,0,14804,0,10,0,1,236396,0,419,0,0
在战歌峡谷获得100场胜利。,战歌峡谷精英,,167,489,-1,166,14804,0,10,0,2,236384,0,422,0,0
以3比0的比分在战歌峡谷获胜。,完美战歌峡谷,,168,489,-1,0,14804,0,10,0,8,236397,0,9102,0,0
学习附魔公式,学习附魔公式,,178,-1,-1,0,173,0,0,1,6,136243,0,1285,0,0
分解物品,分解物品,,181,-1,-1,0,173,0,0,1,8,136243,0,146,0,0
通过分解获得的材料,通过分解获得的材料,,183,-1,-1,0,173,0,0,1,7,136243,0,2339,0,0
在战歌峡谷中夺取并运回旗帜。,夺旗,,199,489,-1,0,14804,0,10,0,3,236350,0,3500,0,0
在战歌峡谷中夺回本方的50面旗帜。,坚强的卫士,,200,489,-1,0,14804,0,10,0,4,236355,0,2383,0,0
在7分钟内赢得战歌峡谷的胜利。,战歌如风,,201,489,-1,0,14804,0,10,0,9,236398,0,8437,0,0
拿起旗帜并在75秒内交还。,来去如风,,202,489,1,0,14804,0,10,0,16,236353,0,2342,0,0
在一场战歌峡谷的战斗中，在敌方的夺旗者走出银翼军旗室之前将其消灭，总计2次。,我的地盘，我说了算,,203,2106,1,0,14804,0,10,0,14,236362,0,2077,0,0
在一场战歌峡谷的战斗中，连续夺取并运回3面旗帜，并且不死亡。,铁人,,204,489,-1,0,14804,0,10,0,10,236344,0,3655,0,0
在战歌峡谷消灭100个携带旗帜者。,超级防守者,,206,489,1,0,14804,0,10,0,6,236360,0,3409,0,0
当敌方的旗帜仍在他们的基地中，且敌方成员已经将你方的旗帜运回他们的军旗室时，消灭携带旗帜的敌人。,好险,,207,489,-1,0,14804,1,10,0,18,132308,0,13704,0,0
在风暴之眼获胜。,风暴之眼胜利,,208,566,-1,0,14803,0,10,0,1,236392,0,1763,0,0
在风暴之眼获得100场胜利。,风暴之眼精英,,209,566,-1,208,14803,0,10,0,2,236383,0,1766,0,0
当你的队伍占领风暴之眼的4座基地时，夺取旗帜并将其运回基地。,风暴的荣耀,,211,566,-1,0,14803,0,10,0,12,236354,0,183,0,0
在风暴之眼中夺取并运回旗帜。,风暴旗手,,212,566,-1,0,14803,0,10,128,7,236349,0,5265,0,0
在一场风暴之眼的战斗中消灭5名携带旗帜者。,突击队员,,213,566,-1,0,14803,0,10,128,6,236359,0,5778,0,0
在6分钟内获得风暴之眼的胜利。,疾风闪电,,214,566,-1,0,14803,0,10,0,5,236393,0,3145,0,0
在一场风暴之眼的战斗中，在不死亡的情况下夺取3次旗帜。,荣耀之跃,,216,566,-1,0,14803,0,10,0,8,135739,0,5268,0,0
在奥特兰克山谷获胜。,奥特兰克山谷胜利,,218,30,-1,0,14801,0,10,0,1,236388,0,6278,0,0
在奥特兰克山谷获得100场胜利。,奥特兰克山谷精英,,219,30,-1,218,14801,0,10,0,4,236382,0,3874,0,0
在不损失任何一名上尉或任何一座哨塔、同时还控制着所有部落哨塔的情况下获得奥特兰克山谷的胜利。,完美雷矛,,220,30,1,0,14801,0,20,0,13,133431,0,3823,0,0
在奥特兰克山谷夺取50处墓地。,奥特兰克盗墓贼,,221,30,-1,0,14801,0,10,0,5,236399,0,186,0,0
在奥特兰克山谷中保卫50次哨塔。,防御哨塔,,222,30,-1,0,14801,0,10,0,6,236351,0,3358,0,0
在奥特兰克山谷的征战平原上，抢在一名敌人下马之前将其消灭。,生病的瞪羚,,223,30,-1,0,14801,0,10,0,12,236361,0,3412,0,0
在奥特兰克山谷的霜狼大厅中消灭50名敌方玩家。,忠诚的卫士,,224,30,0,0,14801,0,10,0,7,236368,0,4479,0,0
在本阵营占领两座矿洞的情况下获得奥特兰克山谷的胜利。,毫不浪费,,225,30,1,0,14801,0,10,0,9,236389,0,3835,0,0
在6分钟内获得奥特兰克山谷的胜利。,奥特兰克闪击战,,226,30,-1,0,14801,0,20,0,11,236390,0,7771,0,0
在任意战场的一场战斗中造成300000点伤害或者治疗，并且这些伤害或治疗的目标必须是玩家。,伤害控制,,227,-1,-1,0,95,1,10,0,35,236374,0,990,0,0
在任意战场的一场战斗中，获得30个荣誉消灭。,恐怖收割者,,229,-1,-1,0,95,1,10,0,30,136177,0,914,0,0
完成下列战场成就。,战斗大师,头衔奖励：战斗大师,230,-1,1,0,95,0,50,143360,39,236591,0,4965,0,0
在任意战场的一场战斗中，亲手消灭20名敌人，并且自己不死亡。,摧枯拉朽,,231,-1,-1,0,95,1,10,0,36,132364,0,3855,0,0
在风暴之眼的战斗中，携带狂暴效果并消灭一名敌人。,嗜血的狂暴者,,233,566,-1,0,14803,0,10,0,11,136012,0,5215,0,0
完成一次荣誉消灭。,一次荣誉消灭,,238,-1,-1,0,95,0,10,0,1,236647,0,5218,0,0
达到25000个荣誉消灭。,25000个荣誉消灭,,239,-1,-1,509,95,0,10,135168,7,236657,0,5221,0,0
亲手对下列职业中的一种进行荣誉消灭。,职业杀手,,245,-1,-1,0,95,0,10,0,12,132092,0,6934,0,0
对所有部落种族分别进行一次荣誉消灭。,知己知彼,,246,-1,1,0,95,0,10,0,13,132155,0,6264,0,0
在敌方玩家释放灵魂之前，对他们使用/hug表情命令。,要有爱，不要魔兽争霸,,247,-1,-1,0,95,0,10,0,15,135767,0,8295,0,0
在复活节期间，通过打开鲜艳的彩蛋获得白色礼服衬衣和黑色礼服短裤。,假日礼服,,248,-1,-1,0,159,0,10,0,4,135012,0,8291,0,0
在复活节期间，通过打开鲜艳的彩蛋获得一件端庄的裙子。,应景装扮,,249,-1,-1,0,159,0,10,0,5,132645,0,4669,0,0
通过欢乐制造器变成冬天爷爷的小助手，然后获得50个荣誉消灭。,我的小帮手,,252,-1,-1,0,156,0,10,128,2,236703,0,4724,0,0
在2023年节日更新前消灭无头骑士。,取下他的首……呃，等等,,255,-1,-1,0,15274,0,0,2048,63,134015,0,1673,0,0
在冬幕节期间，向贝恩·血蹄投掷一枚雪球。,冬幕节见鬼去吧！,,259,-1,0,0,156,1,10,0,3,132387,0,20082,0,0
制作12个可爱的情人符手镯。,魅力四射,,260,-1,-1,0,187,0,10,0,2,133334,0,2103,0,0
消灭奴隶围栏的埃霍恩。,冰霜之王,,263,-1,-1,0,161,1,10,0,1,135861,0,5612,0,0
穿着全套仲夏火焰节套装，在彩带杆旁跳舞60秒。,木杆热舞,,271,-1,-1,0,161,0,10,0,2,236216,0,7608,0,0
在达拉然城中，15秒内进行40次扔火炬杂耍。,火炬杂耍,,272,-1,-1,0,161,0,10,0,45,135433,0,2097,0,0
拯救驯鹿梅森。,拯救梅森！,,273,-1,-1,0,156,1,10,0,1,236707,0,5556,0,0
获得蛋蛋的蛋、贪睡的威利和小象项圈。,资深保姆,,275,-1,-1,0,163,0,50,131072,7,134505,0,3662,0,0
在冬幕节期间，穿着3件冬季服饰，然后吃下格拉库的肉松蛋糕。,冬天来了,,277,-1,-1,0,156,0,10,0,6,132934,0,4076,0,0
完成夺回被偷走的烟林牧场礼物的任务，并获得烟林牧场的感谢。,真讨厌,,279,-1,-1,0,156,1,10,0,8,133170,0,14224,0,0
急救技能,急救技能,,281,-1,-1,0,178,0,0,1,5,136243,0,458,0,0
被下列万圣节魔棒变形。,化妆舞会,,283,-1,-1,0,158,0,10,0,14,236548,0,4423,0,0
收集下列24种不同的面具。,一张面具应万变,,284,-1,-1,0,158,0,20,0,8,133567,0,3964,0,0
吃掉大量糖果，直到你觉得恶心。,狼吞虎咽,,288,-1,-1,0,158,0,10,0,2,136182,0,9018,0,0
完成一个从无头骑士的魔掌下拯救一座村庄的任务。,万圣节的救星,,289,-1,-1,0,158,1,10,0,6,236545,0,3849,0,0
对下列各种族使用沉重的南瓜灯。,摸摸你的头,,291,-1,-1,0,158,0,10,0,13,133661,0,8,0,0
在万圣节期间通过拾取或者用奶糖购买获得一只邪恶的南瓜娃娃宠物和一顶万圣节头盔。,邪恶的召唤,,292,-1,-1,0,158,0,10,0,15,236547,0,5513,0,0
穿着3件美酒节服装，喝个烂醉如泥，在达拉然跳舞。,不得安宁,,293,571,-1,0,162,0,10,0,9,133696,0,448,0,0
消灭科林·烈酒。,烈酒节,,295,230,-1,0,162,0,10,0,8,134159,0,3232,0,0
获得一头美酒节坐骑，或使用美酒节蛇麻草把你的坐骑变成一头美酒节坐骑。,带酒上路,,303,-1,-1,0,162,1,10,131072,10,132620,0,842,0,0
在藏宝海湾钓鱼大赛中获胜。,艾泽拉斯的钓鱼大师,,306,-1,-1,0,171,1,20,0,19,133892,0,4432,0,0
,被敌对阵营消灭的总次数,,318,-1,-1,0,21,0,0,1,2,136243,0,4712,0,0
决斗获胜,决斗获胜,,319,-1,-1,0,154,0,0,1,1,136243,0,8204,0,0
决斗落败,决斗落败,,320,-1,-1,0,154,0,0,1,3,136243,0,22,0,0
通过任务奖励所得金币,通过任务奖励所得金币,,326,-1,-1,0,140,0,0,1,4,136243,0,10543,0,0
获得的金币总量,获得的金币总量,,328,-1,-1,0,140,0,0,1,1,136243,0,2744,0,0
在拍卖行出售物品,在拍卖行出售物品,,329,-1,-1,0,140,0,0,1,6,136243,0,15895,0,0
在拍卖行购买物品,在拍卖行购买物品,,330,-1,-1,0,140,0,0,1,7,136243,0,2083,0,0
在拍卖行购买物品的最高价格,在拍卖行购买物品的最高价格,,331,-1,-1,0,140,0,0,1,8,136243,0,264,0,0
