Description_lang,ID,MapID
夺取旗帜,42,489
归还旗帜,44,489
占领哨塔,61,30
占领墓地,63,30
保卫哨塔,64,30
保卫墓地,65,30
辅助目标,82,30
突袭基地,122,529
防御基地,123,529
夺取旗帜,183,566
摧毁城墙,215,571
摧毁建筑,216,571
摧毁城门,231,607
摧毁攻城车,232,607
突袭基地,245,628
防御基地,246,628
夺取旗帜,290,726
归还旗帜,291,726
突袭基地,370,761
防御基地,371,761
突袭基地,391,968
防御基地,392,968
夺取旗帜,393,968
夺取宝珠,418,998
胜利点数,419,998
夺取旗帜,422,1010
归还旗帜,423,1010
控制矿车,428,727
夺取矿车,457,1105
归还矿车,458,1105
突袭矿洞,459,1105
防守矿洞,460,1105
得分,501,451
突袭基地,679,1681
防御基地,680,1681
突袭基地,688,2177
防御基地,690,2177
收集的艾泽里特,744,1803
夺取旗帜,762,1740
归还旗帜,763,1740
已收集材料,923,1691
突袭基地,926,2107
防御基地,927,2107
夺取旗帜,928,2106
归还旗帜,929,2106
已收集神器,931,1191
突袭基地,1001,2245
防御基地,1002,2245
占领哨塔,1003,2197
辅助目标,1004,2197
保卫墓地,1005,2197
保卫哨塔,1006,2197
占领墓地,1007,2197
胜利回合数,1008,1505
胜利回合数,1009,1672
胜利回合数,1010,1134
胜利回合数,1011,980
胜利回合数,1012,572
胜利回合数,1013,1911
胜利回合数,1014,1504
胜利回合数,1015,2509
胜利回合数,1016,2511
胜利回合数,1017,2547
胜利回合数,1018,2563
夺取旗帜,1020,2656
