ID,Name_lang,AreaTableID,Type,Flags,UiTextureKitID
15,盎迦猴岛,0,0,0,0
39,遗忘之王古墓,0,0,0,0
40,绿石村,0,0,0,0
44,青龙寺,0,1,18,0
45,风暴烈酒酿造厂,0,1,1,0
46,影踪禅院,0,1,1,0
48,残阳关,0,1,1,0
49,围攻砮皂寺,0,1,1,0
50,魔古山宫殿,0,1,1,0
51,通灵学院,0,1,1,0
52,血色大厅,0,1,1,0
53,血色修道院,0,1,1,0
58,破军比武场,0,0,0,0
63,酿月祭,0,0,0,0
65,酝酿风暴,0,0,0,0
68,寇魔古寺,0,0,0,0
70,塞拉摩的沦陷,0,0,0,0
71,塞拉摩的沦陷,0,0,0,0
72,塞拉摩的沦陷,0,0,0,0
179,黑暗中的匕首,0,0,0,0
180,钻石岛,0,0,0,0
181,突袭扎尼维斯,0,0,0,0
182,公海激战,0,0,0,0
183,王者的耐心,0,0,0,0
184,雄狮港,0,0,0,0
187,统御岗哨,0,0,0,0
200,追踪黑暗收割议会,0,0,0,0
201,统御岗哨,0,0,0,0
203,突袭扎尼维斯,0,0,0,0
204,摧毁城墙！,0,0,0,0
205,风暴之海码头,0,0,0,0
206,突袭赞布图拉,0,0,0,0
207,直冲云霄！,0,0,0,0
208,山怖之死,0,0,0,0
209,摧毁城墙！,0,0,0,0
210,雪山血战,0,0,0,0
211,雷霆熔炉,0,0,0,0
212,突袭绍尔马拉,0,0,0,0
215,雷电之王的藏宝库,0,0,0,0
216,潘达利亚的黑暗之心,0,0,0,0
219,怒焰之谜,0,0,0,0
237,试炼场：选择试炼,0,0,2,0
239,公海激战,0,0,0,0
247,Scenario Template,0,0,0,0
248,试炼场,0,0,2,0
254,标准场景战役,0,0,2,0
256,玄牛之死,0,0,0,0
257,天神比武大会,0,0,0,0
269,寻找秘制原料,0,0,0,0
275,清洗格罗玛尔,0,0,0,0
278,汤面时间,0,0,0,0
294,剃刀沼泽,0,0,0,0
318,德拉诺矿井,0,0,0,0
320,戈尔隆德大决战,0,0,0,0
322,道森溪,0,0,0,0
323,白骨镇场景战役,0,0,0,0
324,雷霆小径之战,0,0,0,0
329,黑石塔上层,0,3,26,0
331,沙塔斯之战,0,0,0,0
333,黑暗深渊,0,3,10,0
423,通天峰,0,1,1,0
425,血槌炉渣矿井,0,1,1,0
426,钢铁码头,0,1,18,0
427,奥金顿,0,1,1,0
428,影月墓地,0,1,18,0
429,恐轨车站,0,1,19,0
430,永茂林地,0,1,18,0
432,黑石塔上层,0,1,1,0
449,卡拉波防线,0,0,0,0
450,卡拉波的命运,0,0,0,0
499,隆隆的轰鸣声从这个方向传来,0,0,0,0
508,联盟的力量,0,0,0,0
509,部落的力量,0,0,0,0
510,监狱,0,3,10,0
511,怒焰裂谷,0,3,10,0
515,哀嚎洞穴,0,3,10,0
516,影牙城堡,0,3,10,0
523,影牙城堡,0,3,10,0
524,围攻砮皂寺,0,3,10,0
525,围攻砮皂寺,0,3,10,0
526,残阳关,0,3,10,0
527,残阳关,0,3,10,0
528,魔古山宫殿,0,3,10,0
531,影踪禅院,0,3,10,0
535,影踪禅院,0,3,10,0
536,魔古山宫殿,0,3,10,0
537,风暴烈酒酿造厂,0,3,10,0
538,风暴烈酒酿造厂,0,3,10,0
539,青龙寺,0,3,10,0
540,青龙寺,0,3,10,0
542,黑石岩窟,0,3,10,0
545,黑石岩窟,0,3,10,0
547,时光之末,0,3,10,0
548,潮汐王座,0,3,10,0
550,潮汐王座,0,3,10,0
551,旋云之巅,0,3,10,0
552,旋云之巅,0,3,10,0
553,格瑞姆巴托,0,3,10,0
554,格瑞姆巴托,0,3,10,0
555,托维尔失落之城,0,3,10,0
556,祖尔格拉布,0,3,10,0
557,托维尔失落之城,0,3,10,0
558,起源大厅,0,3,10,0
565,起源大厅,0,3,10,0
566,灵魂洪炉,0,3,10,0
567,永恒之井,0,3,10,0
568,灵魂洪炉,0,3,10,0
569,萨隆矿坑,0,3,10,0
570,暮光审判,0,3,10,0
571,萨隆矿坑,0,3,10,0
572,映像大厅,0,3,10,0
573,映像大厅,0,3,10,0
574,祖阿曼,0,3,10,0
575,魔环,0,3,10,0
576,魔环,0,3,10,0
577,乌特加德之巅,0,3,10,0
579,乌特加德之巅,0,3,10,0
580,闪电大厅,0,3,10,0
581,闪电大厅,0,3,10,0
582,岩石大厅,0,3,10,0
583,净化斯坦索姆,0,3,10,0
584,岩石大厅,0,3,10,0
585,净化斯坦索姆,0,3,10,0
586,古达克,0,3,10,0
587,古达克,0,3,10,0
588,紫罗兰监狱,0,3,10,0
589,紫罗兰监狱,0,3,10,0
590,达克萨隆要塞,0,3,10,0
591,达克萨隆要塞,0,3,10,0
592,安卡赫特：古代王国,0,3,10,0
593,安卡赫特：古代王国,0,3,10,0
594,艾卓-尼鲁布,0,3,10,0
595,艾卓-尼鲁布,0,3,10,0
596,乌特加德城堡,0,3,10,0
