AreaName_lang,ID,OrderIndex,PlayerConditionID,Field_11_1_5_59571_004,AreaID
失落之光密室,1,0,68604,0,9994
工匠平台,2,1,63282,0,8670
落锚酒吧,3,0,63448,0,9401
迷醉坦克酒吧,4,0,63426,0,9617
沉浮酒吧,5,0,5703,0,9617
海曼的避风港,6,0,63291,0,8502
海沙酒吧,7,0,63292,0,8733
惊叫地穴,8,0,5703,0,9698
托加的旅馆,9,0,63306,0,8502
巨鲸之胃,10,0,63374,0,8567
苦工藏身处,11,0,65214,0,5484
格洛恩的岩洞,12,0,65990,0,9420
格洛恩的岩洞,13,0,65990,0,8731
安全屋,15,0,67602,0,9979
安全屋,16,0,67602,0,8717
安度因之怒号,17,0,67138,0,10454
黎明水手号,18,0,67139,0,10454
蒂芬之歌号,19,0,67140,0,10454
雄狮之心号,20,0,67141,0,10454
雄狮之心号,21,0,67141,0,10455
蒂芬之歌号,22,0,67140,0,10455
黎明水手号,23,0,67139,0,10455
安度因之怒号,24,0,67138,0,10455
神灵之光,25,0,68603,0,9994
癫狂公爵的大厅,27,0,73061,0,10985
科斯特尔的藏身处,28,0,73506,0,10985
仆从工作区,29,1,76787,0,10985
兵主之座,30,0,78035,0,11466
疑虑堡垒,31,0,0,0,13311
泽雷克利斯,42,0,85380,0,11462
缝合车间,43,0,86352,0,13473
佐尔拉姆斯,44,0,86354,0,13473
阿尔柯班之厅,45,0,87430,0,13400
折磨密室：吉安娜,46,0,87491,0,13404
折磨密室：萨尔,47,0,87550,0,13413
舞蹈之环,48,0,88819,0,11510
舞蹈之环,49,0,88819,0,12244
舞蹈之环,50,0,88819,0,12243
放逐者的藏骨堂,51,0,89786,0,13575
奉献神庙,52,0,91076,0,11379
裂隙,53,0,91308,0,13196
裂隙,54,0,91308,0,11524
裂隙,55,0,91308,0,11528
裂隙,56,0,91308,0,11530
裂隙,57,0,91308,0,11400
裂隙,58,0,91308,0,13217
裂隙,59,0,91308,0,13216
裂隙,60,0,91308,0,13560
裂隙,61,0,91308,0,11526
裂隙,62,0,91308,0,13215
张狂洞穴,63,0,91308,0,13432
裂隙,64,0,91308,0,11525
裂隙,65,0,91308,0,13222
裂隙,66,0,91308,0,11529
裂隙,67,0,91308,0,13223
裂隙,68,0,91308,0,13437
裂隙,69,0,91308,0,13218
裂隙,70,0,91308,0,13491
裂隙,71,0,91308,0,13492
裂隙,72,0,91308,0,11527
裂隙,73,0,91308,0,13219
裂隙,74,0,91308,0,13221
裂隙,75,0,91308,0,13570
裂隙,76,0,91308,0,13624
裂隙,77,0,91308,0,13625
裂隙,78,0,91308,0,13626
裂隙,79,0,91308,0,13627
裂隙,80,0,91308,0,13628
裂隙,81,0,91308,0,13629
裂隙,82,0,91308,0,13630
裂隙,83,0,91308,0,13631
裂隙,84,0,91308,0,13666
裂隙,85,0,91308,0,13673
裂隙,86,0,91308,0,13677
裂隙,87,0,91308,0,13538
堕落君王的忏悔,88,0,92820,0,13561
巨目瞭望台,89,3,92897,0,13561
泡泡浴,90,0,102752,0,14158
漂泊者潜水酒吧,91,0,105179,0,13646
兹斯克拉宝库：乌尔,92,0,105458,0,14619
兹斯克拉宝库：阿兹,93,0,105457,0,14619
兹斯克拉宝库,94,0,108147,0,14619
兹斯克拉宝库：凯克斯,95,0,106952,0,14619
兹斯克拉宝库：伊克斯,96,0,105459,0,14619
弥散营地：霜灼,97,3,109548,0,13892
弥散营地：烬风,98,1,107864,0,13754
弥散营地：霜灼,99,1,109548,0,13860
磐石家园的废墟,100,0,111020,0,14875
恢弘城垒,101,1,125385,0,15362
恢弘城垒,103,1,125385,0,15364
君权高台,104,1,125954,0,15365
扬升之途,105,1,126053,0,15365
基里扎尔竞技场,106,1,126056,0,15365
企业家股份有限公司,107,0,127336,0,15351
企业家股份有限公司,108,0,127336,0,15350
“印钞机”号,109,0,128497,0,15347
