ID,Name_lang,Description_lang,Cooldown,Duration,Flags,SchoolMask,IconFileDataID
1,DNT JasonTest Envirospell,,2,1,0,0,0
2,DNT JasonTest Ability Spell,"DNT Test test  Effect 0 Attack points $s0, Effect 1 Attack points % $s1, Effect 2 Flat points $s2, Effect 3 Flat points % $s3",4,2,1,0,461809
3,DNT Owen Test Double Effect,,3,0,0,0,0
4,二连击,娜德佳连续攻击距离最近的敌人两次，先造成$s1点物理伤害，再造成$s2点物理伤害。,3,0,0,1,333546
5,飞翼横扫,德莱文横扫双翼，对所有敌人造成$s1点物理伤害。,1,0,0,1,2103875
6,鲜血爆炸,西塔尔发射暗影脉动，对远处的所有敌人造成$s1点暗影伤害。,2,0,0,32,136118
7,骷髅猛击,对距离最近的敌人造成$s1点物理伤害。,2,1,0,32,3386321
8,猎鹰重击,伊莱像猎鹰一样迅猛出击，对距离最近的敌人造成伤害。,1,0,0,8,132188
9,治疗之嚎,为所有盟友恢复其$s1%的最大生命值。,4,0,0,64,1033494
10,星枝碎击,猛击距离最近的敌人，造成相当于其最大生命值$s1%的伤害。每轮会恢复最大生命值的$s3%，并对所有敌人造成相当于最大生命值$s2%的冰霜伤害。,3,3,0,16,514019
11,自动攻击,对最近距离的敌人造成攻击伤害。,0,0,0,1,1064261
12,骨骼重构,为所有盟友恢复$s1点生命值。,1,1,0,32,136230
13,温柔抚慰,,0,0,0,8,132125
14,灵魂抚慰,安加莉为所有盟友恢复$s1点生命值。,3,0,0,32,132993
15,自动攻击,对远处的一名敌人造成伤害。,0,0,0,1,135490
16,灵魂碎裂,瑟拉从距离最远的敌人身上撕裂一段记忆，造成$s1点暗影伤害。,1,0,0,32,2065625
17,墓尘特餐,达格向所有敌人抛掷出一铲墓尘，造成$s1点冰霜伤害并为自己恢复$s2点生命值。,0,0,0,16,134436
18,狂怒之翼,奈里斯对近战范围内的所有敌人造成三次攻击，每次造成$s1点暗影伤害。,4,0,0,32,2103919
19,灼热之咬,用烈焰之颚撕咬距离最近的敌人，造成$s1点火焰伤害。,4,0,0,4,236167
20,掷石,斯通哈克扔出罪碑，碎裂后对远处的所有敌人造成$s1点物理伤害。,1,0,0,1,236399
