ID,Description_lang,Type,Amount,ObjectID,OrderIndex,Flags,StorageIndex,QuestID
270941,救出被囚的霜狼,0,3,73284,1,0,0,33145
272313,,0,6,82196,0,0,0,34076
272763,,0,12,75483,0,0,0,34496
272770,,0,1,78896,0,1,2,34501
272771,,0,1,78893,1,1,0,34501
272772,,0,1,78764,2,1,1,34501
272776,收集蘑菇汁,0,20,74249,1,0,1,34504
272779,为霜狼兽人解冻,0,12,78870,1,0,0,34505
272897,安抚幼年徘徊者,0,7,79432,1,0,0,34639
272904,封印佐卡的虚空之门,0,4,79520,0,0,1,34660
272913,释放德莱尼灵魂,0,8,79499,0,0,0,34667
272914,消灭恶魔,0,10,79503,1,0,1,34667
272916,击落影眼蝙蝠骑手,0,4,88822,2,0,2,34667
272965,消灭兽人士兵,0,30,79581,0,0,0,34723
272972,消灭钢铁部落指挥官库尔克罗什,0,1,79588,3,0,1,34723
272973,消灭悬槌特使雷兹罗格,0,1,79651,2,0,2,34723
272974,摧毁码头补给箱,2,12,230653,1,0,3,34723
272975,,0,8,79658,1,0,0,34728
272976,,0,1,79681,2,0,1,34728
272977,,1,14,111559,0,0,2,34728
273017,消灭狂乱的古树,0,1,79409,0,1,1,34639
273119,,0,6,79544,1,0,0,34660
273213,消灭白鬼,0,12,76534,0,0,0,34724
273214,摧毁卵簇,0,15,76548,1,0,1,34724
273215,消灭寄主高格,0,1,76496,2,0,2,34724
273631,,0,6,75815,0,0,0,35236
273632,,1,20,112994,1,0,1,35236
273633,,0,6,75815,0,0,0,35237
273634,,1,20,112994,1,0,1,35237
273662,,0,1,94411,0,0,0,35250
273681,,0,3,79148,2,0,1,34076
273769,消灭冻血白鬼,0,10,78758,3,0,3,34501
273770,,0,15,81902,0,0,0,35379
273799,,0,1,82202,3,0,1,35379
273800,,0,1,82205,1,0,2,35379
273801,,0,1,82209,2,0,3,35379
273843,消灭兽人灵魂,0,6,82220,1,0,2,34076
273921,突袭血槌要塞,15,1,0,0,0,0,35637
273928,突袭血槌要塞,15,1,0,0,0,0,35641
273938,摧毁一桶收集来的毒液,2,3,233035,1,0,1,35649
273939,消灭碎手兽人,0,20,82130,3,0,0,35649
274153,消灭狂乱的魔荚人,0,20,83450,0,0,0,35881
274154,拾取古老的罐子,0,8,83467,1,0,3,35881
274155,消灭马尔科,0,1,83452,2,0,2,35881
274241,突袭黑潮栖木,15,1,0,0,0,0,35974
274244,突袭黑潮栖木,15,1,0,0,0,0,35977
274299,挫败鸦人部队,15,1,0,0,0,0,36069
274300,挫败鸦人部队,15,1,0,0,0,0,36070
274611,,0,10,78791,0,0,1,34505
274612,消灭肃霜食人魔,0,8,72953,0,0,1,33145
274613,消灭白鬼怪物,0,12,76382,0,0,0,34504
274617,突袭暗影议会,15,1,0,0,0,0,36338
274629,破坏索克雷萨高地,15,1,0,0,0,0,36347
274630,破坏索克雷萨高地,15,1,0,0,0,0,36348
274647,Defeat Normal Enemies,0,100,85000,2,92,0,36338
274650,Defeat Lieutenant Enemies,0,34,85195,3,92,1,36338
274652,Defeat Minus Enemies,0,500,85197,1,92,3,36338
274653,被俘的守卫,0,34,85103,12,92,4,36338
274655,Caches,2,20,234433,5,92,6,36338
274656,Defeat Miniboss Enemies,0,4,85200,4,92,7,36338
274657,攻城火炮,0,45,84754,6,92,8,36338
274658,灵魂水晶,0,50,83856,7,92,9,36338
274659,邪能火焰,0,50,84279,8,92,10,36338
274672,突袭黑石铸造厂,15,1,0,0,0,0,36383
274673,消灭钢铁部落,0,100,85228,1,92,1,36383
274674,消灭钢铁部落,0,20,85229,2,92,0,36383
274675,消灭钢铁部落,0,5,85230,3,92,2,36383
274678,Slay Minus Mobs,0,500,85260,1,92,0,35637
274679,Slay Normal Mobs,0,100,85261,2,92,1,35637
274680,Collect/Interact (Minor),0,50,85265,3,92,2,35637
