Name_lang,Description_lang,ID,StoreFrontID,AccountStoreCategoryID,OrderIndex,Price,CurrencyTypesID,Field_11_0_7_57361_008,RefundDuration,Field_11_0_7_57361_010,Field_11_0_7_57361_011,SpellID,TransmogSetID,CreatureDisplayInfoID,UiModelSceneID,Icon
乐乐,|cFF00ccff“地心之战”宠物|r|n|cFF1eff00“霸业风暴”宠物|r|n|n解锁“乐乐”宠物。在“霸业风暴”中，达卡什·暗账可以帮你召唤你的宠物。|n|n“它光是能来这儿逛逛就很兴奋了。”,1,1,1,10,250,3139,0,14400,0,0,439475,0,118654,0,0
泡泡,|cFF00ccff“地心之战”宠物|r|n|cFF1eff00“霸业风暴”宠物|r|n|n解锁“泡泡”宠物。在“霸业风暴”中，达卡什·暗账可以帮你召唤你的宠物。|n|n“它跟踪你回家了！”|n|n|cFFFFFFFF额外宠物：小钳|r|n|n|CFFa335ee经典怀旧服宠物|r|n|n解锁“巫妖王之怒”宠物：“收集者小钳”。|n|n“小心尖端！”,2,1,1,20,500,3139,0,0,0,0,439477,0,118078,0,0
格拉姆洛克,|cFF00ccff“地心之战”宠物|r|n|cFF1eff00“霸业风暴”宠物|r|n|n解锁“格拉姆洛克”宠物。在“霸业风暴”中，达卡什·暗账可以帮你召唤你的宠物。|n|n“收集爱好者，你的同行。”,3,1,1,30,1000,3139,0,14400,0,0,439478,0,118606,0,0
闪钳,"|cFF00ccff“地心之战”宠物|r
|cFF1eff00“霸业风暴”宠物|r

解锁“闪钳”宠物。在“霸业风暴”中，达卡什·暗账可以帮你召唤你的宠物。

“钳住一切闪闪发光的东西是一种生活方式。”",4,1,1,40,2000,3139,0,14400,4,0,0,0,124130,0,0
银白浪骁,|cFF00ccff“地心之战”坐骑|r|n|n解锁“银白浪骁”水下坐骑。|n|n“有股虾味。”,5,1,2,10,1500,3139,0,14400,0,0,437516,0,92255,965,0
皇家海羽鹦鹉,|cFF00ccff“地心之战”坐骑|r|n|n解锁“皇家海羽鹦鹉”飞行坐骑。|n|n“看你已经成就了如此霸业，没有只巨型鹦鹉跟着你还像话吗？”,6,1,2,20,5000,3139,0,14400,0,0,437517,0,117981,80,0
波利·罗杰,|cFF00ccff“地心之战”坐骑|r|n|n解锁“波利·罗杰”驭空术坐骑。|n|n“船长把他自己那只喜怒无常的巨型鹦鹉送给了你。祝你好运！”|n|n|cFFFFFFFF额外坐骑：波利·罗杰|r|n|n|CFFa335ee经典怀旧服坐骑|r|n|n解锁“巫妖王之怒”飞行坐骑：“波利·罗杰”。,7,1,2,30,5000,3139,0,0,0,0,437164,0,117262,80,0
霸业枭雄的午夜鳄鱼,"|cFF00ccff“地心之战”坐骑|r

解锁“霸业枭雄的午夜鳄鱼”坐骑。

“由高品质黑色皮革制成的豪华座椅。”",8,1,2,40,5000,3139,0,14400,4,0,0,0,121170,80,0
判判,"|cFF00ccff“地心之战”宠物|r
|cFF1eff00“霸业风暴”宠物|r

解锁“判判”宠物。在“霸业风暴”中，达卡什·暗账可以帮你召唤你的宠物。

“讽刺的是，并不擅长谈判。”",9,1,1,50,2000,3139,0,14400,4,0,0,0,124174,0,0
致命之匕,|cFF00ccff“地心之战”外观|r|n|cFF1eff00“霸业风暴”外观|r|n|n解锁“致命之匕”外观。欲改变“霸业风暴”中的角色外观，请与达卡什·暗账交谈。|n|n“你是桶腿船团的手下了，杂兵。快，拿上匕首，收集财宝，成就霸业！”,10,1,4,10,250,3139,0,14400,1,0,439389,3468,0,0,0
黑钢利刃,|cFF00ccff“地心之战”外观|r|n|cFF1eff00“霸业风暴”外观|r|n|n解锁“黑钢利刃”外观。欲改变“霸业风暴”中的角色外观，请与达卡什·暗账交谈。|n|n“为海风中的剑术对决而打造。”,11,1,4,20,250,3139,0,14400,1,0,439391,3470,0,0,0
有裂纹的铁斧,|cFF00ccff“地心之战”外观|r|n|cFF1eff00“霸业风暴”外观|r|n|n解锁“有裂纹的铁斧”外观。欲改变“霸业风暴”中的角色外观，请与达卡什·暗账交谈。|n|n“锋利的斧子，最适合你这种威风的水手！”,12,1,4,30,250,3139,0,14400,1,0,439392,3471,0,0,0
钙化重剑,|cFF00ccff“地心之战”外观|r|n|cFF1eff00“霸业风暴”外观|r|n|n解锁“钙化重剑”外观。欲改变“霸业风暴”中的角色外观，请与达卡什·暗账交谈。|n|n“剑其实跟匕首差不多，只是块更大的铁板而已。”,13,1,4,40,250,3139,0,14400,1,0,439390,3469,0,0,0
水手杂兵的铲子,"|cFF00ccff“地心之战”外观|r
|cFF1eff00“霸业风暴”外观|r

解锁“水手杂兵的铲子”外观。欲改变“霸业风暴”中的角色外观，请与达卡什·暗账交谈。

“你挖得到吗？”",14,1,4,50,1000,3139,0,14400,5,0,0,4154,0,0,0
水手杂兵的船桨,"|cFF00ccff“地心之战”外观|r
|cFF1eff00“霸业风暴”外观|r

解锁“水手杂兵的船桨”外观。欲改变“霸业风暴”中的角色外观，请与达卡什·暗账交谈。

“让我们荡起单桨。”",15,1,4,60,1000,3139,0,14400,5,0,0,4155,0,0,0
霸业枭雄的飞首斧,|cFF00ccff“地心之战”外观|r|n|cFF1eff00“霸业风暴”外观|r|n|n解锁“霸业枭雄的飞首斧”外观。欲改变“霸业风暴”中的角色外观，请与达卡什·暗账交谈。|n|n“水手霸主的兵器库里可不能少了这个。”,16,1,4,70,1000,3139,0,14400,1,0,439386,3466,0,0,0
霸业枭雄的精工细剑,|cFF00ccff“地心之战”外观|r|n|cFF1eff00“霸业风暴”外观|r|n|n解锁“霸业枭雄的精工细剑”外观。欲改变“霸业风暴”中的角色外观，请与达卡什·暗账交谈。|n|n“是用来戳的。”,17,1,4,80,1000,3139,0,14400,1,0,439383,3464,0,0,0
霸业枭雄的白银弯刀,|cFF00ccff“地心之战”外观|r|n|cFF1eff00“霸业风暴”外观|r|n|n解锁“霸业枭雄的白银弯刀”外观。欲改变“霸业风暴”中的角色外观，请与达卡什·暗账交谈。|n|n“在阳光下高举的话，会发出夺目的光芒。”,18,1,4,90,1000,3139,0,14400,1,0,439384,3465,0,0,0
霸业枭雄的鎏金符印,|cFF00ccff“地心之战”外观|r|n|cFF1eff00“霸业风暴”外观|r|n|n解锁“霸业枭雄的鎏金符印”外观。欲改变“霸业风暴”中的角色外观，请与达卡什·暗账交谈。|n|n“高举霸业枭雄的法杖，集结一帮船员，成就霸业！”,19,1,4,100,1000,3139,0,14400,1,0,439382,3463,0,0,0
霸业枭雄的萦雷飞首斧,|cFF00ccff“地心之战”外观|r|n|cFF1eff00“霸业风暴”外观|r|n|n解锁“霸业枭雄的萦雷飞首斧”外观。欲改变“霸业风暴”中的角色外观，请与达卡什·暗账交谈。,20,1,4,110,1500,3139,0,14400,5,0,0,4157,0,0,0
霸业枭雄的萦雷细剑,|cFF00ccff“地心之战”外观|r|n|cFF1eff00“霸业风暴”外观|r|n|n解锁“霸业枭雄的萦雷细剑”外观。欲改变“霸业风暴”中的角色外观，请与达卡什·暗账交谈。,21,1,4,120,1500,3139,0,14400,5,0,0,4158,0,0,0
霸业枭雄的萦雷弯刀,|cFF00ccff“地心之战”外观|r|n|cFF1eff00“霸业风暴”外观|r|n|n解锁“霸业枭雄的萦雷弯刀”外观。欲改变“霸业风暴”中的角色外观，请与达卡什·暗账交谈。,22,1,4,130,1500,3139,0,14400,5,0,0,4159,0,0,0
霸业枭雄的萦雷符印,|cFF00ccff“地心之战”外观|r|n|cFF1eff00“霸业风暴”外观|r|n|n解锁“霸业枭雄的萦雷符印”外观。欲改变“霸业风暴”中的角色外观，请与达卡什·暗账交谈。,23,1,4,140,1500,3139,0,14400,5,0,0,4160,0,0,0
铜质火炮,|cFF00ccff“地心之战”外观|r|n|cFF1eff00“霸业风暴”外观|r|n|n解锁“铜质火炮”外观。欲改变“霸业风暴”中的角色外观，请与达卡什·暗账交谈。|n|n“有了这门炮，收集就是小菜一碟。”,24,1,3,10,250,3139,0,14400,1,0,439393,3472,0,0,0
神奇的多发火枪,|cFF00ccff“地心之战”外观|r|n|cFF1eff00“霸业风暴”外观|r|n|n解锁“神奇的多发火枪”外观。欲改变“霸业风暴”中的角色外观，请与达卡什·暗账交谈。|n|n“别贴脸瞄准。”,25,1,3,20,500,3139,0,14400,1,0,439394,3473,0,0,0
霸业枭雄的手炮,|cFF00ccff“地心之战”外观|r|n|cFF1eff00“霸业风暴”外观|r|n|n解锁“霸业枭雄的手炮”外观。欲改变“霸业风暴”中的角色外观，请与达卡什·暗账交谈。|n|n“闻着有黄金和火药的味道。”,26,1,3,30,1000,3139,0,14400,1,0,439388,3467,0,0,0
霸业枭雄的萦雷手炮,|cFF00ccff“地心之战”外观|r|n|cFF1eff00“霸业风暴”外观|r|n|n解锁“霸业枭雄的萦雷手炮”外观。欲改变“霸业风暴”中的角色外观，请与达卡什·暗账交谈。,27,1,3,40,1500,3139,0,14400,5,0,0,4161,0,0,0
暖意羊绒帽,|cFF00ccff“地心之战”外观|r|n|n解锁“暖意羊绒帽”外观。|n|n“再黑心的水手也会有觉得寒心的时候。”,28,1,7,10,250,3139,0,14400,1,0,439445,3484,0,0,0
风暴船长帽,|cFF00ccff“地心之战”外观|r|n|n解锁“风暴船长帽”外观。|n|n“这顶精美的帽子，最适合戴在风暴中巍然不动的船长头上！”,29,1,7,20,250,3139,0,14400,1,0,439446,3483,0,0,0
大副的迷人帽子,"|cFF00ccff“地心之战”外观|r

解锁“大副的迷人帽子”外观。

“帽子底下可是藏匿意外之财的绝佳地方。”",30,1,7,30,1000,3139,0,14400,5,0,0,4162,0,0,0
大副的迷人护头,"|cFF00ccff“地心之战”外观|r

解锁“大副的迷人护头”外观。

“帅气的造型就是最强大的竞争力。”",31,1,7,40,1000,3139,0,14400,5,0,0,4163,0,0,0
霸业枭雄的海军部三角帽,"|cFF00ccff“地心之战”外观|r
|cFF1eff00“霸业风暴”外观|r

解锁“霸业枭雄的海军部三角帽”外观。

“霸业风暴”的“豪放的水手杂兵”装束的一部分。欲改变“霸业风暴”中的角色装束，请在解锁所有该套装外观后与达卡什·暗账交谈。

“精致的羽饰头盔，比着你的头型做的。”",32,1,8,10,250,3139,0,14400,1,0,439355,3454,0,0,0
霸业枭雄的萦雷三角帽,"|cFF00ccff“地心之战”外观|r
|cFF1eff00“霸业风暴”外观|r

解锁“霸业枭雄的萦雷三角帽”外观。

“霸业风暴”的“萦雷水手杂兵”装束的一部分。欲改变“霸业风暴”中的角色装束，请在解锁该套装所有外观后与达卡什·暗账交谈。",33,1,9,10,1000,3139,0,14400,5,0,0,4164,0,0,0
霸业枭雄的旧眼罩,"|cFF00ccff“地心之战”外观|r

解锁“霸业枭雄的旧眼罩”外观。

“把它戴正，你就能看到水平线。”",34,1,7,70,2000,3139,0,14400,5,0,0,4165,0,0,0
霸业枭雄的旧帽子,"|cFF00ccff“地心之战”外观|r

解锁“霸业枭雄的旧帽子”外观。

“向霸业枭雄脱帽致敬。”",35,1,7,80,2000,3139,0,14400,5,0,0,4166,0,0,0
霸业枭雄的单片眼镜,|cFF00ccff“地心之战”外观|r|n|n解锁“霸业枭雄的单片眼镜”外观。|n|n“即使只有一只眼睛，有了它的帮助，也可以轻松地查看海面。”,36,1,7,90,500,3139,0,14400,1,0,443376,3623,0,0,0
霸业枭雄的流苏肩甲,"|cFF00ccff“地心之战”外观|r
|cFF1eff00“霸业风暴”外观|r

解锁“霸业枭雄的流苏肩甲”外观。

“霸业风暴”的“豪放的水手杂兵”装束的一部分。欲改变“霸业风暴”中的角色装束，请在解锁该套装所有外观后与达卡什·暗账交谈。",37,1,8,20,250,3139,0,14400,1,0,439380,3462,0,0,0
霸业枭雄的萦雷肩甲,"|cFF00ccff“地心之战”外观|r
|cFF1eff00“霸业风暴”外观|r

解锁“霸业枭雄的萦雷肩甲”外观。

“霸业风暴”的“萦雷水手杂兵”装束的一部分。欲改变“霸业风暴”中的角色装束，请在解锁该套装所有外观后与达卡什·暗账交谈。",38,1,9,20,1000,3139,0,14400,5,0,0,4167,0,0,0
防风斗披,|cFF00ccff“地心之战”外观|r|n|n解锁“防风斗披”外观。|n|n“只能防风，不能防水。注意别掉进水里。”,39,1,13,10,250,3139,0,14400,1,0,439456,3476,0,977,0
潜伏者披风,|cFF00ccff“地心之战”外观|r|n|n解锁“潜伏者披风”外观。|n|n“一些收集者老喜欢躲在阴影里。”,40,1,13,20,250,3139,0,14400,1,0,439455,3477,0,977,0
霸业枭雄的斗披,|cFF00ccff“地心之战”外观|r|n|n解锁“霸业枭雄的斗披”外观。|n|n“当然是为了红黄搭配。”,41,1,13,30,500,3139,0,14400,1,0,439379,3461,0,977,0
霸业枭雄的萦雷斗披,|cFF00ccff“地心之战”外观|r|n|n解锁“霸业枭雄的萦雷斗披”外观。,42,1,13,40,1000,3139,0,14400,5,0,0,4168,0,977,0
棉纺衬衣,"|cFF00ccff“地心之战”外观|r
|cFF1eff00“霸业风暴”外观|r

解锁“棉纺衬衣”外观。

“霸业风暴”的“寒酸的水手杂兵”装束的一部分。欲改变“霸业风暴”中的角色装束，请在解锁该套装所有外观后与达卡什·暗账交谈。",43,1,5,10,250,3139,0,14400,1,0,439453,3478,0,0,0
精致的深红紧身上衣,"|cFF00ccff“地心之战”外观|r
|cFF1eff00“霸业风暴”外观|r

解锁“精致的深红紧身上衣”外观。

“霸业风暴”的“时髦的水手杂兵”装束的一部分。欲改变“霸业风暴”中的角色装束，请在解锁该套装所有外观后与达卡什·暗账交谈。",44,1,6,10,250,3139,0,14400,1,0,439454,3485,0,0,0
