Name_lang,Description_lang,ID,Flags,Field_12_0_0_63534_004,Field_12_0_0_63534_005,Field_12_0_0_63534_006
Tiger Test NI,"Initiative is used in Unit Testing, Ask Tiger Lu before changing values",1,1,100,0,-1
最好的活动,是最好的,6,1,0,90931,0
Test Initiative - Not as good as the last one,至少大概是吧,7,1,0,90934,1
出色的活动,也许没那么出色,9,1,0,90935,0
[DNT] With Regards to Sporeggar,"[DNT] The farmers and cultivators of the Neighborhood are struggling to produce good soil for this seasons crop rotation. Sympathetic to their plight, the Cenarion Circle has recommended reaching out to a small farming village on the outskirts of Zangarmarsh...",10,1,0,90973,0
[DNT] Deeperholm,[DNT] The Earthen residents of the neighborhood have remarked that the indigenous elementals that roam the outer neighborhood could potentially be good allies if approached carefully. They advise seeking the counsel of Therazane in Deepholm for assistance.,11,1,0,90973,0
[DNT] You Take Candle,[DNT] The neighborhood is having difficulties keeping their lanterns alight and is in dire need of lighting upgrades. Seek out the Kobolds of the Ringing Deeps and seek their counsel on exterior illumination.,12,1,0,91278,0
土地精的朋友,家居养护好麻烦！人人都需要提神。于是我们和昆莱山的土地精取得了联系，他们烹煮的特制咔啡饮料一定能让你脚下生风。,13,0,0,91362,0
[DNT] Holm Sweet Holm,[DNT] The Earthen residents of the neighborhood have remarked that the indigenous elementals that roam the outer neighborhood could potentially be good allies if approached carefully. They advise seeking the counsel of Therazane in Deepholm for assistance.,14,1,0,91396,0
艺术协助,血精灵的家园遇袭之际，一个艺术团体来到住宅区里避难。他们愿意与整个住宅区分享他们的美术造诣。,15,0,0,91633,0
潜能无垠,龙希尔最近重新审视了自我，并选择了自己的道路。他们对学习的热情将帮助住宅区的居民掌握新的商业技能。,16,0,0,92151,0
机巧有度,麦卡贡的机械侏儒来为住宅区的技术升级出一份力了。,17,0,0,92687,0
财团烦忧,星界财团来到了住宅区，帮助本地居民取回遗落在虚空仓库中的物品。,18,0,0,93941,0
嗅觉大师,为帮忙解决部分授粉问题，鼹鼠人来到了这片住宅区。与他们携手合作，可以让住宅区的植物群蓬勃生长。,19,0,0,94009,0
