Name_lang,Description_lang,Map[0],Map[1],ID,JournalInstanceID,DungeonEncounterID,OrderIndex,FirstSectionID,UiMapID,MapDisplayConditionID,Flags,DifficultyMask
格魯巴托克,在一陣狂怒中，格魯巴托克釋放出強力的魔法，摧毀了他自己的巨魔洞穴。聽說了他的毀滅性天賦，迪菲亞聘請這名體型巨大的巨魔法師擔任首席工頭，監督他們在死亡礦坑裡的勞工。,0.3652697,0.6122755,89,63,2976,1,2010,291,54460,2,1
赫利克斯‧碎輪者,赫利克斯原本是污水企業的工程師，但他收到迪菲亞兄弟會的邀請，能讓他實現作為無名部落工程師所不能實現的一切。他立刻接受了這份工作，背棄了他先前的雇主...就像任何聰明的哥布林所會做的一樣。,0.50199604,0.8682636,90,63,2977,2,2020,291,54460,2,1
敵人收割者5000型,迪菲亞的工程師們花費了很長的時間來改良以敵人收割者4000型為基礎的收割者模組。完成之後，兄弟會相信這具恐怖機械將能如砍瓜切菜般消滅暴風城的武裝士兵。,0.12475067,0.75898206,91,63,2975,3,3448,292,54460,2,1
利普斯納爾上將,受到詛咒成為狼人後，詹姆士‧哈林頓在一個寒冷的嗜血夜晚摧毀了自己深愛的家庭和海上事業。他化名為利普斯納爾逃到西部荒野，後來同意擔任迪菲亞兄弟會毀滅巨艦的指揮官一職。,0.60479087,0.38772452,92,63,2974,4,2044,292,54460,2,1
『船長』餅乾,前任船長死後，餅乾宣告自己為迪菲亞兄弟會毀滅巨艦的新船長。儘管他仍然繼續擔任大廚的正式職務，但任何質疑他船長頭銜的人都會落得嚴重食物中毒的下場。,0.60479087,0.4550898,93,63,2973,5,2055,292,54460,2,1
凡妮莎‧范克里夫,在少女時代，凡妮莎親眼目睹了她身為迪菲亞兄弟會領導者的父親艾德溫‧范克里夫的血腥死亡。自此她就繼承了父親的領導衣缽，在迪菲亞位於死亡礦坑的要塞中計畫著對暴風城的復仇。,0.6546913,0.40269458,95,63,1081,6,2060,292,54460,2,2
艾胥柏利男爵,被狼人殺死，又遭被遺忘者復生為不死族，叛徒艾胥柏利男爵喜歡玩弄他的敵人，不許他們死去，好讓自己能夠為他們帶來最大的痛苦。,0.66467136,0.732036,96,64,1069,1,2107,310,0,0,-1
席瓦萊恩男爵,在被阿魯高的狼人佔領之前，席瓦萊恩男爵本是城堡的主人。如今他那被詛咒的靈魂召喚著當初殺死他的那群狼族野獸，要懲戒任何還想侵犯他家園的人。,0.30439156,0.7739521,97,64,1070,2,2118,311,0,0,-1
指揮官斯普林瓦爾,身為忠誠的軍人，指揮官斯普林瓦爾的鬼魂徘徊在會議室，用他穢邪的攻擊來為主人席瓦萊恩男爵復仇。,0.2804395,0.5973054,98,64,1071,3,2137,310,0,0,-1
瓦爾登領主,高佛雷的右手，高傲的瓦爾登領主，曾誓言用包含死亡在內的任何代價來侍奉他的同胞。成為不死族之後，瓦爾登依然打算信守諾言，用寒冰與劇毒攻擊他的敵人。,0.5449104,0.53742516,99,64,1073,4,2156,313,0,0,-1
高佛雷領主,脫離了身為吉爾尼斯貴族和被遺忘者密探的身分，狡詐又多謀的高佛雷領主雙手各持一柄手槍，指揮著一群無情又渴望血肉的食屍鬼。,0.6846315,0.3353293,100,64,1072,5,2164,315,0,0,-1
納茲賈爾女士,納茲賈爾女士在從科瓦迪爾手中奪回瓦許伊爾的行動裡扮演著關鍵性的角色，這為她贏得了艾薩拉女王的寵信。最近，納茲賈爾帶頭對奈普圖隆發動了突襲，並成功將這名強大的元素領主困在他的王座室裡。,0.50499004,0.21556878,101,65,1045,1,28310,323,0,0,-1
指揮官烏索克，膿瘡王子,烏索克是古神送來協助納茲賈爾女士入侵海潮王座的驚人古老生物。烏索克渾身充滿惡毒之力，在瓦許伊爾周遭的深淵指揮著屬下的無面者軍團。,0.50499004,0.42514968,102,65,1044,2,28314,323,0,0,-1
屈心者哥爾薩,在深淵止境達成英勇的戰果之後，陶土議會的薩滿伊魯納克‧石語者遭納迦部隊俘虜，受到屈心者哥爾薩的奴役。屈心者的寄生恐怕已經完全控制了伊魯納克的心智、身體，以及他充滿破壞力的薩滿技能。,0.67465144,0.19311368,103,65,1046,3,28322,322,0,0,-1
歐蘇瑪特,海怪肆虐艾澤拉斯海洋的故事曾經被歸類為神話...但如今成為現實。透過某種邪惡手段，納迦使所有海怪的族長歐蘇瑪特屈服於他們，並派牠去對付奈普圖隆和他的追隨者們。,0.3253496,0.19311368,104,65,1047,4,28318,322,0,0,-1
羅姆歐格‧裂骨者,身為外域罕見的「失落環節」巨魔，羅姆歐格‧裂骨者對其他巨魔的冷酷無情刺激了暮光之錘教團的興趣。如今他是焚化之廳的領主，藉由帶給其他人痛苦來為自身帶來滿足。,0.5,0.70209587,105,66,1040,1,2356,283,0,0,-1
暮光信使柯爾菈,柯爾菈原本是一名成就卓越的祈倫托法師，如今卻以堅定的奉獻熱誠為暮光之錘服務。她駕馭虛空龍的精華來祝福屬下的狂熱者，將這些狂信者轉變成兇猛的暮光龍獸。,0.27045947,0.16317356,106,66,1038,2,2361,284,0,0,-1
卡爾許‧控鋼者,巨大的龍獸卡爾許‧控鋼者在暮光熔爐辛勤工作，用罕見的水銀打造出戰爭的武器。尋常情況裡，卡爾許的作品幾近無法摧毀，但在高溫之下，它們將變得像生鏽的鐵一般脆弱。,0.47005993,0.6646707,107,66,1039,3,2371,284,0,0,-1
美麗,美麗的過往是則和時間一樣古老的故事、和韻律同樣古老的詩。美麗的配偶「比斯巨獸」在黑石塔被英雄們殺死後，這條熔核犬和剩下的四條小熔核犬就加入了暮光之錘的行列，以向當初殺死牠配偶的生物進行報復。,0.66467136,0.8443115,108,66,1037,4,2378,284,0,0,-1
卓越者統領奧希迪厄斯,為了獎勵他不屈不撓的奉獻和對殘酷的愛好，強大的薩滿 - 墮落的戴西里克得到了晉升的資格。黑暗儀式把元素力量灌入他的體內，使他轉變成名為卓越者統領奧希迪厄斯的怪物。,0.68962157,0.50748503,109,66,1036,5,2385,284,0,0,-1
