Description_lang,ID,DataTag
極小,1,65
小型,2,66
中型,3,67
大型,4,68
超大,5,69
矮人,6,74
蠻錘矮人,7,75
銅鬚矮人（鐵爐堡）,8,76
黑鐵矮人,9,77
土靈（多恩）,10,78
人類,11,79
暴風城,12,80
庫爾提拉斯,13,81
吉爾尼斯/狼人,14,82
精靈,15,83
血精靈,16,84
夜精靈,17,85
虛無精靈,18,86
夜裔精靈,19,87
牛頭人,20,88
德萊尼,21,89
獸人,22,90
哥布林,23,91
狐狸人,24,92
食人妖,25,93
暗矛食人妖,26,94
贊達拉食人妖,27,95
不死族,28,96
地精,29,97
熊貓人,30,98
哈拉尼爾,31,452
經典,32,99
燃燒的遠征,33,100
巫妖王之怒,34,101
浩劫與重生,35,102
潘達利亞之謎,36,103
德拉諾之霸,37,104
軍臨天下,38,105
決戰艾澤拉斯,39,106
暗影之境,40,107
巨龍崛起,41,108
地心之戰,42,109
至暗之夜,43,110
魔獸世界週年慶,44,111
啤酒節,45,112
兒童週,46,113
暗月馬戲團,47,114
亡者節,48,115
壯麗的煙火大會,49,116
萬鬼節,50,117
收穫節,51,118
愛就在身邊,52,119
新年慶典,53,120
仲夏火焰節慶,54,121
貴族花園,55,122
旅人豐年祭,56,123
海盜節,57,124
冬幕節,58,125
其他,59,126
鮮明,60,141
休閒,61,142
愜意,62,143
可愛,63,144
優雅,64,145
妖精,65,146
魔化,66,147
奢華,67,148
聖光,68,149
機械,69,150
自然,70,151
海盜,71,152
浪漫,72,153
簡約,73,154
陰森,74,155
虛無,75,156
維酷,76,157
詼諧,77,158
聯盟,78,159
部落,79,160
春季,80,161
夏季,81,162
秋季,82,163
冬季,83,164
路徑 道路,84,202
地毯,85,201
杯子 馬克杯 啤酒杯 酒杯,86,196
餐具 銀器 器皿 叉子 湯匙 刀子 刀叉,87,198
飲料 飲品 喝的,88,195
食物 餐點 盛宴 點心,89,194
廚房,90,199
盤子 餐盤 碟子,91,197
書籍 書本 典籍 書冊,92,190
瓶子 花瓶,93,189
藝術 藝術品 圖畫 油畫布,94,192
水 池子,95,236
椅子 座椅,96,177
長椅 沙發,97,178
櫥櫃 櫃子,98,185
架子 展示架,99,184
櫃檯 櫃台 檯面,100,182
桌子 書桌,101,181
桌子 長桌 餐桌,102,180
人體模型 模特兒,103,224
烹飪 烤爐 爐子 火爐 烤架,104,222
製作 工藝 專業 專業技能,105,221
圓柱 柱子,106,208
圍欄 柵欄,107,209
分隔 隔間 牆壁 牆,108,207
粗獷,109,70
鄉村,110,71
華麗,111,72
節日/事件,112,73
魔法,113,458
半龍人,114,484
魚人,115,505
鍊金術,116,127
考古學,117,140
鍛造,118,128
烹飪,119,138
附魔,120,129
工程學,121,130
釣魚,122,139
草藥學,123,135
銘文學,124,131
珠寶設計,125,132
製皮,126,133
採礦,127,136
剝皮,128,137
裁縫,129,134
紅色,130,165
橘色,131,166
黃色,132,167
綠色,133,168
藍色,134,169
紫羅蘭/紫色,135,170
棕色,136,171
黑色,137,172
白色,138,173
灰色,139,174
粉紅色,140,577
機械地精,141,620
瑪格哈,142,631
阿曼尼食人妖,143,639
汎希爾,144,558
暗夜妖精,145,643
琪瑞安,146,644
死靈領主,147,645
平台基座舞台基礎,148,729
樑桁木板,149,730
