Name_lang,Description_lang,ID,JournalEncounterID,CreatureDisplayInfoID,FileDataID,OrderIndex,UiModelSceneID
格魯巴托克,,358,89,37410,522228,0,9
赫利克斯‧碎輪者,,359,90,33002,522234,0,9
敵人收割者5000型,,360,91,35606,522225,0,9
利普斯納爾上將,,361,92,35739,522189,0,9
『船長』餅乾,,362,93,1305,522210,0,9
凡妮莎‧范克里夫,,365,95,32806,522278,0,9
艾胥柏利男爵,,366,96,34610,522205,0,9
席瓦萊恩男爵,,367,97,37288,522206,0,9
指揮官斯普林瓦爾,,368,98,37287,522213,0,9
瓦爾登領主,,369,99,34612,522249,0,9
高佛雷領主,,370,100,34611,522247,0,9
納茲賈爾女士,,371,101,34342,522245,0,9
指揮官烏索克,,372,102,84332,522214,0,9
屈心者哥爾薩,,373,103,32259,522253,0,9
歐蘇瑪特,,374,104,34135,522259,0,9
羅姆歐格‧裂骨者,,375,105,33147,522266,0,9
暮光信使柯爾菈,,376,106,31546,522216,0,9
卡爾許‧控鋼者,,377,107,31710,522244,0,9
美麗,,378,108,34433,522207,0,9
卓越者統領奧希迪厄斯,,379,109,36465,522201,0,9
寇伯拉斯,,380,110,33477,522215,0,9
岩革,,381,111,36476,522271,0,9
歐茲魯克,,382,112,36475,522258,0,9
高階祭司艾吉兒,,383,113,26448,522237,0,9
首相伊爾丹,,384,114,35181,522229,0,9
艾塔伊洛斯,,385,115,34265,522192,0,9
亞沙德,,386,116,35388,522200,0,9
胡薩姆將軍,,387,117,34743,523205,0,9
奧各,,388,118,37339,522203,1,9
鎖喉,,389,118,33438,522246,0,9
高階預言者巴瑞姆,,390,119,34744,522239,0,9
希亞梅特,,394,122,35388,522269,0,9
神殿守護者安胡爾,,424,124,35067,522272,0,9
地怒者普塔,,425,125,31450,522219,0,9
安拉斐特,,426,126,34580,522195,0,65
伊希賽特,,427,127,33465,522241,0,66
安姆內,,428,128,32943,522194,0,66
賽特胥,,429,129,33055,522267,0,66
拉頡,,430,130,33177,522262,0,66
昂布里斯將軍,,431,131,31498,522227,0,9
鍛造大師瑟隆葛斯,,432,132,33429,522226,0,66
德拉卡‧燃影者,,433,133,31792,522218,0,9
瓦莉歐娜,,434,133,31795,522276,1,9
伊魯達克斯,,435,134,33428,522222,0,9
阿加羅斯,,463,139,35426,522198,0,9
歐庫薩,,464,140,37876,523207,0,9
涅茲爾,北風領主,555,154,35232,522256,1,9
安蕭爾,西風領主,556,154,35233,522196,0,9
洛哈許,東風領主,557,154,35234,522265,2,9
奧拉基爾,,558,155,35248,522191,0,9
哈福斯‧破龍者,,559,156,34816,522232,0,66
瓦莉歐娜,,560,157,34812,522277,1,9
瑟拉里恩,,561,157,34813,522274,0,9
特拉斯特拉,土之卓越者議員,562,158,34824,522273,3,9
源質巨怪,卓越者議員的結合體,563,158,34825,522221,4,9
伊格納修斯,火之卓越者議員,564,158,34821,522240,1,9
費魯迪厄斯,水之卓越者議員,565,158,34822,522224,0,9
艾理奧,風之卓越者議員,566,158,34823,522199,2,9
丘加利,,587,167,34576,522212,0,9
賽絲特拉,,588,168,34335,522270,0,9
雷電號,,589,169,32688,522220,2,9
