Name_lang,Description_lang,ID,HouseLevelDataID,Field_12_0_0_63967_004,IconFileDataID
起始房間組合,使用多種基本房間樣式開始打造你的家。歡迎回家！,11,35,0,4217590
外部裝飾,你可以在庭院中放置200點裝飾,12,35,1,8164790
爐光鍍金圓球,你將獲得一個爐光鍍金圓球，這項令人讚嘆的裝置能操控屋內外的環境光線，無論是調暗或增亮。|n|n你能在社區中最後的建築師處購買額外的鍍金圓球。,23,52,0,7487068
中型尺寸房屋戶外空間,你現在可以在房屋使用中型尺寸房屋戶外空間。,24,53,0,7252953
額外房間和裝飾放置上限,大幅提高此等級的房間放置上限和裝飾放置上限（+10個房間，+500個裝飾）,26,55,0,135769
額外房間和裝飾放置上限,大幅提高此等級的房間放置上限和裝飾放置上限（+10個房間，+500個裝飾）,27,56,0,135769
外部裝飾提高,現在你可以在庭院中額外放置50點的裝飾，共計250點。,30,30,0,8164790
外部裝飾提高,現在你可以在庭院中額外放置50點的裝飾，共計300點。,38,34,0,8164790
外部裝飾提高,現在你可以在庭院中額外放置50點的裝飾，共計350點。,39,55,1,8164790
遠地的寶藏,每週造訪你社區最後的建築師一次，可取得秘能儲存球體，內含一項最後的建築師精選清單中的隨機裝飾。,40,66,0,7137527
額外房間和裝飾放置上限,大幅提高此等級的房間放置上限和裝飾放置上限（+10個房間，+500個裝飾）。,41,67,0,135769
大型尺寸房屋戶外空間,你現在可以在房屋使用大型尺寸房屋戶外空間。,42,68,0,7252953
