Name_lang,Description_lang,ID,FiledataID
溢流,超過目標生命力上限的過量治療會造成吸收治療效果。,1,463570
輕浮,敵人沒那麼在乎坦克產生的威脅值。,2,135994
火山,在戰鬥中敵人會週期性的在遠處玩家的腳下引爆噴發的烈火。,3,451169
壞死,所有敵人的近戰攻擊都會造成可堆疊的瘟疫腐疽，造成持續性傷害，並且降低受到的治療效果。,4,1029009
擁擠,額外的非首領敵人會出現在地城各處。,5,136054
狂怒,非首領敵人的生命力剩下30%時進入狂怒狀態，暫時對控場效果免疫。,6,132345
激勵,非首領敵人的死亡哀號會激勵附近的盟友，暫時使其造成的傷害提高20%。,7,132333
膿血,非首領敵人死亡時會留下一灘膿血，對其盟友造成治療效果，對玩家造成傷害。,8,136124
暴君,首領的生命力提高25%。首領與其爪牙所造成的傷害提高15%。,9,236401
強悍,非首領敵人生命力提高20%，造成的傷害提高20%。,10,463829
屍爆,當非首領敵人死亡時，身體會爆炸、在4秒內對所有玩家造成傷害。此效果會堆疊。,11,1035055
兇殘,受傷的玩家會承受不斷提高的持續性傷害，直到其獲得治療。,12,132090
火爆,戰鬥期間，敵人會週期性召喚爆炸球體，如果沒有迅速摧毀則會爆炸。,13,2175503
震地,所有玩家會週期性釋放衝擊波，對所有附近的盟友造成傷害並且中斷施法。,14,136025
感染,有部分非首領敵人受到古翰幼體感染。,16,2032223
奪魂,非首領敵人得到伯昂撒姆第的力量，會定期死而復生，向生者復仇。,117,2446016
誘惑,艾薩拉的特使會出現在地城各處。,119,237565
甦醒,遍布地城的方尖碑可以讓玩家進入奈奧羅薩，面對威力強大的恩若司僕人。如果不先解決這些僕人，就得在最後首領戰中與他們交手。,120,442737
傲慢,玩家擊敗非首領敵人後，自尊不斷提高到過剩，最終轉化為自尊化身。擊敗這個化身可大幅提高玩家的能力。,121,3528307
振奮,部分非首領敵人擁有振奮風采，可強化盟友。,122,135946
惡意,惡魔會從非首領敵人的屍體上出現，並追擊隨機玩家。,123,135945
風暴,戰鬥時，敵人會週期性召喚造成傷害的旋風。,124,136018
磨難,地城中會出現閻獄之主的僕從，擊敗後能獲得強大的效果。如果不處理僕從，則會強化最後的首領。,128,3528304
煉獄火,某些首領附近有煉獄火信標。啟動信標或攻擊附近的首領會觸發燃燒軍團入侵。,129,1394959
密文,地城各處的敵人持有首創者的聖物。摧毀聖物就能召喚首創者的自主機，並依據摧毀的順序獲得不同的強大力量。,130,4038106
隱蔽,納斯雷茲姆滲透者偽裝成敵人，散布在地城的各個角落。捕捉滲透者，塔商集團就會給你豐富的獎勵。,131,136177
雷霆,敵人的生命力提高5%。在戰鬥中，玩家每隔一段時間就會從菈薩葛絲的無盡風暴獲得超載的洪荒能量。這種能量十分危險，若是無法快速釋放，將會帶來昏迷的效果。,132,1385910
專注,帶有法力的非首領敵人，加速提高30%，但受到的冰霜與火焰傷害提高10%。,133,458224
糾纏,糾纏藤蔓會在戰鬥中定期出現，使玩家緩速。,134,134412
受苦,受苦的靈魂會在戰鬥中定期出現，尋求玩家的協助。,135,0
無形生命,無形生命會在戰鬥中定期出現，弱化玩家。,136,298642
防護,戰鬥期間，敵人會週期性地召喚防護球體。如果球體沒被摧毀，就會保護附近的敵人。,137,535593
荊棘,沒有法力的非首領敵人受到攻擊時，會對攻擊者造成物理傷害，但受到的神聖與暗影傷害提高10%。,144,1418495
無畏,沒有法力的非首領敵人造成的攻擊會無視20%護甲值，但自身護甲值降低30%，且受到的秘法傷害提高10%。,145,132363
同調,帶有法力的非首領敵人造成的魔法傷害提高20%，但受到的自然傷害提高10%，受到流血效果的傷害則提高30%。,146,1391778
薩拉塔斯之詐,薩拉塔斯會背叛玩家，撤回她的交易，並讓死亡扣除 15 秒剩餘時間。,147,1723989
薩拉塔斯的交易：晉升者,在戰鬥中，薩拉塔斯讓宇宙能量球從天而降，強化敵人或玩家。,148,5976939
挑戰者的難關,時間延長90秒，但死亡會使剩餘時間扣除15秒。,152,1052642
薩拉塔斯的交易：狂亂,非首領敵人的生命力剩餘30%時會陷入狂亂，加速提高40%，但受到的傷害提高20%。,153,136224
薩拉塔斯的交易：虛無之縛,在戰鬥中，薩拉塔斯會召喚一名虛無特使來強化附近的敵人。,158,4913234
薩拉塔斯的交易：滅絕,在戰鬥中，薩拉塔斯會從虛無召喚水晶，可被敵人或玩家吸收。,159,1386548
薩拉塔斯的交易：吞噬,在戰鬥中，薩拉塔斯會撕開裂隙，吞噬玩家的精華。,160,5927657
薩拉塔斯的交易：星體,在戰鬥中，薩拉塔斯會召喚繞著玩家旋轉的星體。,162,4914669
,,165,0
