ID,Name_lang,Description_lang,BountySetID,SkillLineID,DeathTeleportSpellID,Field_9_0_2_36165_006,Field_9_0_2_36165_007,FactionID,CurrencyTypesID,RequiredPlayerConditionID
1,琪瑞安,琪瑞安是值得信賴的來生守護者，他們引領亡者之魂進入暗影之境。他們永久獻身於這項職責，只有具備資格者方能成為他們的一員。,111,2730,315066,346042,346046,2407,1829,0
2,汎希爾族,汎希爾族是高貴的監督者，監督著被自大與邪惡所汙染的靈魂。他們帶領受苦的靈魂踏上嚴峻的贖罪之路，並收割靈魄來使他們的領域繼續強大。,112,2731,344545,346037,346043,2413,1830,0
3,暗夜妖精,暗夜妖精照料著死去的自然之靈，讓它們在靜謐的森林裡安睡。那些與大自然具有深厚連結的人可以加入他們的行列，確保那些重獲生機的靈魂有天能夠重回永恆的循環。,114,2732,344538,346039,346044,2465,1831,0
4,死靈領主,在死靈領主中，強者會獲得回報，弱者會被拋在一旁。雄心勃勃的好鬥靈魂被鍛鍊成不朽的軍隊，負責保衛暗影之境。,113,2733,344544,346041,346045,2410,1832,0
12,莫魯克半人馬,雍亞拉平原的各個半人馬氏族都自稱是莫魯克半人馬。,119,0,0,0,0,2503,2002,104408
13,龍鱗遠征隊,探險者協會和聖匣守護者聯手組成遠征隊，一起探索巨龍群島。,119,0,0,0,0,2507,2021,104394
14,伊斯凱拉巨牙海民,巨龍群島的堅忍巨牙海民部族。,119,0,0,0,0,2511,2087,104409
15,沃卓肯協調者,沃卓肯是龍軍團的閃耀首都，就是在這裡，他們再次締結了協助凡人種族的契約。,119,0,0,0,0,2510,2088,104407
20,洛姆鼴鼠人,居住在洛姆巨龍群島下方的鼴鼠人,119,0,0,0,0,2564,2402,108239
21,夢境守望者,一個由不同種族組成的聯軍，準備好要捍衛翡翠夢境，並抵禦所有威脅。,119,0,0,0,0,2574,2653,115959
23,桶腿的船員,在桶腿船長的麾下，一群自由自在的邊緣人到處惹事生非。,0,0,0,0,0,2593,2814,119189
24,多恩諾加議會,[DNT],120,0,0,0,0,2590,2900,117972
25,深淵集會,[DNT],120,0,0,0,0,2594,2898,117991
26,聖落之地阿拉希,[DNT],120,0,0,0,0,2570,2901,118011
27,斷裂絲線,[DNT],120,0,0,0,0,2600,2904,118037
28,[DNT] 11.0 Delves Season 1,[DNT],0,0,0,0,0,2644,3022,121067
29,[DNT] TBD The Undermine,[DNT] The Undermine,120,0,0,0,0,2653,3120,129040
31,[DNT] 11.0 Delves Season 2,[DNT],0,0,0,0,0,2683,3130,129178
32,加樂宮忠誠獎勵,[DNT],0,0,0,0,0,2685,3137,132346
